rgn_id,year,a_tot_3nm
1,1980.0,7974.75
1,1981.0,7974.75
1,1982.0,7974.75
1,1983.0,7974.75
1,1984.0,7974.75
1,1985.0,7974.75
1,1986.0,7974.75
1,1987.0,7974.75
1,1988.0,7974.75
1,1989.0,7974.75
1,1990.0,7974.75
1,1991.0,7974.75
1,1992.0,7974.75
1,1993.0,7974.75
1,1994.0,7974.75
1,1995.0,7974.75
1,1996.0,7974.75
1,1997.0,7974.75
1,1998.0,7974.75
1,1999.0,7974.75
1,2e3,7974.75
1,2001.0,7974.75
1,2002.0,7974.75
1,2003.0,7974.75
1,2004.0,7974.75
1,2005.0,7974.75
1,2006.0,7974.75
1,2007.0,7974.75
1,2008.0,7974.75
1,2009.0,7974.75
1,2010.0,7974.75
1,2011.0,7974.75
1,2012.0,7974.75
1,2013.0,7974.75
1,2014.0,7974.75
1,2015.0,7974.75
1,2016.0,7974.75
2,1980.0,6705.25
2,1981.0,6705.25
2,1982.0,6705.25
2,1983.0,6705.25
2,1984.0,6705.25
2,1985.0,6705.25
2,1986.0,6705.25
2,1987.0,6705.25
2,1988.0,6705.25
2,1989.0,6705.25
2,1990.0,6705.25
2,1991.0,6705.25
2,1992.0,6705.25
2,1993.0,6705.25
2,1994.0,6705.25
2,1995.0,6705.25
2,1996.0,6705.25
2,1997.0,6705.25
2,1998.0,6705.25
2,1999.0,6705.25
2,2e3,6705.25
2,2001.0,6705.25
2,2002.0,6705.25
2,2003.0,6705.25
2,2004.0,6705.25
2,2005.0,6705.25
2,2006.0,6705.25
2,2007.0,6705.25
2,2008.0,6705.25
2,2009.0,6705.25
2,2010.0,6705.25
2,2011.0,6705.25
2,2012.0,6705.25
2,2013.0,6705.25
2,2014.0,6705.25
2,2015.0,6705.25
2,2016.0,6705.25
3,1980.0,5140.5
3,1981.0,5140.5
3,1982.0,5140.5
3,1983.0,5140.5
3,1984.0,5140.5
3,1985.0,5140.5
3,1986.0,5140.5
3,1987.0,5140.5
3,1988.0,5140.5
3,1989.0,5140.5
3,1990.0,5140.5
3,1991.0,5140.5
3,1992.0,5140.5
3,1993.0,5140.5
3,1994.0,5140.5
3,1995.0,5140.5
3,1996.0,5140.5
3,1997.0,5140.5
3,1998.0,5140.5
3,1999.0,5140.5
3,2e3,5140.5
3,2001.0,5140.5
3,2002.0,5140.5
3,2003.0,5140.5
3,2004.0,5140.5
3,2005.0,5140.5
3,2006.0,5140.5
3,2007.0,5140.5
3,2008.0,5140.5
3,2009.0,5140.5
3,2010.0,5140.5
3,2011.0,5140.5
3,2012.0,5140.5
3,2013.0,5140.5
3,2014.0,5140.5
3,2015.0,5140.5
3,2016.0,5140.5
4,1980.0,6410.5
4,1981.0,6410.5
4,1982.0,6410.5
4,1983.0,6410.5
4,1984.0,6410.5
4,1985.0,6410.5
4,1986.0,6410.5
4,1987.0,6410.5
4,1988.0,6410.5
4,1989.0,6410.5
4,1990.0,6410.5
4,1991.0,6410.5
4,1992.0,6410.5
4,1993.0,6410.5
4,1994.0,6410.5
4,1995.0,6410.5
4,1996.0,6410.5
4,1997.0,6410.5
4,1998.0,6410.5
4,1999.0,6410.5
4,2e3,6410.5
4,2001.0,6410.5
4,2002.0,6410.5
4,2003.0,6410.5
4,2004.0,6410.5
4,2005.0,6410.5
4,2006.0,6410.5
4,2007.0,6410.5
4,2008.0,6410.5
4,2009.0,6410.5
4,2010.0,6410.5
4,2011.0,6410.5
4,2012.0,6410.5
4,2013.0,6410.5
4,2014.0,6410.5
4,2015.0,6410.5
4,2016.0,6410.5
5,1980.0,4525.0
5,1981.0,4525.0
5,1982.0,4525.0
5,1983.0,4525.0
5,1984.0,4525.0
5,1985.0,4525.0
5,1986.0,4525.0
5,1987.0,4525.0
5,1988.0,4525.0
5,1989.0,4525.0
5,1990.0,4525.0
5,1991.0,4525.0
5,1992.0,4525.0
5,1993.0,4525.0
5,1994.0,4525.0
5,1995.0,4525.0
5,1996.0,4525.0
5,1997.0,4525.0
5,1998.0,4525.0
5,1999.0,4525.0
5,2e3,4525.0
5,2001.0,4525.0
5,2002.0,4525.0
5,2003.0,4525.0
5,2004.0,4525.0
