rgn_id,rgn_name,year,lsp_status,lsp_trend
1,North Coast,2016.0,0.425,0.13635
2,Haida Gwaii,2016.0,1.0,0.4253
3,Central Coast,2016.0,0.755,0.3211
4,North Vancouver Island,2016.0,0.265,0.01245
5,West Vancouver Island,2016.0,0.49,0.0075
6,Strait of Georgia,2016.0,0.2,0.05895
8,Aristazabal Island,2016.0,0.585,0.0
1,North Coast,2015.0,0.425,1.0
2,Haida Gwaii,2015.0,1.0,0.6771
3,Central Coast,2015.0,0.755,1.0
4,North Vancouver Island,2015.0,0.265,0.1549
5,West Vancouver Island,2015.0,0.49,0.0078
6,Strait of Georgia,2015.0,0.2,0.061450000000000005
8,Aristazabal Island,2015.0,0.585,0.0
1,North Coast,2014.0,0.425,1.0
2,Haida Gwaii,2014.0,1.0,0.8502500000000001
3,Central Coast,2014.0,0.755,1.0
4,North Vancouver Island,2014.0,0.265,0.3816
5,West Vancouver Island,2014.0,0.49,0.0075
6,Strait of Georgia,2014.0,0.2,0.05895
8,Aristazabal Island,2014.0,0.585,0.525
1,North Coast,2013.0,0.425,1.0
2,Haida Gwaii,2013.0,1.0,0.9446
3,Central Coast,2013.0,0.755,1.0
4,North Vancouver Island,2013.0,0.265,0.54995
5,West Vancouver Island,2013.0,0.49,0.00655
6,Strait of Georgia,2013.0,0.2,0.05159999999999999
8,Aristazabal Island,2013.0,0.585,0.93335
1,North Coast,2012.0,0.425,1.0
2,Haida Gwaii,2012.0,1.0,0.9603
3,Central Coast,2012.0,0.755,1.0
4,North Vancouver Island,2012.0,0.265,0.65995
5,West Vancouver Island,2012.0,0.49,0.005
6,Strait of Georgia,2012.0,0.2,0.0428
8,Aristazabal Island,2012.0,0.585,1.0
1,North Coast,2011.0,0.425,1.0
2,Haida Gwaii,2011.0,1.0,0.89725
3,Central Coast,2011.0,0.755,1.0
4,North Vancouver Island,2011.0,0.265,0.7115499999999999
5,West Vancouver Island,2011.0,0.49,0.0027999999999999995
