year,region_id,pressure,component,component_score
1996,1,0.1255385073318983,po_chemical_3nm,0.8744614926681017
1997,1,0.1255385073318983,po_chemical_3nm,0.8744614926681017
1998,1,0.1255385073318983,po_chemical_3nm,0.8744614926681017
1999,1,0.1255385073318983,po_chemical_3nm,0.8744614926681017
2000,1,0.1255385073318983,po_chemical_3nm,0.8744614926681017
2001,1,0.1255385073318983,po_chemical_3nm,0.8744614926681017
2002,1,0.1255385073318983,po_chemical_3nm,0.8744614926681017
2003,1,0.12553003211605038,po_chemical_3nm,0.8744699678839496
2004,1,0.1255677963586996,po_chemical_3nm,0.8744322036413004
2005,1,0.12558434714667482,po_chemical_3nm,0.8744156528533251
2006,1,0.12556538662299063,po_chemical_3nm,0.8744346133770093
2007,1,0.12574887503886328,po_chemical_3nm,0.8742511249611367
2008,1,0.12554801342462568,po_chemical_3nm,0.8744519865753744
2009,1,0.1254913639739491,po_chemical_3nm,0.8745086360260509
2010,1,0.1260321682052322,po_chemical_3nm,0.8739678317947678
2011,1,0.1255260115236095,po_chemical_3nm,0.8744739884763905
2012,1,0.1255991855591854,po_chemical_3nm,0.8744008144408146
2013,1,0.1255925075038908,po_chemical_3nm,0.8744074924961092
2014,1,0.1255925075038908,po_chemical_3nm,0.8744074924961092
2015,1,0.1255925075038908,po_chemical_3nm,0.8744074924961092
2016,1,0.1255925075038908,po_chemical_3nm,0.8744074924961092
1996,2,0.07570781493717682,po_chemical_3nm,0.9242921850628232
1997,2,0.07570781493717682,po_chemical_3nm,0.9242921850628232
1998,2,0.07570781493717682,po_chemical_3nm,0.9242921850628232
1999,2,0.07570781493717682,po_chemical_3nm,0.9242921850628232
2000,2,0.07570781493717682,po_chemical_3nm,0.9242921850628232
2001,2,0.07570781493717682,po_chemical_3nm,0.9242921850628232
2002,2,0.07570781493717682,po_chemical_3nm,0.9242921850628232
2003,2,0.07569474317733395,po_chemical_3nm,0.9243052568226661
2004,2,0.0756821574466808,po_chemical_3nm,0.9243178425533192
2005,2,0.07569450665439963,po_chemical_3nm,0.9243054933456004
2006,2,0.07573765111492027,po_chemical_3nm,0.9242623488850797
2007,2,0.07573554442303358,po_chemical_3nm,0.9242644555769665
2008,2,0.07620492961141083,po_chemical_3nm,0.9237950703885892
2009,2,0.0758499741706842,po_chemical_3nm,0.9241500258293158
2010,2,0.07570874991368429,po_chemical_3nm,0.9242912500863157
2011,2,0.07566686301203804,po_chemical_3nm,0.9243331369879619
2012,2,0.07571326331958148,po_chemical_3nm,0.9242867366804185
2013,2,0.07566357749911032,po_chemical_3nm,0.9243364225008897
2014,2,0.07566357749911032,po_chemical_3nm,0.9243364225008897
2015,2,0.07566357749911032,po_chemical_3nm,0.9243364225008897
