goal,lag,yrs,rgns,adj_r_squared,aic,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,pressures,na,rmse,rsquared,mae,rmsesd,rsquaredsd,maesd
AO,1,14,6,0.8243197708550121,-276.48177624621945,0.0962,0.0971,0.0930,0.1002,0.1087,NA,0.0886,0.1049,0.0905**,-0.0860**,0.0231,-0.0829*,-0.1077**,-0.0020,0.1220***,-0.0556°,-0.2372***,0.1864***,-0.0008,0.1796***,-0.2063***,0.1381***,-0.0064,NA,0.06852263262824322,0.8026863980872302,0.05045195275025917,0.013119031070411714,0.06978044589273487,0.009473084592868778
AO,2,13,6,0.8160111457575739,-237.48598661139192,0.3156*,0.2154°,0.2173*,0.2289°,0.2451*,NA,0.1927*,0.2374°,-0.1000**,-0.1632***,-0.1627***,-0.2779***,-0.2003***,0.0298,-0.0229,-0.3723***,-0.1916***,0.0854°,0.0831°,-0.1697***,-0.1986***,NA,-0.0145°,NA,0.07535183727864453,0.774847726490966,0.059507348820199146,0.01297551215492889,0.0792731631815176,0.00998292721983661
AO,3,12,6,0.8786957308797076,-222.1282833674161,0.0579,0.0982,0.1107,0.0591,0.1121,NA,0.1092,0.0961,0.0215,-0.1487***,-0.1785***,-0.2022***,-0.0202,0.0560,-0.1716***,-0.1179**,-0.0592,0.4584***,-0.0200,0.1158*,NA,NA,-0.0049,NA,0.07366406189131133,0.8409776626226312,0.058357203213915916,0.015743322761338503,0.07344061261808506,0.012418512297361945
AO,4,11,6,0.8109906356155863,-195.00620761553756,0.2005,0.2103,0.2352°,0.1996,0.2543°,NA,0.2162*,0.2362,-0.0983**,-0.2775***,-0.2133***,-0.1278***,-0.0805*,-0.1924***,-0.0252,-0.1338***,0.0922*,0.1299*,0.0893°,NA,NA,NA,-0.0129,NA,0.08254417493568338,0.7668642217830405,0.06628645040655805,0.017344781783193975,0.09838276101715103,0.014437577813566776
AO,5,10,6,0.8777213057658269,-179.10766688181317,0.0715,0.1847,0.2296°,0.1740,0.2355,NA,0.2179*,0.2131,-0.1162**,-0.1942***,-0.0271,-0.0819*,-0.1994***,0.0626,0.0851*,0.1451***,-0.0279,0.4207***,NA,NA,NA,NA,-0.0110,NA,0.0759493461104529,0.8588295416706311,0.06192764417593149,0.01561945350791242,0.07337154614472839,0.012296371764198606
AO,6,9,6,0.8209227282589501,-150.17362000583347,-0.0637,0.2033,0.2628°,0.1765,0.2612,NA,0.2540*,0.2483,-0.0153,0.0028,0.0381,-0.1612***,0.0576,0.1917***,0.4050***,0.0501,0.2331***,NA,NA,NA,NA,NA,-0.0109,NA,0.08514355403240978,0.7846195126331816,0.0657113459540894,0.019530286170586636,0.10785720001230155,0.015966083041692267
CPP,1,14,6,0.537382010932977,-1221.18574771577,-0.0003,-0.0013,-0.0016,-0.0009,-0.0018,NA,-0.0029*,-0.0017,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0001,0.0001,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0001,NA,7.356962211090387e-4,0.44138805973761086,5.201694345427673e-4,1.1867355357631766e-4,0.17679903439930314,8.893961279633883e-5
CPP,2,13,6,0.5622026910472564,-1011.1699295789831,-0.0005,-0.0009,-0.0011,-0.0006,-0.0015,NA,-0.0048°,-0.0012,-0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0006,0.0011,0.0011,0.0011,0.0011,0.0011,NA,0.0000,NA,0.0014361981917067007,0.4761679217594682,9.653293933982459e-4,3.062549174841598e-4,0.23767717681619435,1.909732861357082e-4
CPP,3,12,6,0.588418530190044,-872.1151767161521,-0.0006,0.0004,0.0005,0.0003,0.0001,NA,-0.0060,0.0005,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0005,0.0010,0.0015,0.0015,0.0015,0.0015,NA,NA,-0.0000,NA,0.0019875044739406113,0.5291590865292009,0.0013445024604790848,4.854831130296235e-4,0.2131409590986969,2.3862519387999367e-4
CPP,4,11,6,0.6214117682630929,-765.1355420616841,-0.0004,0.0032,0.0041,0.0023,0.0036,NA,-0.0063,0.0044,-0.0001,-0.0001,-0.0001,-0.0001,-0.0002,0.0003,0.0008,0.0012,0.0017,0.0017,0.0017,NA,NA,NA,-0.0002,NA,0.0025912798324929684,0.560442284949251,0.0017000522164242638,5.705612112230241e-4,0.22611152378261826,3.190669400474301e-4
CPP,5,10,6,0.6630435744255261,-677.2054540330846,-0.0001,0.0070,0.0088,0.0051,0.0083,NA,-0.0059,0.0097,-0.0002,-0.0003,-0.0003,-0.0003,0.0002,0.0006,0.0010,0.0013,0.0018,0.0018,NA,NA,NA,NA,-0.0003,NA,0.0029092827406036205,0.6326099015034267,0.001884398661179743,9.479649267846133e-4,0.2128961716782304,5.030670181272431e-4
CPP,6,9,6,0.7179175254542476,-604.0067594518599,0.0004,0.0127,0.0160,0.0094,0.0156,NA,-0.0042,0.0178,-0.0003,-0.0005,-0.0005,0.0000,0.0005,0.0009,0.0011,0.0013,0.0017,NA,NA,NA,NA,NA,-0.0006,NA,0.0032586826709376107,0.7242349703887235,0.0021619650092392214,0.0010378256154777996,0.1690906349580411,5.804905763014112e-4
CSS,1,14,6,0.548902416258322,-1519.3635372590772,-0.0000,0.0002,0.0002,0.0001,0.0002,NA,-0.0004,0.0001,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-0.0000,NA,1.767842687315789e-4,0.4748512444992867,1.2499977375603812e-4,2.9072267851198004e-5,0.15736864535374825,1.964413108025449e-5
CSS,2,13,6,0.5764575425333093,-1290.0274087472217,-0.0000,0.0008,0.0010,0.0005,0.0010,NA,-0.0005,0.0009,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,NA,-0.0000,NA,3.384436426536801e-4,0.49431653048510477,2.2666185590382795e-4,6.493763690873202e-5,0.218702354871733,3.401930493290116e-5
CSS,3,12,6,0.6054935496408345,-1131.7031095793134,0.0000,0.0016,0.0020,0.0011,0.0020,NA,-0.0004,0.0019,-0.0000,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0000,0.0001,0.0003,0.0003,0.0003,0.0003,NA,NA,-0.0001,NA,5.01041003182816e-4,0.5743616734995168,3.360428506909266e-4,1.744336213907902e-4,0.21485149601667466,8.75340153650466e-5
CSS,4,11,6,0.6403617386063639,-1005.4734829864915,0.0001,0.0027,0.0034,0.0020,0.0034,NA,-0.0002,0.0033,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0000,0.0001,0.0002,0.0003,0.0003,0.0003,NA,NA,NA,-0.0001,NA,6.185056819345805e-4,0.6027287326733755,4.227016501148028e-4,1.912015986218989e-4,0.19203723227212108,1.0511686831253909e-4
CSS,5,10,6,0.6818876293687042,-898.0581375344208,0.0002,0.0040°,0.0050°,0.0029°,0.0050°,NA,0.0002,0.0050,-0.0001,-0.0002,-0.0001,-0.0001,-0.0000,0.0001,0.0002,0.0002,0.0003,0.0003,NA,NA,NA,NA,-0.0002°,NA,6.815301663195813e-4,0.6767425663168867,4.51273599888868e-4,2.0640224229244637e-4,0.14798187091366544,9.246721506635769e-5
