goal,yr_lag,r_squared,aic,model,intercept,res_ecol,res_reg,res_soc
AO,6,0.069650468,-135.5942114,prs_res_reg_soc.csv,-0.22546,NA,-0.20911,0.46167 *
CPP,6,0.1582611,-171.5700557,prs_res_reg_soc.csv,0.27572 **,NA,-0.04091,-0.39105 ***
CSS,6,0.1582611,-171.5700557,prs_res_reg_soc.csv,0.27572 **,NA,-0.04091,-0.39105 ***
FIS,6,0.341459602,-153.0432212,prs_res_all.csv,-0.24727,1.07714 *,-0.89925 *,-0.43656 **
HAB,6,0.432100279,-170.7362312,prs_res_all.csv,0.65082,0.86907 *,-2.08526 **,-0.46469 ***
ICO,6,0.020254545,-99.71524184,prs_res_reg_ecol.csv,1.61183,-1.00095,-1.57052 .,NA
SAL,1,0.020960623,-571.6303838,prs_res_reg_ecol.csv,-0.16501 .,0.11689,0.09309 *,NA
SPP,6,0.341208635,-170.1874168,prs_res_reg_soc.csv,1.00016 **,NA,-1.18905 .,-0.54143 ***
