goal,lag,adj_r_squared,intercept,res_reg,res_soc
AO,1,0.3249573719880541,-0.2517,NA,0.3075
AO,2,0.48631330422573094,-0.6072,NA,0.9315
AO,3,0.6525617644782625,-0.9578°,NA,1.5509°
AO,4,0.703207254990492,-1.3856*,NA,2.3552*
AO,5,0.7592492136188149,-1.9216**,NA,3.2814**
AO,6,0.7714821205326445,-2.4638***,NA,4.1722***
AO,1,0.3120441315664446,-0.0806**,NA,NA
AO,2,0.4737165666965245,-0.1000*,NA,NA
AO,3,0.6429552320028787,-0.1049**,NA,NA
AO,4,0.6801835322171813,-0.0570,NA,NA
AO,5,0.7238397153432835,-0.0290,NA,NA
AO,6,0.7235756063150676,-0.0306,NA,NA
CPP,1,0.6394446293902638,0.4048*,-0.0795*,-0.7165*
CPP,2,0.6973258630249964,0.7100*,-0.1394*,-1.2586*
CPP,3,0.7379372661716914,0.8768*,-0.1653°,-1.5391*
CPP,4,0.7751318761817709,0.7556,-0.1486,-1.3913°
CPP,4,0.7690107054454896,0.0944,NA,-0.3828
CPP,5,0.7956074954848316,-0.0149,NA,-0.2610
CPP,6,0.8228672549527952,-0.2359,NA,-0.0086
CSS,1,0.6394446293902638,0.4048*,-0.0795*,-0.7165*
CSS,2,0.6973258630249964,0.7100*,-0.1394*,-1.2586*
CSS,3,0.7379372661716914,0.8768*,-0.1653°,-1.5391*
CSS,4,0.7751318761817709,0.7556,-0.1486,-1.3913°
CSS,4,0.7690107054454896,0.0944,NA,-0.3828
CSS,5,0.7956074954848316,-0.0149,NA,-0.2610
CSS,6,0.8228672549527952,-0.2359,NA,-0.0086
CW,1,0.12419391359692311,-0.0014,0.0026,NA
CW,3,0.12045074901329889,-0.0632,0.0751,NA
CW,1,0.124193913596923,0.0004,NA,NA
CW,2,0.10688081581206832,-0.0106,NA,NA
CW,3,0.12045074901329822,-0.0118,NA,NA
CW,4,0.2352468910616332,-0.0066,NA,NA
CW,5,0.2384934207583982,-0.0127,NA,NA
CW,6,0.41593257406658257,0.0028,NA,NA
FIS,1,0.5088674391111944,-0.0438*,-0.2209*,NA
FIS,2,0.6671208740412341,-0.1194***,-0.4423***,NA
FIS,3,0.6813638272788713,-0.1327***,-0.5141***,NA
FIS,4,0.6877421834639049,-0.1162***,-0.6389***,NA
FIS,5,0.7243724009190631,-0.1183***,-0.8538***,NA
FIS,6,0.7268007112920387,-0.1436***,-0.8950***,NA
FIS,3,0.6624052647053722,-0.7030***,NA,0.8907**
FIS,4,0.6711347855200472,-0.8998***,NA,1.2195***
FIS,5,0.7186588647402599,-1.2763***,NA,1.7883***
FIS,6,0.7268909503114498,-1.5178***,NA,2.1242***
HAB,2,0.4155125608411874,-0.0139,-0.2939°,NA
HAB,4,0.42899914004191375,-0.8306°,0.6710,0.9065
HAB,6,0.6316352313949382,-1.0909*,0.7083,1.2708*
HAB,3,0.3678973852899422,-0.1579,NA,0.1125
HAB,5,0.4903292680703263,-0.4082°,NA,0.4967
HAB,1,0.2435087226217093,-0.0277,NA,NA
HAB,2,0.40245562294784,-0.0936***,NA,NA
HAB,3,0.31507195296979407,-0.1009***,NA,NA
HAB,4,0.3213511943203753,-0.1052***,NA,NA
HAB,5,0.3655488880576674,-0.1129***,NA,NA
HAB,6,0.4637615451467617,-0.1321***,NA,NA
ICO,4,0.5281415434011112,-0.4288,1.2322,0.1517
ICO,5,0.5526242490786207,0.0142,1.2170,-0.5166
ICO,6,0.569908187889287,1.0698°,NA,-1.7466*
ICO,1,0.21767587424312917,-0.0063,NA,NA
ICO,2,0.20110787529890295,-0.0246,NA,NA
ICO,3,0.29717791775143987,-0.0174,NA,NA
ICO,4,0.37412076222949997,0.0123,NA,NA
ICO,5,0.37690884036798966,0.0359,NA,NA
ICO,6,0.4053677363238313,-0.0092,NA,NA
LSP,2,0.5238647065868294,0.0772,NA,-0.1590°
LSP,3,0.5326129360168257,0.1797*,NA,-0.3162**
LSP,4,0.6396344698794447,0.2427**,NA,-0.4071***
LSP,5,0.6452833284222107,0.2789**,NA,-0.4694**
LSP,6,0.7137089939329946,0.2622*,NA,-0.4383*
LSP,1,0.3159785558451834,-0.0101,NA,NA
MAR,1,0.6457159466222895,-0.3655***,0.4420***,NA
