goal,lag,yrs,rgns,adj_r_squared,aic,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,pressures,na,rmse,rsquared,mae,rmsesd,rsquaredsd,maesd
AO,1,14,6,0.8232550252236276,-275.8473231469277,0.0494,0.0073,0.0287,0.0025,0.0330,NA,0.0325,0.0354,0.0898**,-0.0871**,0.0200,-0.0880**,-0.1151***,-0.0081,0.1180***,-0.0564,-0.2358***,0.1908***,0.0034,0.1842***,-0.2010***,0.1426**,-0.0031,NA,0.06566898539192417,0.7962080794090307,0.04917762237857659,0.01468605252576218,0.0787796473712118,0.010411873949294359
AO,2,13,6,0.812706223277186,-235.74127285065163,0.2342*,0.0136,0.0834°,0.0137,0.0859,NA,0.0745°,0.0951,-0.1040**,-0.1682***,-0.1718***,-0.2899***,-0.2163***,0.0169,-0.0326,-0.3785***,-0.1950***,0.0855°,0.0839°,-0.1690**,-0.1959***,NA,-0.0086,NA,0.07336333580234473,0.7767675789798288,0.05843595319473732,0.012153795122425905,0.0868287708424313,0.010273924272361202
AO,3,12,6,0.8781243084015699,-221.7006203226274,-0.0136,0.0310,0.0494,-0.0222,0.0392,NA,0.0579,0.0234,0.0241,-0.1464***,-0.1780***,-0.2056***,-0.0266,0.0503,-0.1739***,-0.1128**,-0.0493,0.4743***,-0.0056,0.1318*,NA,NA,-0.0004,NA,0.07357423001055613,0.8287218654168156,0.05814391864621657,0.0149093283827597,0.08654290748491444,0.011693855620240168
AO,4,11,6,0.8056688073707805,-192.6737526387769,0.0260,0.0352,0.0812,-0.0098,0.0707,NA,0.0874°,0.0538,-0.0929*,-0.2729***,-0.2133***,-0.1370***,-0.0972*,-0.2069***,-0.0314,-0.1230**,0.1144*,0.1663**,0.1224*,NA,NA,NA,-0.0020,NA,0.07961507120994941,0.779968228521093,0.06299711666859253,0.013748474344053623,0.06205085733466217,0.011242729172155559
AO,5,10,6,0.8750925991843462,-177.46988836794856,-0.1119,0.0361,0.0850,-0.0116,0.0652,NA,0.1013*,0.0384,-0.1086**,-0.1872***,-0.0245,-0.0893*,-0.2145***,0.0493,0.0806*,0.1597***,-0.0006,0.4637***,NA,NA,NA,NA,0.0001,NA,0.07895657279281904,0.8332109662759312,0.06448811627236324,0.014193553094681127,0.07229246672474653,0.01142282719377556
AO,6,9,6,0.8180326925540543,-149.05294498686365,-0.2738,0.0590°,0.1087,-0.0125,0.0829,NA,0.1345*,0.0600,-0.0052,0.0123,0.0430,-0.1682***,0.0421,0.1777***,0.4012***,0.0691,0.2671***,NA,NA,NA,NA,NA,0.0017,NA,0.08663564182035176,0.7647526886866102,0.06613044270265504,0.020113194459413928,0.1419472968120443,0.01415831021563721
CPP,1,14,6,0.5823966026614831,-1231.9345414345976,-0.0006°,-0.0006*,-0.0023**,-0.0008*,-0.0034**,NA,-0.0033***,-0.0040**,0.0000,0.0001,0.0001,0.0000,0.0001,0.0001,0.0003,0.0004,0.0009*,0.0010**,0.0010**,0.0010**,0.0010**,0.0009*,0.0001**,NA,7.239828538050625e-4,0.457869657598751,5.342846912312854e-4,1.6301532827557417e-4,0.24777701752372963,1.1743403147692483e-4
CPP,2,13,6,0.6011007193410974,-1020.2885436857143,-0.0011°,-0.0011°,-0.0043**,-0.0016*,-0.0063**,NA,-0.0065***,-0.0076**,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002,0.0005,0.0013°,0.0019**,0.0020**,0.0020**,0.0020**,0.0020**,NA,0.0002**,NA,0.001335875691711348,0.5167199994581851,9.357807850647143e-4,2.709364178216261e-4,0.21438084824456183,1.547658111576164e-4
CPP,3,12,6,0.6212239022948169,-879.6737935789024,-0.0016°,-0.0017°,-0.0062*,-0.0023°,-0.0089*,NA,-0.0097***,-0.0108*,0.0002,0.0003,0.0003,0.0002,0.0002,0.0003,0.0012,0.0021*,0.0028*,0.0029**,0.0029**,0.0029**,NA,NA,0.0003*,NA,0.002025854353834401,0.5069289998262372,0.0014253006958946841,4.99998900914296e-4,0.2539709605096488,2.9160297791609485e-4
CPP,4,11,6,0.6451118488019201,-770.5658465392987,-0.0018,-0.0020,-0.0076*,-0.0027°,-0.0107*,NA,-0.0126***,-0.0130*,0.0002,0.0004,0.0003,0.0002,0.0002,0.0009,0.0019,0.0028*,0.0035*,0.0036*,0.0036*,NA,NA,NA,0.0003*,NA,0.0025382041373916446,0.5630035954890006,0.0017429154489509203,5.210427595126473e-4,0.24233608347354862,2.298418712921795e-4
CPP,5,10,6,0.6771495795944059,-680.4983205165034,-0.0020,-0.0023,-0.0086°,-0.0031,-0.0119°,NA,-0.0153***,-0.0143°,0.0002,0.0004,0.0003,0.0002,0.0008,0.0015,0.0025,0.0034*,0.0041*,0.0043*,NA,NA,NA,NA,0.0003°,NA,0.003055688922667324,0.6071188149437424,0.002058105917655833,0.0010347426787678004,0.3211560820049465,5.872100980940588e-4
CPP,6,9,6,0.721161640003821,-604.8164656939094,-0.0020,-0.0023,-0.0086,-0.0030,-0.0118,NA,-0.0176***,-0.0141,0.0002,0.0004,0.0003,0.0007,0.0013,0.0020,0.0029°,0.0039*,0.0046*,NA,NA,NA,NA,NA,0.0003,NA,0.0032712159046831887,0.6857635525080216,0.0021812746573114544,0.0011315809211965419,0.2464015059676431,5.760507755501894e-4
CSS,1,14,6,0.579722839171563,-1526.7943124635171,-0.0001°,-0.0001°,-0.0005*,-0.0002°,-0.0007*,NA,-0.0008***,-0.0009**,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002**,0.0002**,0.0002**,0.0002**,0.0002**,0.0002**,0.0000*,NA,1.7022653525828872e-4,0.4731377789343477,1.2683038816329738e-4,3.206774847073285e-5,0.20224182295540408,2.2771252975735675e-5
CSS,2,13,6,0.5956938584524647,-1294.5825855281637,-0.0002°,-0.0002,-0.0008*,-0.0003°,-0.0012*,NA,-0.0015***,-0.0017*,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003°,0.0005*,0.0005**,0.0005**,0.0005**,0.0005*,NA,0.0000*,NA,3.4540446023801193e-4,0.5200696848386218,2.4842698222624066e-4,7.181433519634164e-5,0.17346411975926165,4.191501544779001e-5
CSS,3,12,6,0.6169868867796989,-1134.3936396128622,-0.0004,-0.0003,-0.0012°,-0.0004,-0.0017°,NA,-0.0022***,-0.0024*,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003,0.0005*,0.0007*,0.0007**,0.0007**,0.0007**,NA,NA,0.0001°,NA,4.963979366955526e-4,0.5281605746345792,3.514946401685598e-4,1.3697920865553815e-4,0.23000211946526702,8.066277798913599e-5
