goal,lag,adj_r_squared,intercept,pressures
AO,1,0.8243197708550121,0.0962,-0.0064
CPP,1,0.537382010932977,-0.0003,0.0001
CSS,1,0.548902416258322,-0.0000,-0.0000
CW,1,0.15166606912112957,-0.0227*,0.0007*
FIS,1,0.5977606915749093,-0.8324**,-0.0092
HAB,1,0.03739467414982833,-0.0098,0.0010
LSP,1,0.1996402722838786,-0.2077,0.0100
LVF,1,0.5706627724169147,0.0122,-0.0003
LVN,1,0.028617024095619614,-0.0343,0.0003
MAR,2,0.3933525798309532,-12.3308,0.3666
SAL,3,1,-0.1356***,0.0000
SPP,1,0.7806658199265951,-0.0012*,0.0000
TR,1,-0.037947408418284034,-0.4966,0.0180
