goal,intercept,slope,r_sq,fixed_effects
AO,48.58705989590352,0.29533541143553443,0.16711769271820787,none
BD,85.47089543211136,0.07987121174909058,0.028531393931283233,none
CPP,60.25971318561513,0.3945113498354613,0.27201848064332923,none
CSS,35.44670015541472,0.6443540585530104,0.4866752440698102,none
CW,51.266510045814414,0.4056383457494409,0.3047955214452073,none
FIS,46.94773520697679,-0.033634117439180995,-0.006565325438930847,none
FP,38.2691658660686,0.21388575156501985,0.0729200827104508,none
HAB,91.09289943555372,0.0651073122398241,0.009269168104473202,none
HS,38.019227473444474,0.6181117942037935,0.473460163088128,none
ICO,68.54562693708063,-0.006789034461653251,-0.004719223448429011,none
Index,38.14986001737606,0.50065605103236,0.2995923114131076,none
LSP,38.51900117612905,0.11187345535198973,0.0076656203706683135,none
LV,59.310030653144835,0.27793725381562384,0.2787226555194039,none
LVF,71.00580068648233,-0.03539672094843019,-0.007325349719737639,none
LVO,86.34475142517351,0.047728955350073446,0.0037812809282714577,none
SAL,59.31012125597899,-0.00603970252201961,-0.013026362152928739,none
SP,48.45096544202269,0.14867219461576836,0.02032380244098342,none
SPP,68.04845015756379,0.2316284915533652,0.19444063673853684,none
TR,120.51320671903568,-0.2738922157887079,0.053959988836849604,none
AO,60.65394315399495,0.10360532691886247,0.5055557936552069,region
BD,94.12597885778787,-0.009845677347985207,0.9037705738791428,region
CPP,89.68316743866433,0.10512154715718032,0.9597383528690437,region
CSS,90.35738682306625,0.097234313963249,0.9899956943134798,region
CW,85.21128074566485,0.004587290624570089,0.994068440697856,region
FIS,41.64152065012935,-0.14977532697850568,0.27664107371081337,region
FP,43.105620467355855,0.031124052684259756,0.49118041324126904,region
HAB,100.5751734285998,-0.006908292751499005,0.8038573244014732,region
HS,84.93828033060785,0.15267002058276508,0.9769668632359227,region
ICO,67.40273490111738,4.941030021622987e-4,0.852767787879576,region
Index,67.09637616861235,0.10615271938156937,0.8094445321030639,region
LSP,62.582089671943784,-0.07259026784683316,0.5677406438785888,region
LV,68.91606408421,0.15944133555279988,0.41840817228875526,region
LVF,78.07549781508548,-0.09308197666506199,0.5611689235041026,region
LVO,94.08360636764077,-0.07343909065573362,0.5337105249177558,region
SAL,56.39853774117412,-0.005124566074403099,-0.08102222737847953,region
SP,59.91943142151723,-0.04681899468205158,0.5661578684511139,region
SPP,86.44511519843269,7.527286134755979e-4,0.9987105162180879,region
TR,134.71706287613392,-0.4106583612056386,0.2653895614440155,region
