goal,model,lag,yrs,rgns,adj_r_squared,aic,model_error,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,res_ecol,res_reg,res_soc,rmse,rsquared,mae,rmsesd,rsquaredsd,maesd
CW,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),1,13,6,0.12419391359692311,-535.5728555125961,NA,-0.0014,-0.0022,-0.0074,-0.0008,-0.0004,NA,-0.0019,-0.0014,-0.0117,-0.0013,0.0053,-0.0071,0.0173°,-0.0150,-0.0024,0.0067,0.0120,-0.0196*,0.0068,-0.0004,0.0008,NA,NA,0.0026,NA,0.01963198254944089,0.08191707343640776,0.011703880612506093,0.0044139637112309916,0.09911450634991203,0.002555705537240174
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),2,12,6,0.10688081581206821,-472.33722703253704,NA,-0.0633,-0.0045,-0.0150*,-0.0014,-0.0009,NA,-0.0042,-0.0039,-0.0012,0.0158,0.0098,0.0217*,0.0132,-0.0058,0.0161,0.0307**,0.0030,-0.0007,0.0019,-0.0021,NA,NA,NA,0.0770,NA,0.020963313337975718,0.0970134929832792,0.014004663428676333,0.006723149802986836,0.0851205145579061,0.0029749688864909927
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),3,11,6,0.12045074901329889,-431.600025200565,NA,-0.0632,-0.0065,-0.0226**,-0.0018,-0.0009,NA,-0.0051,-0.0041,0.0052,0.0098,0.0283*,0.0072,0.0119,0.0018,0.0297**,0.0107,0.0115,0.0006,0.0048,NA,NA,NA,NA,0.0751,NA,0.021953892043239654,0.12856110461794715,0.014210117941063052,0.007598357674219852,0.1483864508269726,0.003616774370734191
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),4,10,6,0.2352468910616331,-420.51076004119534,NA,-0.0584°,-0.0085,-0.0301***,-0.0021,-0.0014,NA,-0.0056,-0.0042,-0.0070,0.0218*,0.0073,-0.0004,0.0135,0.0081,0.0032,0.0129,0.0064,-0.0034,NA,NA,NA,NA,NA,0.0756°,NA,0.019610858370261754,0.19173202111763266,0.014172979030695886,0.005707002699744245,0.15139492208215077,0.003105396071065653
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,degenerate model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,degenerate model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),1,13,5,0.138525114929282,-444.2820381422449,NA,0.0009,NA,-0.0048,0.0024,0.0028,NA,0.0016,0.0022,-0.0137,-0.0014,0.0061,-0.0080,0.0200°,-0.0175,-0.0029,0.0077,0.0139,-0.0227*,0.0078,-0.0005,0.0010,NA,NA,0.0026,-0.0067,0.020411755617987973,0.1232613306023937,0.012669078804074687,0.005755729708246253,0.09299536218412467,0.0029597342210159433
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),2,12,5,0.10926180803640784,-390.27913948371776,NA,-0.0789,NA,-0.0107,0.0028,0.0034,NA,-0.0000,0.0003,-0.0014,0.0183,0.0117,0.0253*,0.0151,-0.0069,0.0185,0.0356**,0.0037,-0.0008,0.0021,-0.0024,NA,NA,NA,0.0895,0.0013,0.024557883542740275,0.07103065779060695,0.016646014268647615,0.006610302678488902,0.08437255991087556,0.0036282277800791553
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),3,11,5,0.11024058849055374,-355.65563243030476,NA,-0.0541,NA,-0.0134,0.0100,0.0111,NA,0.0086,0.0102,0.0060,0.0118,0.0332*,0.0088,0.0139,0.0021,0.0344**,0.0125,0.0133,0.0004,0.0055,NA,NA,NA,NA,0.0861,-0.0390,0.024145748113784,0.1564035438026469,0.016020019736054672,0.008808482155450352,0.1483958355850402,0.004168208333562142
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),4,10,5,0.22246046717270052,-347.58149511317396,NA,-0.0203,NA,-0.0155,0.0177,0.0188,NA,0.0183,0.0207,-0.0078,0.0259*,0.0090,0.0003,0.0161,0.0098,0.0041,0.0150,0.0072,-0.0044,NA,NA,NA,NA,NA,0.0853°,-0.0844,0.02189263421700151,0.1911339879714802,0.016842280957271766,0.006518347633085648,0.16476307814640778,0.004043680562394977
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,degenerate model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
