goal,adj_r_squared,aic,intercept,factor_rgn_name_central_coast,factor_rgn_name_haida_gwaii,factor_rgn_name_north_coast,factor_rgn_name_north_vancouver_island,factor_rgn_name_pacific_offshore,factor_rgn_name_strait_of_georgia,factor_rgn_name_west_vancouver_island,pred_status
BD,0.9987574971941948,-199.96209470117333,86.6254***,2.0831***,2.2256***,-1.6442***,0.7908***,7.9670***,-1.5268***,3.5405***,-0.0013
CW,0.9941225109568728,-31.08457687515115,85.8541***,1.4109***,5.3334***,1.7151***,3.3720***,NA,-3.5948***,0.0067,-0.0029
FIS,0.22071610259259733,904.3377826001451,44.1315***,23.2355***,14.8238*,9.9390°,14.9786**,-6.4016,NA,19.1502**,-0.1702**
FP,0.4140850349905357,987.8278702904905,46.8934***,12.4017**,-0.4893,2.1904,10.4683*,-19.0376***,14.6947**,9.9974*,0.0897
ICO,1,-7484.139194795525,65.7895***,-0.0000,-0.0000,0.0000**,0.7105***,0.7105***,0.8772***,0.7105***,-0.0000***
Index,0.44084433039495985,736.1813187426127,69.1305***,1.7204,3.9482**,-2.8309°,0.3363,-7.8361***,0.6721,4.2844**,0.0440
LSP,0.5553902088883804,841.4815982618519,55.9039***,NA,23.1075***,-23.1816***,-30.3758***,NA,-34.1467***,11.5816°,-0.0836
LV,0.6268136972625246,506.56244267380674,59.9693***,NA,-2.4220*,-6.9187***,-5.2622***,NA,0.0612,-2.2267°,0.1985***
LVF,0.5456698030568273,525.4501041421947,76.5057***,NA,-2.5328*,-11.4995***,-5.6920***,NA,0.7971,-2.2938°,-0.0678
LVN,0.5337105249177558,416.84940931598726,94.0836***,NA,0.3084,5.5495***,1.0876,NA,5.6452***,3.7661***,-0.0734*
SAL,0.15549127443554844,636.8310625300478,44.4693***,1.8105,1.8105,-0.0000,1.8105,NA,1.8105,1.8105,0.3356***
SP,0.6167436279847112,907.5000768306047,69.3315***,-7.6965**,3.9991,-19.1030***,-22.1427***,0.3625,-23.8540***,-1.4337,-0.0545
SPP,0.9987111395389116,-201.93163065614178,86.4178***,2.0814***,2.2265***,-1.6405***,0.7914***,7.9662***,-1.5237***,3.5376***,0.0011
TR,0.2653895614440155,172.2963263618173,134.7171***,NA,NA,-9.9049*,0.3538,NA,2.8907,0.2971,-0.4107*
