goal,adj_r_squared,aic,intercept,factor_rgn_name_central_coast,factor_rgn_name_haida_gwaii,factor_rgn_name_north_coast,factor_rgn_name_north_vancouver_island,factor_rgn_name_pacific_offshore,factor_rgn_name_strait_of_georgia,factor_rgn_name_west_vancouver_island,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,factor_year_2016,pred_status
AO,0.8344964002531469,634.909408506531,68.6312***,-8.3981***,-0.4158,11.4586***,4.5151**,NA,-2.0820,11.4429***,-0.1485,6.2795°,0.1682,1.7781,-4.0021,-11.9194***,-12.7950***,-5.4901*,-9.0425***,-23.0576***,-12.4966***,-11.1749***,0.3876,-13.0356***,-2.7474,0.0278
BD,0.9193125994616538,349.2197402522402,93.0338***,-0.7921*,-0.3034,-1.0774**,-0.2061,4.0570***,-6.7985***,1.7615***,-0.0263,-0.0815,-0.0849,-0.1679,-0.1025,-1.0641*,-1.5752***,-0.9441*,-0.5800,-0.5686,-0.9453*,-1.1419**,-0.2308,-0.9355*,-0.9699*,0.0080
CPP,0.9711211019315835,67.35642422400642,87.4058***,-0.2457*,-0.2589*,0.0396,-0.5793***,NA,-4.6264***,-0.2278*,-0.0543,-0.1149,-0.1653,-0.2121,-0.4357**,-0.4763**,-0.5211**,-0.5616***,-0.6063***,-0.5996***,-0.5938***,-0.5865***,-0.5800***,-0.5734***,-0.5775***,0.1326***
CSS,0.9922743686202424,-247.01415111210503,90.4429***,-0.0907**,-0.0800**,-0.1098***,-0.1653***,NA,-2.2883***,-0.3529***,-0.0159,-0.0312,-0.0464,-0.0608,-0.0809*,-0.0953*,-0.1097**,-0.1244**,-0.1375***,-0.1359***,-0.1344***,-0.1331***,-0.1316**,-0.1303**,-0.1312**,0.0973***
CW,0.9947256893563596,-30.65662897702576,85.2337***,1.3869***,5.3002***,1.6844***,3.3476***,NA,-3.5862***,-0.0066,-0.0010,0.1535,0.1819°,0.1196,0.2172*,-0.0326,0.1600,0.1342,0.0256,-0.1617,0.1564,0.0693,0.0718,0.0750,0.0784,0.0035
FIS,0.6507673786038689,899.2117874135724,13.6719°,45.4853***,36.7826***,32.4326***,37.6649***,-14.8985*,NA,41.6178***,-11.0464,-13.9708,-11.2836,-4.8752,6.6618,22.0007**,19.2568*,9.8388,14.0100°,14.2424°,11.5609,4.8817,-5.0713,-1.1833,-10.0290,-0.0908
FP,0.8020604464447266,954.8068156596761,24.0716***,24.6339***,11.1250**,15.1048***,22.5532***,-33.3151***,25.6942***,22.1284***,-8.1139,21.0058***,8.9067,10.2190°,21.2487***,16.9299**,20.8973***,13.1454*,18.8861***,17.6903**,11.7053*,2.5735,12.0503*,9.1042°,19.7171***,0.0579
HAB,0.8379886937540195,525.9335236543569,99.4856***,-3.6325***,-2.8161***,-0.4555,-1.1873°,0.1801,-12.0294***,-0.0026,-0.0165,-0.0348,-0.0778,-0.0331,0.0386,-1.9272*,-3.0598***,-1.8243*,-1.0975,-1.0572,-1.7481*,-2.2465*,-0.4294,-1.9188*,-1.9446*,0.0149
HS,0.9813597267245977,-50.607043263245316,85.0056***,-0.2116**,-0.2127**,-0.2144**,-0.4108***,NA,-3.4068***,-0.3251***,-0.0320,-0.0755,-0.1057,-0.1358,-0.2008*,-0.2277*,-0.2566**,-0.2834**,-0.3115**,-0.3063**,-0.3018**,-0.2965**,-0.2916**,-0.2866**,-0.2898**,0.1541***
ICO,1,-7451.390447050486,65.7895***,0.0000,0.0000,0.0000,0.7105***,0.7105***,0.8772***,0.7105***,-0.0000**,-0.0000**,-0.0000**,-0.0000**,-0.0000*,-0.0000*,-0.0000*,-0.0000*,-0.0000*,-0.0000*,-0.0000*,-0.0000*,-0.0000*,-0.0000*,-0.0000*,0.0000***
