term,estimate,std.error,statistic,p.value,adj_r_squared,aic,yrs,rgns,params,goal,lag,model_error
(Intercept),0.04937088015170979,0.08822998411416795,0.5595703166830994,0.5772795199302547,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
prs_omit_soc,-0.0031189630782546586,0.004853353593965095,-0.6426408086426949,0.5222284826294054,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(rgn_code)CC,0.007349291523076848,0.02153218164150197,0.34131662297105725,0.7337278029897145,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(rgn_code)HG,0.02871105228442961,0.039974747480398545,0.7182297348721954,0.4746325644136372,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(rgn_code)NC,0.0024685012917375084,0.02838053501052799,0.08697867361632886,0.9308979606853405,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(rgn_code)NV,0.03302105630785264,0.04638219014012222,0.7119339601708085,0.47850203232114397,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(rgn_code)SG,0.03253417797374492,0.03373000452861776,0.9645470977076728,0.3375736421847304,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(rgn_code)WV,0.035360744224695526,0.054940862829263686,0.6436146504393991,0.521599774579103,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2002,0.08979852542415094,0.03236034561514012,2.774955697078148,0.006819372719969429,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2003,-0.08710623153812459,0.032388781319003905,-2.689395154457867,0.00865081792074158,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2004,0.020048281200383548,0.032184671822601166,0.6229139545336289,0.5350489051207591,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2005,-0.08797340040267057,0.03144166696048016,-2.7979877947707608,0.006390977995287361,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2006,-0.11505979922494754,0.03148385494913445,-3.6545651544526234,4.5035234753762807e-4,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2007,-0.008059961241912498,0.03152055993646545,-0.2557048877989031,0.7988113550462224,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2008,0.11798454549529439,0.03148748256506662,3.7470301174915392,3.295010887068215e-4,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2009,-0.05643191173537041,0.03440698025144134,-1.640129744690583,0.10476295310434855,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2010,-0.23575645270188864,0.03814516433478619,-6.1805069348434385,2.2798972078423246e-8,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2011,0.1907565360108655,0.04423420011588305,4.312421961087324,4.421469192995892e-5,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2012,0.003378654587228048,0.04199033583571599,0.08046267123098938,0.9360629823756009,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2013,0.18416565593234072,0.04411722417927063,4.174461547806869,7.32573157593348e-5,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2014,-0.20101053127164217,0.043316993890951845,-4.640454316328486,1.2848794393240755e-5,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
factor(year)2015,0.14262004209640475,0.04330267727221595,3.2935617629331486,0.001455295532245917,0.8232550252236276,-275.8473231469277,14,6,41,AO,1,NA
(Intercept),-5.824249124719374e-4,3.057437865581812e-4,-1.9049443948752347,0.0602506990386353,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
prs_omit_soc,1.0048025777926197e-4,3.245644838051052e-5,3.095848831063058,0.00267602933858087,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(rgn_code)CC,-5.897521263257496e-4,2.9570477660224306e-4,-1.99439499456931,0.04939146172404862,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(rgn_code)HG,-0.002272930417805428,7.682328764833349e-4,-2.9586476801279336,0.004024956432709059,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(rgn_code)NC,-8.266845741692489e-4,3.4993851905557185e-4,-2.36237089989504,0.020498670578419587,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(rgn_code)NV,-0.003362726076933494,0.0010637075461285878,-3.1613257696368606,0.002193082628723679,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(rgn_code)SG,-0.003341767273009933,4.742140188802409e-4,-7.0469601065376155,4.947374989566168e-10,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(rgn_code)WV,-0.004041583915235997,0.001324931232678464,-3.0504103273839975,0.0030674725641496006,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2002,8.456663585419009e-6,3.3172695414353346e-4,0.025492844279877035,0.9797230483518264,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2003,8.643327047736157e-5,3.3318368995885e-4,0.2594162712107443,0.7959564291579808,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2004,8.927007870328463e-5,3.324744601332632e-4,0.26850206379011243,0.7889791207564649,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2005,4.628906317864258e-5,3.320602115197475e-4,0.13939960757957232,0.8894720809303103,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2006,7.599380942298585e-5,3.321928034635344e-4,0.22876416536015617,0.8196149365933135,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2007,7.770434954580681e-5,3.342365829505984e-4,0.23248307788406228,0.8167351332688773,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2008,2.6002545457284946e-4,3.4250108265560376e-4,0.7591960076643428,0.44988608882727266,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2009,3.598693224890311e-4,3.5535046405944516e-4,1.0127166245344483,0.3141386951113996,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2010,9.475196990773247e-4,3.6184185095381225e-4,2.618601736033768,0.010493063599665365,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2011,9.94027704106583e-4,3.6816037887262525e-4,2.6999855529008268,0.008402071144378728,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2012,9.98046914417754e-4,3.687300745878149e-4,2.70671416084902,0.008247431830900607,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2013,0.0010068030511670894,3.6998393333976273e-4,2.7212074915764637,0.007923112438773517,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2014,9.852715673572474e-4,3.6693209793904933e-4,2.685160477623055,0.008752143655055786,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
factor(year)2015,9.317299442834404e-4,3.598140808616993e-4,2.5894760484417136,0.011349148396017706,0.5823966026614831,-1231.9345414345976,14,6,41,CPP,1,NA
(Intercept),-1.3646381168957067e-4,7.508744026486987e-5,-1.8173986382835337,0.07276484571213301,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
prs_omit_soc,1.9981384231313288e-5,7.970960445070748e-6,2.5067724735316936,0.014134733667698315,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(rgn_code)CC,-1.2101932196679367e-4,7.262196559776164e-5,-1.6664286207439658,0.09939779067537735,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(rgn_code)HG,-4.520840584338497e-4,1.8866986921245096e-4,-2.396164582722969,0.0188156767357103,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(rgn_code)NC,-1.6766811115794672e-4,8.594119913852156e-5,-1.9509631333825848,0.054435470623780485,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(rgn_code)NV,-6.620534201989061e-4,2.6123532297531307e-4,-2.53431814908687,0.013145230613381043,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(rgn_code)SG,-7.592366443181887e-4,1.1646194748967717e-4,-6.519182107833849,5.185756939781298e-9,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(rgn_code)WV,-9.019857666320826e-4,3.253890975471158e-4,-2.772022091187233,0.006875784395786607,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2002,1.3006520161604154e-5,8.146863141161448e-5,0.1596506524810713,0.8735441515696574,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2003,1.5860388792624493e-5,8.182639032062004e-5,0.1938297501634716,0.846782778347025,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2004,1.8879895869468104e-5,8.165221097665918e-5,0.2312233268841311,0.8177103629275891,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2005,2.5971492013782393e-6,8.155047589850003e-5,0.03184713728232221,0.9746704143847404,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2006,1.6412123108883745e-5,8.158303907752905e-5,0.20117077390665927,0.8410572245286376,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2007,2.7885189665532383e-5,8.208496970342023e-5,0.3397112743817032,0.7349321109279459,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2008,4.6338900087877044e-5,8.411464342109211e-5,0.5509017003840423,0.5831809342615295,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2009,7.867490841770045e-5,8.727031559177699e-5,0.9015082377576914,0.3699267410652002,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2010,2.3669927812379897e-4,8.886453155656879e-5,2.6635967576459065,0.009285054949386593,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2011,2.4594780453943534e-4,9.041629518521574e-5,2.720171226166885,0.007945909295006553,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2012,2.46747059908688e-4,9.055620642745227e-5,2.724794573924269,0.007844659789924706,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2013,2.484882948202737e-4,9.086414087543345e-5,2.734723428034485,0.00763118745264579,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2014,2.4420656962784946e-4,9.01146423789017e-5,2.709954377902796,0.008173892797370684,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
factor(year)2015,2.335593463160212e-4,8.836653266875345e-5,2.6430746942570504,0.009819428023135726,0.579722839171563,-1526.7943124635171,14,6,41,CSS,1,NA
(Intercept),-0.07889637168220384,0.011548278876610649,-6.83187274269908,1.295968690198771e-9,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
prs_omit_soc,0.0025441103986586144,3.7118675367906113e-4,6.853990271587995,1.174162184948859e-9,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(rgn_code)CC,-0.016274053242322863,0.0025336033344224257,-6.423283795540468,7.905903394911744e-9,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(rgn_code)HG,0.001412000667714057,8.975418900839326e-4,1.5731863696991517,0.11948006803797735,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(rgn_code)NC,-0.01632536039495901,0.002522923232941521,-6.470811391246726,6.416295285110222e-9,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(rgn_code)NV,-0.018269649903067783,0.002808048005667271,-6.506174348228923,5.4915988028926704e-9,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(rgn_code)SG,-0.06071259077369886,0.008965359380920208,-6.7719082073726415,1.6929445126196888e-9,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(rgn_code)WV,-0.04792951392878179,0.007062628548668646,-6.786356325906001,1.5874666956629112e-9,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2002,0.0019834330794516013,0.0012805855758288099,1.5488485243697208,0.12522289375498472,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2003,0.0020759212205069813,0.001304973701891003,1.5907762872913211,0.11546180216613511,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2004,0.001290698025374499,0.0013137024013376204,0.9824888985970505,0.3287143313363119,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2005,0.00261716494125946,0.0013002086063847165,2.0128808011328236,0.047368880507542684,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2006,-4.039847942237162e-4,0.0013311040573063,-0.30349602798239794,0.7622713394274327,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2007,0.002916944385067502,0.001283493820290051,2.2726594697653586,0.025631531735890653,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2008,0.0024088193323628334,0.0013401482170020654,1.7974275545069214,0.07590467960686818,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2009,0.001704496951661645,0.0013519100133198127,1.2608065143892258,0.21091123944128767,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2010,7.465877506885444e-5,0.0013226305365112558,0.05644718839305211,0.9551212310788995,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2011,0.004628734911698253,0.0012862809478404588,3.598541142562557,5.429482341435126e-4,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2012,0.002597560683047382,0.0013838720346090116,1.8770237551489193,0.06402828376211776,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2013,0.0029739986479016566,0.0013498818438483795,2.2031547882910116,0.030355130423528855,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2014,0.0031265836060613322,0.0013570977134817045,2.303875082097014,0.023729604324732263,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
factor(year)2015,0.0031228347457592934,0.0013569221049762913,2.3014104747109685,0.02387510450069618,0.4227241680744649,-947.8869623496482,14,6,41,CW,1,NA
(Intercept),0.08060761208193193,0.3629583550956778,0.22208501595364383,0.824966069852942,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
prs_omit_soc,-0.08129434809853855,0.027239983203590088,-2.984375852618895,0.004040579583335158,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(rgn_code)CC,0.8823334513866171,0.12218615610918007,7.221222759460601,8.216813431580808e-10,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(rgn_code)HG,1.6376495037387195,0.31202921541809076,5.248385160166551,1.9173885166745676e-6,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(rgn_code)NC,1.3614280521243245,0.22323820326962396,6.098544210553473,7.211247833374883e-8,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(rgn_code)NV,1.9008293141781782,0.421034267817415,4.514666523539335,2.8391284239652333e-5,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(rgn_code)PO,-0.1025951056857642,0.1527528579992871,-0.6716411530987068,0.5042676642010098,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(rgn_code)WV,1.6106347411734077,0.33500159041318434,4.8078420737850305,9.855394070108105e-6,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2002,0.03877490829511539,0.14127184476504648,0.27447017740585977,0.7846213476563249,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2003,0.11947911374980269,0.15002822046170936,0.7963775973753985,0.4288034386327554,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2004,0.23070193396858316,0.1515663385777313,1.522118539864753,0.13298325898019,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2005,0.39650449165877444,0.14503788556394942,2.7337994491373743,0.008117957047215235,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2006,0.2626337600750025,0.1433822542417304,1.8317033824299074,0.07172395004624675,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2007,0.14893107702433148,0.1392028027578521,1.0698856206466045,0.28875280941237413,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2008,-0.17963295150151132,0.15538984449760138,-1.1560147452511556,0.2520403020064323,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2009,-0.0899371068855753,0.18162427623028032,-0.4951821901359958,0.6221942739839202,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2010,-0.22523338182226127,0.19813358467535666,-1.1367753840991057,0.25993767627491665,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2011,-0.3840247265291399,0.21013809569112124,-1.827487420908258,0.07236315857899664,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2012,-0.4484938333422975,0.21649073368492,-2.071653717960207,0.04239801498850446,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2013,-0.42746240800074037,0.2181705624110486,-1.959303781760306,0.05450566653077244,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
factor(year)2014,-0.4936991651986849,0.23740649608515177,-2.079552048237161,0.04164206540362104,0.6467332924623949,4.249715687605679,14,6,41,FIS,1,NA
