term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared
(Intercept),1.0420746830646606,0.04422064966985118,23.565340872301288,2.767447022958032e-43,AO,105,15,1,-0.0029989152690867993
pressures,-0.13173557499054317,0.1587008203877949,-0.8300875488144261,0.40840912958584874,AO,105,15,1,-0.0029989152690867993
(Intercept),0.9994772183268633,2.2237271386423113e-4,4494.603681174169,2.1293985300804326e-274,CPP,105,15,1,7.038778017484093e-4
pressures,0.0010714682474685124,0.0010342555850390738,1.0359801416281766,0.30263752489629053,CPP,105,15,1,7.038778017484093e-4
(Intercept),0.9998906224068406,5.468091434308849e-5,18285.916291252066,0,CSS,105,15,1,-0.008219732404385782
pressures,9.919078046090827e-5,2.543209554429027e-4,0.3900220502402818,0.6973256095958549,CSS,105,15,1,-0.008219732404385782
(Intercept),0.9959336516135002,0.003295333288230258,302.2254699306489,1.1389852734890353e-153,CW,105,15,1,0.005577762703023348
pressures,0.012980945249277794,0.0103161840361936,1.2583088091231283,0.21112498238239483,CW,105,15,1,0.005577762703023348
(Intercept),1.543322698564693,0.2555799299715498,6.038512878286217,2.489690468464442e-8,FIS,105,15,1,0.020630363678899033
pressures,-2.397699526464306,1.3422954098383897,-1.7862681410442918,0.07699817090338806,FIS,105,15,1,0.020630363678899033
(Intercept),1.000529262976496,0.006506729549625243,153.76838015868074,8.497929001705866e-138,HAB,120,15,1,-0.007938175802477465
pressures,-0.008442608646332148,0.033690544300548506,-0.2505928242362857,0.8025647367876504,HAB,120,15,1,-0.007938175802477465
(Intercept),1.0007032011369146,7.24980738272392e-4,1380.3169495531167,3.8640509868612795e-250,ICO,120,15,1,-0.006230067297524844
pressures,-0.001542958174886159,0.003007468742386327,-0.5130421317901621,0.6088810095781847,ICO,120,15,1,-0.006230067297524844
(Intercept),1.1762672396120157,0.2738063774800876,4.295981892158662,3.950047908866096e-5,LSP,105,15,1,-0.009249754148415112
pressures,-0.25720942157563637,1.1884172522257865,-0.2164302319693768,0.8290804766198294,LSP,105,15,1,-0.009249754148415112
(Intercept),1.0084132833614878,0.11555662811253381,8.72657241590204,1.5000847885076467e-13,LVF,90,15,1,-0.011351918877617662
pressures,-0.0037153775532729728,0.11635781203384114,-0.03193062406667121,0.97459968679818,LVF,90,15,1,-0.011351918877617662
(Intercept),1.0087160229456384,0.004035055567869766,249.98813671311387,2.7682486706924818e-127,LVO,90,15,1,0.031441617431580804
pressures,-0.011080246792438183,0.005618526860675966,-1.9720910956195228,0.051739534992462415,LVO,90,15,1,0.031441617431580804
(Intercept),1.0464390220699464,0.11060952014401158,9.460659631354533,4.176525518927675e-15,SAL,91,13,1,-0.009296192072829612
pressures,-0.20371877926703993,0.49257350222913704,-0.41358046737210263,0.6801762634388704,SAL,91,13,1,-0.009296192072829612
(Intercept),1.0001382404972625,3.12082041271742e-4,3204.7285913078326,2.6451929283066623e-293,SPP,120,15,1,-0.005766924427406339
pressures,-8.314367656860877e-4,0.0014751646117246598,-0.563623041847533,0.5740802573855961,SPP,120,15,1,-0.005766924427406339
(Intercept),0.9050638205905019,0.18055798352500235,5.012593754765628,9.713445628409157e-6,TR,45,9,1,-0.017046781004193434
pressures,0.37785357987108875,0.7374758377946788,0.5123606232320892,0.6110204887783184,TR,45,9,1,-0.017046781004193434
(Intercept),1.0417771208487379,0.05005595212864812,20.812252620253446,2.3410421850510666e-37,AO,98,14,2,-0.0022102283698042235
pressures,-0.15840755152195254,0.17866616923753426,-0.8866118985925748,0.3775035802755011,AO,98,14,2,-0.0022102283698042235
(Intercept),0.9989519921482898,4.540090234988709e-4,2200.291052476789,1.5142263230898853e-227,CPP,98,14,2,1.48948200350274e-5
pressures,0.0021082780587652903,0.002106756667003483,1.000722148782361,0.3194769211279342,CPP,98,14,2,1.48948200350274e-5
(Intercept),0.9997813412033576,1.1177049839871983e-4,8944.948403440318,5.095599650221999e-286,CSS,98,14,2,-0.009069338636932267
pressures,1.8569014862550407e-4,5.186532216058272e-4,0.35802370618769097,0.7211115894427245,CSS,98,14,2,-0.009069338636932267
(Intercept),0.9936753166632568,0.0037312720394905843,266.31006963483674,1.5616126958958774e-139,CW,98,14,2,0.020361014905617703
pressures,0.020288544566273013,0.011682353823180388,1.7366829385030291,0.08565086752125246,CW,98,14,2,0.020361014905617703
(Intercept),1.7938850778038784,0.30168570477309775,5.946205104922309,4.431592730681361e-8,FIS,98,14,2,0.0341987522389543
pressures,-3.326278179176524,1.5795171430399737,-2.105882923672924,0.03782389277814093,FIS,98,14,2,0.0341987522389543
(Intercept),1.0002023235170607,0.007797232989993385,128.27657257397271,1.267419593096525e-121,HAB,112,14,2,-0.007979525661000908
pressures,-0.014015185037857036,0.04024355981614252,-0.3482590780211063,0.728311233993883,HAB,112,14,2,-0.007979525661000908
(Intercept),1.0014275899534666,0.0010826306154961588,924.994707908313,7.559513431505767e-216,ICO,112,14,2,-0.005110221656872582
pressures,-0.0029407485430262936,0.004455427220370569,-0.6600373875665518,0.5106095309160152,ICO,112,14,2,-0.005110221656872582
(Intercept),1.3445882640867264,0.4292089194461559,3.1327127726557054,0.0022966970160033535,LSP,98,14,2,-0.010030868564571138
pressures,-0.3568010123294884,1.8632783655238878,-0.19149098649528334,0.8485453746635198,LSP,98,14,2,-0.010030868564571138
(Intercept),0.9848565165018646,0.2373084795843676,4.150110936730053,8.077030694625905e-5,LVF,84,14,2,-0.012052972243657756
pressures,0.025639636033550493,0.2389095810601693,0.10731941314272013,0.9147977275576927,LVF,84,14,2,-0.012052972243657756
(Intercept),1.0165119172192978,0.007836707889389097,129.7115997644438,1.148879668992403e-96,LVO,84,14,2,0.02899454154850123
pressures,-0.020373979873919517,0.010924099829348161,-1.8650488545686632,0.06575162625137641,LVO,84,14,2,0.02899454154850123
(Intercept),1.012658860020568,0.12702590843573655,7.972065482475021,7.936171146514738e-12,SAL,84,12,2,-0.011773492947785957
pressures,-0.10430513840945894,0.5642547025537996,-0.18485470823260677,0.8537994327233445,SAL,84,12,2,-0.011773492947785957
(Intercept),1.0002725406956834,4.862187786075862e-4,2057.24785776523,4.951206610950551e-254,SPP,112,14,2,-0.006613787508389812
pressures,-0.0011931936701319711,0.002293360741704718,-0.5202817195017638,0.6039128197533703,SPP,112,14,2,-0.006613787508389812
(Intercept),0.9168023391081254,0.28172160537605284,3.2542848031990386,0.0023908446946990175,TR,40,8,2,-0.024010087417813297
pressures,0.33720825708261054,1.152807852824912,0.29251037478300873,0.7714876888725994,TR,40,8,2,-0.024010087417813297
(Intercept),1.0460895262579133,0.05718728727304001,18.292343913138797,6.665682264053023e-32,AO,91,13,3,-6.544881558623317e-4
pressures,-0.19673381752182417,0.20279308916048416,-0.9701209165275604,0.3346153294994356,AO,91,13,3,-6.544881558623317e-4
(Intercept),0.9984130368508166,6.990175114538356e-4,1428.3090487594368,7.831986282754728e-196,CPP,91,13,3,-3.968019510982579e-4
pressures,0.003174385303624166,0.003232608484410801,0.9819887929307197,0.3287673219703021,CPP,91,13,3,-3.968019510982579e-4
(Intercept),0.9996689148194224,1.72308123655843e-4,5801.635428496081,5.2220525824256575e-250,CSS,91,13,3,-0.009905610225603212
pressures,2.728396791708576e-4,7.968394115110363e-4,0.34240234008189335,0.7328554319513527,CSS,91,13,3,-0.009905610225603212
(Intercept),0.9932384421929631,0.003980684131759,249.51450788788583,2.0185967146144246e-128,CW,91,13,3,0.02131914249713429
pressures,0.021447210311866513,0.012464844171322497,1.7206159994530443,0.08879555629168183,CW,91,13,3,0.02131914249713429
(Intercept),1.8864993915565618,0.3707691885945162,5.088069477153053,1.995506992270582e-6,FIS,91,13,3,0.023260424104502686
pressures,-3.4233994466869513,1.9309241263789119,-1.7729331773936134,0.07966107292298123,FIS,91,13,3,0.023260424104502686
(Intercept),1.0030109160629743,0.007650993867382475,131.0955064725624,1.6271263720355312e-115,HAB,104,13,3,-0.0034294690859935084
pressures,-0.031588515104340194,0.03924199761841486,-0.8049670511553376,0.42271109094324755,HAB,104,13,3,-0.0034294690859935084
(Intercept),1.0022950311051129,0.0014063477630380107,712.6935864995029,2.1611699201561333e-190,ICO,104,13,3,-0.003311902202304484
pressures,-0.0046565251582216865,0.005731785726115575,-0.8124039140202487,0.4184519469474651,ICO,104,13,3,-0.003311902202304484
(Intercept),1.6139204892235275,0.8953298152758379,1.802598843116045,0.07483612892913524,LSP,91,13,3,-0.011109482530879067
pressures,-0.40970072911603905,3.8830477405384305,-0.10551009322878663,0.9162084999865452,LSP,91,13,3,-0.011109482530879067
(Intercept),0.9033926023729212,0.36975901176022197,2.4431929273944113,0.016878845675074895,LVF,78,13,3,-0.011903356682893884
pressures,0.11424194034485216,0.3721742940446171,0.3069581703328403,0.7597146935287136,LVF,78,13,3,-0.011903356682893884
(Intercept),1.0230500036089727,0.011549497714348699,88.5796100325619,1.8906586051536432e-78,LVO,78,13,3,0.023307233704934482
pressures,-0.027154127994677153,0.01612015362918285,-1.6844832015446263,0.09619112133360219,LVO,78,13,3,0.023307233704934482
