term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared
(Intercept),0.9308549898339776,0.058631229454961464,15.87643647399598,1.9395045154998708e-29,AO,105,15,1,0.00662712799910159
res_reg,0.12492164473871284,0.0959851725032538,1.3014681484734336,0.19600179121083236,AO,105,15,1,0.00662712799910159
(Intercept),0.9988281114759813,4.5088855723398116e-4,2215.243867804913,9.477646873948036e-243,CPP,105,15,1,0.026040139343607605
res_reg,0.0015251730098617678,7.8440404618739e-4,1.9443716758919063,0.054578215284919525,CPP,105,15,1,0.026040139343607605
(Intercept),0.9997639173439573,1.1142229741351906e-4,8972.745496653655,2.536559635597522e-305,CSS,105,15,1,0.007571342362947653
res_reg,2.595879696417493e-4,1.938396961387163e-4,1.3391889009977709,0.18345700026450038,CSS,105,15,1,0.007571342362947653
(Intercept),1.002781019867995,0.00433168873094704,231.4988638735259,9.215423315854755e-142,CW,105,15,1,-0.005841925525760683
res_reg,-0.004394335961594069,0.006983336409426066,-0.6292602423767844,0.5305719122551851,CW,105,15,1,-0.005841925525760683
(Intercept),1.8188920532353732,1.31799363685164,1.380046156808659,0.17056060128257283,FIS,105,15,1,-0.006869212497642163
res_reg,-1.517680588788774,2.815953127263742,-0.5389580437595928,0.591078831481516,FIS,105,15,1,-0.006869212497642163
(Intercept),0.9860963826139835,0.028153664532349035,35.02550730051294,3.4290315779164896e-64,HAB,120,15,1,-0.0066772482205017525
res_reg,0.024068759195642688,0.05243776207542828,0.4589966894662926,0.6470809166227158,HAB,120,15,1,-0.0066772482205017525
(Intercept),1.0035622472043961,0.002682473688261921,374.1182072338026,2.948902671338399e-183,ICO,120,15,1,0.003732925060169423
res_reg,-0.006007740881750163,0.0049962560602741825,-1.2024485553329451,0.23159713223357353,ICO,120,15,1,0.003732925060169423
(Intercept),1.1178118667739056,0.044760059017585854,24.97342254027696,9.778513193011826e-46,LSP,105,15,1,0
(Intercept),0.2202166139068773,0.36046825516665326,0.6109181897447968,0.5428108580275772,SAL,91,13,1,0.03978994398289015
res_reg,1.3829437000861833,0.6359123935149263,2.174739341754506,0.03230182881693778,SAL,91,13,1,0.03978994398289015
(Intercept),0.9974170426075454,0.0010717304660936677,930.660342467462,6.099486495340939e-230,SPP,120,15,1,0.03797779275426416
res_reg,0.004764827499824347,0.0019961574496078064,2.386999833485336,0.01857548929871378,SPP,120,15,1,0.03797779275426416
(Intercept),0.9973684121052773,0.011947502915756258,83.47923571459916,4.2210825136512385e-50,TR,45,9,1,0
(Intercept),0.9100358919564159,0.06709539851426796,13.56331301561455,4.861042252394506e-24,AO,98,14,2,0.007937331291098193
res_reg,0.14773487160692814,0.11085406334197598,1.3326969454532107,0.18578578946068666,AO,98,14,2,0.007937331291098193
(Intercept),0.9976647447274039,9.37203416311415e-4,1064.5124925535895,2.82144479134758e-197,CPP,98,14,2,0.02440746934323479
res_reg,0.003041325058571483,0.0016429384056325862,1.851149774175783,0.06722240842080551,CPP,98,14,2,0.02440746934323479
(Intercept),0.9995429709879635,2.3198974742831547e-4,4308.565279579095,1.4542830587427538e-255,CSS,98,14,2,0.004731182116971988
res_reg,4.915832869270103e-4,4.0668318011800305e-4,1.2087622772704116,0.22972301421026364,CSS,98,14,2,0.004731182116971988
(Intercept),1.003654942161508,0.005273671920651334,190.31425489918414,1.4956480536227553e-125,CW,98,14,2,-0.005708030085259663
res_reg,-0.005750260557430973,0.008577096182087348,-0.6704204354662573,0.504199445077171,CW,98,14,2,-0.005708030085259663
(Intercept),1.9560780833242792,1.5790724475846616,1.2387513228517684,0.2184579472691674,FIS,98,14,2,-0.007934690790988297
res_reg,-1.6449752823864656,3.3833052178107335,-0.48620363120856563,0.6279308330552313,FIS,98,14,2,-0.007934690790988297
(Intercept),0.9673726387762525,0.034828571808534096,27.775260039207687,1.5811268856035383e-51,HAB,112,14,2,-0.00218221424834919
res_reg,0.05680952739742357,0.06523793026113729,0.8708051768353757,0.38575700728791573,HAB,112,14,2,-0.00218221424834919
(Intercept),1.0074862479461484,0.004157738698177971,242.31591282724307,6.769152824106779e-152,ICO,112,14,2,0.0146095354507354
res_reg,-0.012667534937280239,0.007787923912783107,-1.626561209270128,0.10669174855874711,ICO,112,14,2,0.0146095354507354
(Intercept),1.263507418530844,0.06991390884565649,18.072332664451523,8.188748958104429e-33,LSP,98,14,2,0
(Intercept),0.3493250659044808,0.435281847374384,0.802526151760305,0.4245685336895808,SAL,84,12,2,0.01397048239767229
res_reg,1.1424713418792019,0.7744938289042396,1.4751200064377272,0.1440096976168309,SAL,84,12,2,0.01397048239767229
(Intercept),0.9952955276526833,0.0017100828564267578,582.0159671867405,1.0146806596062042e-193,SPP,112,14,2,0.05689896841956499
res_reg,0.00888663934444547,0.003203182339535353,2.774315790506808,0.006500890939645623,SPP,112,14,2,0.05689896841956499
(Intercept),0.9990373167628617,0.01795258216203313,55.64866979835733,8.979338468784597e-39,TR,40,8,2,0
(Intercept),0.8426067855810458,0.07628975492019532,11.044822289211366,2.290631024515083e-18,AO,91,13,3,0.03133758789212804
res_reg,0.25189800008120306,0.12736381032060798,1.9777831665612862,0.05104681358417216,AO,91,13,3,0.03133758789212804
(Intercept),0.996529975225424,0.0014754298412599483,675.4167140705476,6.890667554086529e-167,CPP,91,13,3,0.021746894582925336
res_reg,0.004520750863971806,0.002609739150674686,1.7322615797839693,0.08669125672168286,CPP,91,13,3,0.021746894582925336
(Intercept),0.9993434951531815,3.657416499158935e-4,2732.3754223315614,6.630704150899084e-221,CSS,91,13,3,0.0012977150324482434
res_reg,6.83705492156941e-4,6.469235446686993e-4,1.056856714817944,0.2934372673288246,CSS,91,13,3,0.0012977150324482434
(Intercept),1.003573857951017,0.00602418839334763,166.5907160306009,7.687082098510088e-113,CW,91,13,3,-0.00736550045640838
res_reg,-0.0057791981967284045,0.009882916666124219,-0.584766460344427,0.5601843070983088,CW,91,13,3,-0.00736550045640838
(Intercept),1.6683208721164187,1.9539239727330946,0.8538310064248906,0.39549092527195273,FIS,91,13,3,-0.010738545335898797
res_reg,-0.8790305378296435,4.200212273883647,-0.20928240777146828,0.8347060734363025,FIS,91,13,3,-0.010738545335898797
(Intercept),0.9570776182424705,0.035403397557064314,27.033496338870375,2.6009596236276817e-48,HAB,104,13,3,0.002785318238365919
res_reg,0.0756864573126888,0.06669797834935763,1.1347638891879208,0.2591339217568889,HAB,104,13,3,0.002785318238365919
(Intercept),1.0112257323529499,0.005625978634943549,179.7421920645272,1.957644179230705e-129,ICO,104,13,3,0.0208455542502477
res_reg,-0.018938772125065433,0.010599022327803074,-1.78684142172111,0.07693368861775228,ICO,104,13,3,0.0208455542502477
(Intercept),1.5207153742319544,0.14501100446033316,10.486896355841301,2.7969017154015745e-17,LSP,91,13,3,0
(Intercept),0.5279924430219674,0.561665103769901,0.9400485084048796,0.35021051930604985,SAL,77,11,3,-0.003856051652053605
res_reg,0.8484311416979553,1.0082768491572363,0.8414664508136954,0.4027617051635768,SAL,77,11,3,-0.003856051652053605
(Intercept),0.9935325549533301,0.00241656313006144,411.1345334181566,4.9612103869539516e-166,SPP,104,13,3,0.058548961355490814
res_reg,0.012389264026818586,0.004552666875231368,2.721320133089896,0.0076469934740085645,SPP,104,13,3,0.058548961355490814
(Intercept),0.9969547824690895,0.021886842917700277,45.5504152068837,4.599795077707187e-32,TR,35,7,3,0
(Intercept),0.7928607317099167,0.09096300704664664,8.716298608107037,2.6401419559098e-13,AO,84,12,4,0.03735539120310194
res_reg,0.3159938022770227,0.1538085761312566,2.054461527602733,0.04311575553540196,AO,84,12,4,0.03735539120310194
(Intercept),0.9954175573561189,0.0020842051751854265,477.60055929597195,5.253364441137186e-143,CPP,84,12,4,0.01856114500700201
res_reg,0.0059729747563603205,0.0037260490354776906,1.6030317098590108,0.1127728984281387,CPP,84,12,4,0.01856114500700201
(Intercept),0.9991791466164601,5.169744647422395e-4,1932.7437132018601,8.77810462590485e-193,CSS,84,12,4,-0.002785074883265626
res_reg,8.107296972251506e-4,9.242238857544537e-4,0.8772005460163405,0.38294051597973233,CSS,84,12,4,-0.002785074883265626
(Intercept),1.0049858340897024,0.006897403341620403,145.70495363456615,8.656796953234085e-101,CW,84,12,4,-0.0056269358380010015
res_reg,-0.008380498790064887,0.01145140211429867,-0.731831674970235,0.4663577465958181,CW,84,12,4,-0.0056269358380010015
(Intercept),0.9112794502909726,2.332116730686239,0.3907520744138837,0.6969938639448356,FIS,84,12,4,-0.011837482127253995
res_reg,0.8567657673398913,5.032544511912057,0.17024504508840857,0.8652367708111353,FIS,84,12,4,-0.011837482127253995
(Intercept),0.9588588589326524,0.04005115611696887,23.940853445836066,8.800789480863106e-42,HAB,96,12,4,-0.0019376991063067006
res_reg,0.0686928720842542,0.0760314960826072,0.9034791582901422,0.3685811762079326,HAB,96,12,4,-0.0019376991063067006
(Intercept),1.0155251673299126,0.00754800102248154,134.54226679424065,2.7157348651395367e-109,ICO,96,12,4,0.024182579836051765
res_reg,-0.026242785457799234,0.014328820084401424,-1.8314686975773766,0.0701979866368151,ICO,96,12,4,0.024182579836051765
(Intercept),1.810140270339921,0.20486902193663595,8.835597755232024,1.3930460225374196e-13,LSP,84,12,4,0
(Intercept),0.23264283325205007,0.6922587855561345,0.3360633885854603,0.7378578563948108,SAL,70,10,4,0.0030658746106815293
res_reg,1.385141575914035,1.258078548236508,1.1009976903712695,0.27477975345075445,SAL,70,10,4,0.0030658746106815293
(Intercept),0.9928137214806131,0.0031538626867239623,314.79294442964056,6.572483895206411e-144,SPP,96,12,4,0.04505112534345912
res_reg,0.014017852517062536,0.005987165459354581,2.341317040964768,0.02132847698420827,SPP,96,12,4,0.04505112534345912
(Intercept),0.9906259369496183,0.02185444628496113,45.32834756061998,1.784958506900577e-28,TR,30,6,4,0
(Intercept),0.8653617176671142,0.09731195120025424,8.892656112570615,2.382249741731432e-13,AO,77,11,5,-4.3163219078423687e-4
res_reg,0.16453290421219172,0.16729861693276007,0.9834684065458835,0.3285389862097676,AO,77,11,5,-4.3163219078423687e-4
(Intercept),0.9943281966456403,0.002805286863723636,354.4479566434803,1.1264973817719796e-122,CPP,77,11,5,0.01450746383700452
res_reg,0.007394875468110906,0.005080261523001528,1.4556092111852255,0.14967391131689706,CPP,77,11,5,0.01450746383700452
(Intercept),0.9990700253900313,6.95728378448658e-4,1436.005855644077,3.093561544552996e-168,CSS,77,11,5,-0.007478316609805802
