goal,yr_lag,r_squared,aic,model,intercept,res_ecol,res_reg,res_soc,best_model
AO,1,-0.008506340706940563,-342.1517690536615,prs_res_reg_only.csv,0.00122,NA,-0.01644,NA,FALSE
AO,1,-0.007662910426573077,-384.2203978787901,prs_res_all.csv,-0.26442,0.29269,-0.0364,0.05029,FALSE
AO,1,-0.004305097959685034,-385.48032963588196,prs_res_reg_soc.csv,-0.0271,NA,-0.0281,0.06305,TRUE
AO,1,0.009454753068065536,-343.0630277805378,prs_res_reg_ecol.csv,-0.61007 .,0.73381 .,-0.03975,NA,FALSE
AO,2,-0.00848538309102187,-233.17783876839982,prs_res_reg_only.csv,0.00257,NA,-0.03333,NA,FALSE
AO,2,0.008652504436048924,-271.32391857971766,prs_res_all.csv,-0.51917,0.55209,-0.07567,0.13275,FALSE
AO,2,0.0104806615008326,-272.4354754214267,prs_res_reg_soc.csv,-0.0719,NA,-0.06034,0.15787,TRUE
AO,2,0.02485217381137028,-235.49837332724647,prs_res_reg_ecol.csv,-1.17732 *,1.41466 *,-0.07611,NA,FALSE
AO,3,-0.009402707251762621,-180.75597866378214,prs_res_reg_only.csv,-0.0044,NA,-0.04103,NA,FALSE
AO,3,0.01244475832790104,-204.5355080325271,prs_res_all.csv,-0.71892,0.73733,-0.10127,0.21185,FALSE
AO,3,0.015294437574892239,-205.71391380883668,prs_res_reg_soc.csv,-0.12222,NA,-0.0813,0.24709,TRUE
AO,3,0.04654967411112221,-184.97367051841562,prs_res_reg_ecol.csv,-1.76269 *,2.10484 *,-0.10038,NA,FALSE
AO,4,-0.007892038264124768,-139.20826416021777,prs_res_reg_only.csv,0.00436,NA,-0.07864,NA,FALSE
AO,4,0.020241953161402648,-162.80815152109852,prs_res_all.csv,-0.77692,0.75254,-0.13903,0.30298,FALSE
AO,4,0.026820355919548455,-164.24209879417288,prs_res_reg_soc.csv,-0.16881,NA,-0.1189,0.34086 .,TRUE
AO,4,0.052523472945145255,-143.43134263000422,prs_res_reg_ecol.csv,-2.12652 *,2.54621 *,-0.14426,NA,FALSE
AO,5,0.0014957883445742004,-118.26275006382603,prs_res_reg_only.csv,0.04051,NA,-0.17226,NA,FALSE
AO,5,0.04590766570068483,-140.77534513887463,prs_res_all.csv,-0.77329,0.71262,-0.21399 .,0.39804 .,FALSE
AO,5,0.0551121603024044,-142.35914119224705,prs_res_reg_soc.csv,-0.19908,NA,-0.19374,0.43585 *,TRUE
AO,5,0.07984463425428201,-123.58844225039107,prs_res_reg_ecol.csv,-2.4911 **,3.01965 **,-0.24344,NA,FALSE
AO,6,0.01186716238796226,-111.4139737383268,prs_res_reg_only.csv,0.05613,NA,-0.24239,NA,FALSE
AO,6,0.05756980638638132,-133.88209630534715,prs_res_all.csv,-0.6948,0.58353,-0.22489 .,0.42833 .,FALSE
AO,6,0.06965046784136764,-135.59421137219687,prs_res_reg_soc.csv,-0.22546,NA,-0.20911,0.46167 *,TRUE
AO,6,0.1423673145291806,-120.36591636280554,prs_res_reg_ecol.csv,-3.0319 **,3.66598 **,-0.30415 .,NA,FALSE
CPP,1,-0.008659391495206892,-194.42643327670305,prs_res_reg_only.csv,-0.01029,NA,0.02554,NA,FALSE
CPP,1,0.010996531572419754,-475.0511761717308,prs_res_reg_soc.csv,0.02031,NA,0.00512,-0.03832,TRUE
CPP,2,-0.00864174903272752,-60.51117843006659,prs_res_reg_only.csv,-0.02126,NA,0.06284,NA,FALSE
CPP,2,0.018357681050098162,-345.2492081156195,prs_res_reg_soc.csv,0.04912,NA,0.00412,-0.08305 .,TRUE
CPP,3,-0.009263711097626137,17.344458239202307,prs_res_reg_only.csv,-0.03169,NA,0.10188,NA,FALSE
CPP,3,0.03978184874409152,-278.762975358361,prs_res_reg_soc.csv,0.09132,NA,-0.00247,-0.14215 *,TRUE
CPP,4,-0.010192660607303727,32.42168634152351,prs_res_reg_only.csv,-0.04292,NA,0.11724,NA,FALSE
CPP,4,0.06594062672309886,-231.20123829082434,prs_res_reg_soc.csv,0.14311 *,NA,-0.01522,-0.21118 *,TRUE
CPP,5,-0.012073830308685585,36.53995867203166,prs_res_reg_only.csv,-0.04509,NA,0.10206,NA,FALSE
CPP,5,0.10161957251532094,-196.60025471837992,prs_res_reg_soc.csv,0.20281 *,NA,-0.03016,-0.29038 **,TRUE
CPP,6,-0.014443009676713858,4.786334361706283,prs_res_reg_only.csv,-0.03681,NA,0.04076,NA,FALSE
