goal,model,lag,yrs,rgns,adj_r_squared,aic,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,prs_omit_soc
AO,intercept only,1,14,6,0.8232550252236276,-275.8473231469277,0.0494,0.0073,0.0287,0.0025,0.0330,NA,0.0325,0.0354,0.0898**,-0.0871**,0.0200,-0.0880**,-0.1151***,-0.0081,0.1180***,-0.0564,-0.2358***,0.1908***,0.0034,0.1842***,-0.2010***,0.1426**,-0.0031
AO,intercept only,2,13,6,0.812706223277186,-235.74127285065163,0.2342*,0.0136,0.0834°,0.0137,0.0859,NA,0.0745°,0.0951,-0.1040**,-0.1682***,-0.1718***,-0.2899***,-0.2163***,0.0169,-0.0326,-0.3785***,-0.1950***,0.0855°,0.0839°,-0.1690**,-0.1959***,NA,-0.0086
AO,intercept only,3,12,6,0.8781243084015699,-221.7006203226274,-0.0136,0.0310,0.0494,-0.0222,0.0392,NA,0.0579,0.0234,0.0241,-0.1464***,-0.1780***,-0.2056***,-0.0266,0.0503,-0.1739***,-0.1128**,-0.0493,0.4743***,-0.0056,0.1318*,NA,NA,-0.0004
AO,intercept only,4,11,6,0.8056688073707805,-192.6737526387769,0.0260,0.0352,0.0812,-0.0098,0.0707,NA,0.0874°,0.0538,-0.0929*,-0.2729***,-0.2133***,-0.1370***,-0.0972*,-0.2069***,-0.0314,-0.1230**,0.1144*,0.1663**,0.1224*,NA,NA,NA,-0.0020
AO,intercept only,5,10,6,0.8750925991843462,-177.46988836794856,-0.1119,0.0361,0.0850,-0.0116,0.0652,NA,0.1013*,0.0384,-0.1086**,-0.1872***,-0.0245,-0.0893*,-0.2145***,0.0493,0.0806*,0.1597***,-0.0006,0.4637***,NA,NA,NA,NA,0.0001
AO,intercept only,6,9,6,0.8180326925540543,-149.05294498686365,-0.2738,0.0590°,0.1087,-0.0125,0.0829,NA,0.1345*,0.0600,-0.0052,0.0123,0.0430,-0.1682***,0.0421,0.1777***,0.4012***,0.0691,0.2671***,NA,NA,NA,NA,NA,0.0017
CPP,intercept only,1,14,6,0.5823966026614831,-1231.9345414345976,-0.0006°,-0.0006*,-0.0023**,-0.0008*,-0.0034**,NA,-0.0033***,-0.0040**,0.0000,0.0001,0.0001,0.0000,0.0001,0.0001,0.0003,0.0004,0.0009*,0.0010**,0.0010**,0.0010**,0.0010**,0.0009*,0.0001**
CPP,intercept only,2,13,6,0.6011007193410974,-1020.2885436857143,-0.0011°,-0.0011°,-0.0043**,-0.0016*,-0.0063**,NA,-0.0065***,-0.0076**,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002,0.0005,0.0013°,0.0019**,0.0020**,0.0020**,0.0020**,0.0020**,NA,0.0002**
CPP,intercept only,3,12,6,0.6212239022948169,-879.6737935789024,-0.0016°,-0.0017°,-0.0062*,-0.0023°,-0.0089*,NA,-0.0097***,-0.0108*,0.0002,0.0003,0.0003,0.0002,0.0002,0.0003,0.0012,0.0021*,0.0028*,0.0029**,0.0029**,0.0029**,NA,NA,0.0003*
CPP,intercept only,4,11,6,0.6451118488019201,-770.5658465392987,-0.0018,-0.0020,-0.0076*,-0.0027°,-0.0107*,NA,-0.0126***,-0.0130*,0.0002,0.0004,0.0003,0.0002,0.0002,0.0009,0.0019,0.0028*,0.0035*,0.0036*,0.0036*,NA,NA,NA,0.0003*
