term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared,aic,bic
(Intercept),-0.26442089391687806,0.28428432715604474,-0.9301282858683111,0.3549082410357046,AO,105,15,1,-0.007662910426573077,-384.2203978787901,-371.7213495271388
res_reg,-0.03640115738431592,0.030359336420763234,-1.199010310364379,0.23381724652595856,AO,105,15,1,-0.007662910426573077,-384.2203978787901,-371.7213495271388
res_ecol,0.2926898530490748,0.3473364817137208,0.8426694817802455,0.4017508117474786,AO,105,15,1,-0.007662910426573077,-384.2203978787901,-371.7213495271388
res_soc,0.05029181529187099,0.06428547654247346,0.7823200199603895,0.43617528790141546,AO,105,15,1,-0.007662910426573077,-384.2203978787901,-371.7213495271388
(Intercept),-0.10933437932511318,0.14045155107899363,-0.7784490700542045,0.4384409029631373,FIS,120,15,1,0.034421060813633164,-396.89046146871937,-384.39141311706805
res_reg,-0.06486843791595667,0.09251223663092596,-0.7011876512590095,0.4850789487459861,FIS,120,15,1,0.034421060813633164,-396.89046146871937,-384.39141311706805
res_ecol,0.2016279102597923,0.14429327250890436,1.397347961924904,0.16590366760013384,FIS,120,15,1,0.034421060813633164,-396.89046146871937,-384.39141311706805
res_soc,-0.05922983651730379,0.03812730072095821,-1.553475735163851,0.12398202687094544,FIS,120,15,1,0.034421060813633164,-396.89046146871937,-384.39141311706805
(Intercept),-0.034717788810027406,0.1667774182638739,-0.20816840296146805,0.8355896876339431,HAB,120,15,1,0.016842229642541118,-369.4395495568259,-356.9405012051746
res_reg,-0.0555177268992406,0.10162465305264884,-0.5463017607595516,0.5862730406220864,HAB,120,15,1,0.016842229642541118,-369.4395495568259,-356.9405012051746
res_ecol,0.12939249105978368,0.16744795038717047,0.7727326059268234,0.4417992300260477,HAB,120,15,1,0.016842229642541118,-369.4395495568259,-356.9405012051746
res_soc,-0.07361803479777161,0.044425051412467984,-1.6571288598916636,0.10113736336866844,HAB,120,15,1,0.016842229642541118,-369.4395495568259,-356.9405012051746
(Intercept),0.20065023568307508,0.3041225961616715,0.6597676010118284,0.5111660347757722,ICO,120,15,1,0.015008461766703896,-261.30080586084966,-248.80175750919835
res_reg,0.11104713144566813,0.1853149763447046,0.5992345229513951,0.550591873077559,ICO,120,15,1,0.015008461766703896,-261.30080586084966,-248.80175750919835
res_ecol,-0.175498742123296,0.3053453274658826,-0.5747549621269549,0.5669575709980001,ICO,120,15,1,0.015008461766703896,-261.30080586084966,-248.80175750919835
res_soc,-0.15903514817258108,0.08101013980681145,-1.9631511382629312,0.05286034004534056,ICO,120,15,1,0.015008461766703896,-261.30080586084966,-248.80175750919835
(Intercept),-0.038834159487783265,0.0919107618939499,-0.42252026517407815,0.6736998476297562,SAL,120,15,1,0.08651264338191034,-473.0298803228482,-460.5308319711969
