term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared,aic,bic
(Intercept),6.852901493578117,10.447152061140113,0.655958815710992,0.5137096302165802,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
res_reg,-0.06319908487747389,0.05345194292279136,-1.1823533705549634,0.24052471525316046,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
res_ecol,-8.103886243066086,12.229594359793492,-0.6626455469127209,0.5094387848307407,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
res_soc,0.25161910232691215,0.5755487340672875,0.4371812279887585,0.6631432889228326,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
factor(rgn_code)HG,-0.0029226642396665233,0.05374520351562447,-0.05438000134871318,0.9567663154574502,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
factor(rgn_code)NC,-0.21748879748490077,0.3073913337176333,-0.7075306738630566,0.48126756798179304,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
factor(rgn_code)NV,-0.030935855026688643,0.06720399578001458,-0.46032761397036576,0.6465144867488299,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
factor(rgn_code)SG,-0.14666981128575646,0.2135109325999893,-0.6869428628300779,0.4940807913117199,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
factor(rgn_code)WV,-0.05403407148956689,0.11197999718178167,-0.4825332456639661,0.630728682044813,AO,105,15,1,-0.054290174233330823,-192.66444255051968,-167.66634584721703
(Intercept),-0.4418069529216534,7.86859221612329,-0.05614815722898441,0.9553620513203122,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
res_reg,0.11725943403083287,0.17505857564328284,0.6698297047142245,0.5048714193833586,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
res_ecol,0.12417608459115537,8.907177620076373,0.013941125897306473,0.9889112322287209,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
res_soc,0.46001769194671605,0.40692864732381706,1.130462784992016,0.2616175337989413,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
factor(rgn_code)HG,-0.03332867546116473,0.040208332996912385,-0.828899707523912,0.4095971067407317,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
factor(rgn_code)NC,-0.0635370253923417,0.35011340999264035,-0.18147555500281265,0.8564476728349124,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
factor(rgn_code)NV,-0.040787477895505395,0.14320250305225557,-0.2848237777004622,0.7765061100266331,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
factor(rgn_code)SG,-0.0774408093588962,0.36385059738089354,-0.21283683444891538,0.831988972383047,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
factor(rgn_code)WV,-0.08296305114130002,0.1418641775607569,-0.5848062038478249,0.5603035288952178,FIS,120,15,1,-0.03639446774519994,-260.7698488635283,-235.77175216022565
(Intercept),0.18459142654214056,9.21420423862218,0.0200333552156798,0.9840660311170981,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
res_reg,0.013962698941723303,0.1539091229446896,0.09072041133481791,0.9279387205822044,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
res_ecol,-0.34105247995281357,10.448978042719844,-0.0326397929595073,0.974042132181857,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
res_soc,0.13692053729092887,0.34202413644032775,0.40032419558441634,0.6899716220092127,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
factor(rgn_code)HG,-0.008803177191226167,0.033327488662810045,-0.26414163036081334,0.7923416827651634,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
factor(rgn_code)NC,-0.03301303535679872,0.40726239252813673,-0.0810608491293925,0.9355935194878849,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
factor(rgn_code)NV,-0.012607671185916288,0.15839043040477477,-0.07959869263374528,0.9367527639599065,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
factor(rgn_code)SG,-0.025385682712739718,0.41883227578327675,-0.060610617138483015,0.9518186164675306,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
factor(rgn_code)WV,-0.01005136559045728,0.15018344079658136,-0.06692725600868028,0.9468045383283012,HAB,120,15,1,-0.0797655763613756,-248.71888775140582,-223.72079104810317
(Intercept),5.358197090571826,13.67236675404965,0.3918997483727365,0.696161488968641,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
res_reg,0.1840450052077285,0.2283758771998498,0.8058863635876581,0.42266798604974276,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
res_ecol,-6.198373405949311,15.504568414737037,-0.3997772295330568,0.6903728704404278,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
res_soc,0.1028577829885315,0.507507681732105,0.20267236672651273,0.8398993429369839,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
factor(rgn_code)HG,0.004484473011076167,0.049452523103341514,0.09068239049613123,0.9279688376714255,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
factor(rgn_code)NC,-0.23705809601296002,0.6043105461496745,-0.3922786016616131,0.6958826793587334,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
factor(rgn_code)NV,-0.12052217551303777,0.23502540194937982,-0.5128048905070953,0.6094834972895496,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
factor(rgn_code)SG,-0.26350440025865496,0.6214783539244093,-0.4239961031542301,0.6726925630122166,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
factor(rgn_code)WV,0.04316086449319503,0.22284757639179556,0.19367885974812,0.8469122162604865,ICO,120,15,1,-0.06237625908855993,-177.68539086459583,-152.68729416129318
(Intercept),4.335915572246126,4.45091964395704,0.9741617281572239,0.33287654892869867,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
res_reg,0.17994659049865863,0.07434577321689077,2.420401089564244,0.01774068441056893,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
res_ecol,-5.182632235527074,5.047376900403059,-1.0267971538073994,0.3075725799576139,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
res_soc,0.2924019474898592,0.16521469550335624,1.7698301388929365,0.08051869087447135,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
factor(rgn_code)HG,-0.020691701113598568,0.01609883720086045,-1.2852916552564826,0.20235325081573716,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
factor(rgn_code)NC,-0.24029559551841742,0.1967280229746115,-1.2214609382285537,0.22545473910572203,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
factor(rgn_code)NV,-0.09738051312848842,0.07651046795212346,-1.2727737227986164,0.20673952120977834,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
factor(rgn_code)SG,-0.2507484395231049,0.20231685292942622,-1.2393848356793735,0.21878205439555312,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
factor(rgn_code)WV,0.011919525664083329,0.07254608314808948,0.1643028148018937,0.8699020764212559,SAL,120,15,1,0.036102369042893434,-379.6932770309156,-354.695180327613
(Intercept),21.68534987521104,15.704788346606417,1.3808113421596628,0.17143795647079438,AO,98,14,2,-0.0020550777164551892,-121.46663222730254,-97.15846423886941
res_reg,-0.07802455371037124,0.07898298562793848,-0.9878653369463383,0.3263949362831494,AO,98,14,2,-0.0020550777164551892,-121.46663222730254,-97.15846423886941
res_ecol,-26.185136112480116,18.378472990848447,-1.424772130172022,0.1583711278897755,AO,98,14,2,-0.0020550777164551892,-121.46663222730254,-97.15846423886941
res_soc,1.5788520979719947,0.8453934589847378,1.8675944096706079,0.06572558289915281,AO,98,14,2,-0.0020550777164551892,-121.46663222730254,-97.15846423886941
factor(rgn_code)HG,-0.08831251856097024,0.07835438373144257,-1.127090972518639,0.2632971461107367,AO,98,14,2,-0.0020550777164551892,-121.46663222730254,-97.15846423886941
factor(rgn_code)NC,-0.65580396155516,0.4629145828460228,-1.4166846019912427,0.16071552934452252,AO,98,14,2,-0.0020550777164551892,-121.46663222730254,-97.15846423886941
factor(rgn_code)NV,-0.1408288261414319,0.09855123366248542,-1.4289910020176635,0.1571586954939694,AO,98,14,2,-0.0020550777164551892,-121.46663222730254,-97.15846423886941
