goal,r_squared,aic,fixed_effects,intercept,pred_status,rgn_namecentral_coast,rgn_namehaida_gwaii,rgn_namenorth_coast,rgn_namenorth_vancouver_island,rgn_namepacific_offshore,rgn_namestrait_of_georgia,rgn_namewest_vancouver_island
AO,0.16711769271820787,753.7307955757176,none,48.58706 ***,0.29534 ***,NA,NA,NA,NA,NA,NA,NA
AO,0.5055557936552069,703.6388530629545,region,60.65394 ***,0.10361 .,-7.68536 ***,-0.23617,8.30171 **,4.54658 *,NA,-2.07535,10.51787 ***
BD,0.028531393931283233,648.2747834868775,none,85.4709 ***,0.07987 *,NA,NA,NA,NA,NA,NA,NA
BD,0.9037705738791428,359.0130655350607,region,94.12598 ***,-0.00985,-0.82652 *,-0.33651,-1.2974 ***,-0.23543,4.03111 ***,-6.88382 ***,1.7643 ***
CPP,0.27201848064332923,410.52537629845426,none,60.25971 ***,0.39451 ***,NA,NA,NA,NA,NA,NA,NA
CPP,0.9597383528690437,92.01720699995946,region,89.68317 ***,0.10512 ***,-0.19485,-0.20825,0.03138,-0.53618 ***,NA,-4.67835 ***,-0.18065
CSS,0.4866752440698102,204.70527278987333,none,35.4467 ***,0.64435 ***,NA,NA,NA,NA,NA,NA,NA
CSS,0.9899956943134798,-230.62077785529027,region,90.35739 ***,0.09723 ***,-0.09068 **,-0.07991 *,-0.10976 ***,-0.16523 ***,NA,-2.28841 ***,-0.35283 ***
CW,0.3047955214452073,479.6721152331948,none,51.26651 ***,0.40564 ***,NA,NA,NA,NA,NA,NA,NA
CW,0.994068440697856,-24.363139086100638,region,85.21128 ***,0.00459,1.38975 ***,5.30141 ***,1.68395 ***,3.35034 ***,NA,-3.57772 ***,-0.00195
FIS,-0.006565325438930847,945.7928663140898,none,46.94774 ***,-0.03363,NA,NA,NA,NA,NA,NA,NA
FIS,0.27664107371081337,916.1448168270725,region,41.64152 ***,-0.14978 **,23.71519 ***,14.92127 *,10.796 .,15.78547 **,-16.44598 *,NA,19.61144 **
