term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared,aic,bic
(Intercept),0.24640505736138948,0.10096048296530213,2.4406089404908395,0.016476767941249273,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
pressures,-0.01688840693567673,0.006495486631263968,-2.600021814284049,0.010778082231560819,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
factor(rgn_code)CC,0.24750672215029587,0.10590668132763563,2.337026512846746,0.02149414653359812,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
factor(rgn_code)HG,0.23538093821630396,0.10157920820429142,2.317215721379878,0.022594797037049513,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
factor(rgn_code)NC,0.2818265913808876,0.12311398525606933,2.289151722241028,0.024239047679814777,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
factor(rgn_code)NV,0.27762235561261933,0.11606588506051693,2.3919376091249087,0.018687288747673027,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
factor(rgn_code)SG,0.20913960091853243,0.09018989224804624,2.318880704983467,0.02250041538261027,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
factor(rgn_code)WV,0.27387296520634613,0.1160619959820024,2.3597126939710336,0.020292197646427146,AO,105,15,1,3.4276189952342495e-4,-105.5469527762012,-81.66130962478348
(Intercept),1.2734893828962249e-4,1.8254405026602526e-4,0.6976340127439608,0.4870749708689954,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
pressures,-1.0270075668517962e-4,5.7495608951210614e-5,-1.7862365241201115,0.07718542838947713,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
factor(rgn_code)CC,0.002089481128345542,0.0011936642903827598,1.7504763652396185,0.08319794521631942,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
factor(rgn_code)HG,0.0026101054975682775,0.0014804313629980992,1.7630709283829384,0.08103782722682734,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
factor(rgn_code)NC,0.001476631479619512,8.601541760704675e-4,1.7167055868581171,0.08922467215184403,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
factor(rgn_code)NV,0.0025338317683946945,0.0015183907066616282,1.6687613782658355,0.098389457679311,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
factor(rgn_code)SG,-5.828474491817031e-4,8.558081621101237e-4,-0.681049182499738,0.49746300529176835,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
factor(rgn_code)WV,0.0028091395640241577,0.0015905133544202484,1.7661842047519971,0.08051105005636587,CPP,105,15,1,0.5389079148182283,-1233.1662642939614,-1209.2806211425436
(Intercept),5.301565886755602e-5,4.4121285332654524e-5,1.2015891755610006,0.2324482671718585,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
pressures,-4.2754563602867905e-5,1.389681101199511e-5,-3.0765737237099984,0.002721419622208715,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
factor(rgn_code)CC,8.661139305697434e-4,2.8851119864288684e-4,3.00201148046874,0.003410538752236871,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
factor(rgn_code)HG,0.0010865011562469647,3.5782341022377726e-4,3.0364171968722884,0.0030746287418449776,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
factor(rgn_code)NC,6.114505128565125e-4,2.079010944326726e-4,2.941064425490683,0.0040900658509388,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
factor(rgn_code)NV,0.0010930119623994755,3.669982643500997e-4,2.978248314975113,0.003662014303012271,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
factor(rgn_code)SG,1.0872604845894588e-4,2.0685065361181548e-4,0.525625839515043,0.6003477607145336,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
factor(rgn_code)WV,0.001071170117550667,3.844304617625446e-4,2.786381996472248,0.00641203119605605,CSS,105,15,1,0.5505296359853888,-1531.3765939007621,-1507.4909507493444
(Intercept),-0.029935028119673975,0.009883215729466486,-3.0288753113446325,0.003145526768658541,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
pressures,9.911210442590068e-4,3.262666526474556e-4,3.0377638542482415,0.003062126167872721,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
factor(rgn_code)CC,-0.0060599829981775495,0.00230318393267641,-2.631132890518023,0.009900033279541722,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
factor(rgn_code)HG,6.680710473296891e-4,0.001156651744547768,0.5775904895132407,0.5648789568433557,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
factor(rgn_code)NC,9.084386352476474e-4,0.0011855910048803552,0.7662327324584612,0.4453985168481185,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
factor(rgn_code)NV,8.219197619392674e-4,0.00116790080100543,0.7037581969561865,0.48326933378361303,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
factor(rgn_code)SG,-0.004931784060078212,0.002103412474004023,-2.3446585589036397,0.02108294083418352,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
factor(rgn_code)WV,-0.002081426552143339,0.0013461731863681201,-1.546180367593623,0.12531747616463265,CW,105,15,1,0.023558751110182352,-904.3331628632287,-880.447519711811
(Intercept),-0.8770384848589009,0.18655286015398434,-4.701286724497155,1.112702029165104e-5,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
pressures,0.013309041178835797,0.02016961731901266,0.6598559094272047,0.5113152437211042,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
factor(rgn_code)CC,0.5710675988953392,0.34103518309820496,1.6745122708670612,0.09808727502400603,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
factor(rgn_code)HG,0.5968215432492343,0.3616388718387299,1.6503246462824448,0.10295008509468292,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
factor(rgn_code)NC,0.687573822550762,0.257994910203211,2.665067392256657,0.009373682470408207,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
factor(rgn_code)NV,0.5441066978420265,0.3253717815048839,1.6722614829272138,0.09853174542738095,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
factor(rgn_code)PO,-0.14769773876581707,0.16948764879749278,-0.8714365902986198,0.3862248197362036,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
factor(rgn_code)WV,0.5822494605269111,0.24436897850213213,2.3826651979143536,0.01965455076545487,FIS,85,15,1,0.5092814393878341,21.2417580570427,43.22561936545554
(Intercept),-0.0037795633023189937,0.01443888039721623,-0.26176290670346447,0.7939893575814791,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
pressures,4.0758919065268773e-4,0.0014599197499067958,0.2791860242172277,0.7806215826925843,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
factor(rgn_code)CC,-0.009440553289296313,0.022996724793712946,-0.4105172964402852,0.6822178610832845,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
factor(rgn_code)HG,-0.008143740288143707,0.02239975016434508,-0.3635638892574145,0.716875211083907,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
factor(rgn_code)NC,-0.003967720128585013,0.016398117867867663,-0.24196192273747558,0.8092561298113944,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
factor(rgn_code)NV,-0.007017936674389586,0.025283131515109015,-0.2775738705545916,0.7818558088177776,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
factor(rgn_code)PO,-0.0012030786903465607,0.009761726427759018,-0.12324445877989529,0.9021364019941727,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
factor(rgn_code)SG,-0.004774552614114051,0.015334504135323059,-0.3113600917238569,0.7561109000861834,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
factor(rgn_code)WV,-0.004531226812874703,0.01893633323405501,-0.23928744582534944,0.8113239740663765,HAB,120,15,1,-0.0679166049142177,-550.1794506490728,-522.3045332212523
(Intercept),-0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
pressures,-0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
factor(rgn_code)CC,-0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
factor(rgn_code)HG,0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
factor(rgn_code)NC,0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
factor(rgn_code)NV,0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
factor(rgn_code)PO,-0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
factor(rgn_code)SG,0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
factor(rgn_code)WV,0,0,NaN,NaN,ICO,120,15,1,NaN,-Inf,-Inf
(Intercept),-0.09095694163068489,1.3999595803573415,-0.06497111981437922,0.9483532263086554,LSP,90,15,1,0.007273857017703889,121.23526216530044,141.23373952794256
pressures,0.010165798891793023,0.04967304563506646,0.20465422970997624,0.8383433117545885,LSP,90,15,1,0.007273857017703889,121.23526216530044,141.23373952794256
factor(rgn_code)HG,-0.07923373673349872,0.23898351050836883,-0.33154478551658934,0.7410687070759867,LSP,90,15,1,0.007273857017703889,121.23526216530044,141.23373952794256
factor(rgn_code)NC,0.23077957736605545,0.40026502912112993,0.5765669258510614,0.5657924264556384,LSP,90,15,1,0.007273857017703889,121.23526216530044,141.23373952794256
factor(rgn_code)NV,-0.10485457202589617,0.2341924331294302,-0.4477282661303861,0.6555157323263985,LSP,90,15,1,0.007273857017703889,121.23526216530044,141.23373952794256
factor(rgn_code)SG,-0.10977937412183701,0.3883563971998204,-0.2826768785409048,0.7781282978531247,LSP,90,15,1,0.007273857017703889,121.23526216530044,141.23373952794256
factor(rgn_code)WV,-0.1541077632479202,0.25407362250100807,-0.6065476680772273,0.5458066276184276,LSP,90,15,1,0.007273857017703889,121.23526216530044,141.23373952794256
(Intercept),0.3135644619505165,0.23102545827391532,1.357272329609401,0.17837403092132423,LVF,90,15,1,0.04256394904868799,-465.03341520346714,-445.034937840825
pressures,-0.0031298108703044433,0.002309817336486945,-1.355003627717439,0.1790929052223704,LVF,90,15,1,0.04256394904868799,-465.03341520346714,-445.034937840825
factor(rgn_code)HG,8.395247992663707e-4,0.006411636509376732,0.13093767839748918,0.8961414586920036,LVF,90,15,1,0.04256394904868799,-465.03341520346714,-445.034937840825
factor(rgn_code)NC,0.01441218755139132,0.006356271126410957,2.2673966016816376,0.025965090655647626,LVF,90,15,1,0.04256394904868799,-465.03341520346714,-445.034937840825
factor(rgn_code)NV,0.00729461165843207,0.0063562711264109634,1.147624371799089,0.2544208255844501,LVF,90,15,1,0.04256394904868799,-465.03341520346714,-445.034937840825
factor(rgn_code)SG,-0.010622664515444464,0.01092461155505212,-0.9723608443113916,0.33369633436782387,LVF,90,15,1,0.04256394904868799,-465.03341520346714,-445.034937840825
factor(rgn_code)WV,-2.586223051759772e-4,0.006356271126410965,-0.04068773971918453,0.9676425503621426,LVF,90,15,1,0.04256394904868799,-465.03341520346714,-445.034937840825
(Intercept),-0.024288981211561627,0.020244117812096344,-1.1998043795738227,0.23362895490016972,LVO,90,15,1,0.016473847327146074,-555.7528514468796,-535.7543740842375
pressures,2.096573418244657e-4,2.0093219272006006e-4,1.043423350864247,0.2997818439442546,LVO,90,15,1,0.016473847327146074,-555.7528514468796,-535.7543740842375
factor(rgn_code)HG,0.004717020570640803,0.004613092854427894,1.022528858510436,0.30950176469460705,LVO,90,15,1,0.016473847327146074,-555.7528514468796,-535.7543740842375
