term,estimate,std.error,statistic,p.value,goal,n_obs,years,r_sq,fn
(Intercept),97.78732945525198,13.261290790233618,7.373892255440793,6.424703518362904e-11,AO,96,16,0.031173824170847797,TRUE
res_soc,-0.4301034088461346,0.21354076055892712,-2.014151339165276,0.04685161098186191,AO,96,16,0.031173824170847797,TRUE
(Intercept),19.76982424004781,10.528836532373287,1.8776836528196652,0.06373675453433866,AO,90,16,0.20674354844019271,FALSE
res_soc,0.6685515744308056,0.1359143774477593,4.918917240288087,4.015827915532739e-6,AO,90,16,0.20674354844019271,FALSE
(Intercept),103.17606966358285,3.6242892530338953,28.467945701964624,5.3094653142614826e-48,BD,96,16,0.08371986884631033,TRUE
res_soc,-0.18157555384652704,0.058360343334630235,-3.1112831671568077,0.0024669341121911583,BD,96,16,0.08371986884631033,TRUE
(Intercept),95.60594782925217,3.3425271268185335,28.602893619670134,2.4608276859988594e-46,BD,90,16,0.002597383014782406,FALSE
res_soc,-0.047887769274833306,0.04314792922721787,-1.1098509275533326,0.2700868857173882,BD,90,16,0.002597383014782406,FALSE
(Intercept),96.81716170935465,3.5595124603946355,27.199556901851874,2.4340670602159575e-46,CW,96,16,0.06584290440276486,TRUE
res_soc,-0.15900721317427516,0.05731727099834284,-2.774158825162356,0.006675993019426932,CW,96,16,0.06584290440276486,TRUE
(Intercept),98.76235978349936,2.7570844932653755,35.82130327334632,2.936415232283076e-54,CW,90,16,0.17046247664139969,FALSE
res_soc,-0.15630991912614464,0.03559058223772878,-4.391889912956917,3.1200666190438995e-5,CW,90,16,0.17046247664139969,FALSE
(Intercept),53.3562760182116,15.762470984322004,3.385019777120093,0.0010478421153176359,FP,94,16,-0.010816363894910586,TRUE
res_soc,0.01769506096547052,0.2542922166439359,0.06958553902673094,0.944674575143635,FP,94,16,-0.010816363894910586,TRUE
(Intercept),63.52896693890629,12.629991855609775,5.030008543567593,2.6525093311346644e-06,FP,88,16,-0.006909371406312204,FALSE
res_soc,-0.10360469026386462,0.16320060555734275,-0.634830305378136,0.527224433878603,FP,88,16,-0.006909371406312204,FALSE
(Intercept),109.46405528151094,1.4637998725843293,74.7807520219638,1.5075588247537716e-85,HS,96,16,0.3321840852775729,TRUE
res_soc,-0.16373699711625797,0.023570928580189266,-6.946565408283258,4.824349011479797e-10,HS,96,16,0.3321840852775729,TRUE
(Intercept),105.46959564443578,1.4352383705144105,73.48576920127486,9.002484593853223e-81,HS,90,16,0.16628680678119334,FALSE
res_soc,-0.08022785858677281,0.018527168601945455,-4.330281669609701,3.932276294723087e-5,HS,90,16,0.16628680678119334,FALSE
(Intercept),73.81827551316451,3.9706458344393645,18.59099969906716,3.0016661504562775e-33,Index,96,16,0.002476404610733729,TRUE
res_soc,0.07107840897395591,0.06393757174985987,1.1116845233352437,0.2691090498710357,Index,96,16,0.002476404610733729,TRUE
(Intercept),72.05305221327099,3.3132534044808155,21.746918637683148,3.7148035444454813e-37,Index,90,16,0.02491174174142685,FALSE
res_soc,0.07738646643549846,0.042770041344271266,1.8093615064008772,0.07380927603509467,Index,90,16,0.02491174174142685,FALSE
(Intercept),59.758289208438136,3.318805188739765,18.00596474031966,3.158212736565996e-32,LV,96,16,0.2698127521409328,TRUE
res_soc,0.32110871105384753,0.05344126717078936,6.008628313913997,3.5230219010719545e-8,LV,96,16,0.2698127521409328,TRUE
(Intercept),73.63683473992054,3.368321130172221,21.86158382593275,2.5118696381967367e-37,LV,90,16,0.023163598515666184,FALSE
res_soc,0.07668489460588354,0.04348089820217751,1.7636455955742696,0.08126249878183041,LV,90,16,0.023163598515666184,FALSE
(Intercept),40.53726548977449,18.293896668454767,2.2158901531173103,0.029112624677245742,SP,96,16,-0.0035731786541632893,TRUE
res_soc,0.23963506088327333,0.29457861002831043,0.813484254203804,0.4179962663878142,SP,96,16,-0.0035731786541632893,TRUE
(Intercept),85.79938692480312,13.329805383903187,6.436657134425442,6.2190418636591965e-9,SP,90,16,0.052472943231041125,FALSE
res_soc,-0.418976009939116,0.17207145297416993,-2.4348955198397118,0.01691460627125341,SP,90,16,0.052472943231041125,FALSE
(Intercept),68.6438572158311,12.561665173097209,5.464550779688251,1.6300845259551825e-6,TR,50,10,0.06733927991379085,TRUE
res_soc,0.42083013309042533,0.19755189396641964,2.1302257581086974,0.03830564212350058,TR,50,10,0.06733927991379085,TRUE
(Intercept),86.86901142259322,19.50359731093729,4.453999435984998,6.131250372115211e-5,TR,44,10,-0.01913150073827974,FALSE
res_soc,0.10590591308185286,0.24120121815216508,0.4390770241261413,0.6628564289715796,TR,44,10,-0.01913150073827974,FALSE
