term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared
(Intercept),-0.03534808373337422,0.07876781386460503,-0.4487630416420402,0.6545545508682465,AO,105,15,1,9.606336230034707e-4
res_reg,0.11552918206811047,0.09735439607067385,1.1866868547388731,0.2381077582161301,AO,105,15,1,9.606336230034707e-4
pressures,-0.10329361005038043,0.1601904071642803,-0.6448177008779907,0.5204929739468956,AO,105,15,1,9.606336230034707e-4
(Intercept),-0.0012460681406633554,4.6570090867124663e-4,-2.6756832925636296,0.008689494399073332,CPP,105,15,1,0.020728628945092975
res_reg,0.001416107963969367,8.034911284735843e-4,1.7624438077612492,0.08098983474102034,CPP,105,15,1,0.020728628945092975
pressures,6.948263527588226e-4,0.0010459057821161307,0.6643297748608044,0.5079783033982077,CPP,105,15,1,0.020728628945092975
(Intercept),-2.3944150638157926e-4,1.1532304369610277e-4,-2.0762676626238834,0.04038339217258109,CSS,105,15,1,-0.0020133947892893023
res_reg,2.54649508334057e-4,1.9897114391031288e-4,1.279831353077215,0.20350774128339932,CSS,105,15,1,-0.0020133947892893023
pressures,3.146171195312808e-5,2.590010798070668e-4,0.12147328488577851,0.9035551601942803,CSS,105,15,1,-0.0020133947892893023
(Intercept),-0.0013281219752959755,0.005414852151755831,-0.2452739129479862,0.8067371552813812,CW,105,15,1,-1.754288066766474e-4
res_reg,-0.004445502218697831,0.006963756719235638,-0.6383770137199426,0.524659025629526,CW,105,15,1,-1.754288066766474e-4
pressures,0.01301950915476736,0.010346159301536841,1.2583905558880593,0.21112336921854366,CW,105,15,1,-1.754288066766474e-4
(Intercept),0.8984497871239604,1.3065584275236937,0.6876460847042124,0.4932363980540435,FIS,105,15,1,0.011773204560383888
res_reg,-0.7824167251763776,2.822492780096162,-0.2772076976401409,0.7821816526206331,FIS,105,15,1,0.011773204560383888
pressures,-2.3402765147873565,1.3641707592654264,-1.7155304780521319,0.08928419552485899,FIS,105,15,1,0.011773204560383888
(Intercept),-0.01572036003090653,0.028548102643926338,-0.5506621657832335,0.5829151854947462,HAB,120,15,1,-0.013591539414484322
res_reg,0.032920630127997605,0.05630557159263684,0.5846780202530203,0.5598900212989486,HAB,120,15,1,-0.013591539414484322
pressures,-0.01596691318217952,0.03615292412981751,-0.4416492874779841,0.6595581915837786,HAB,120,15,1,-0.013591539414484322
(Intercept),0.003560465532443286,0.002693436218435461,1.321904527782528,0.18877867342701446,ICO,120,15,1,-0.004416338179624724
res_reg,-0.005726064214712554,0.005198902473478798,-1.101398659413784,0.27298386158828847,ICO,120,15,1,-0.004416338179624724
