goal,model,lag,yrs,rgns,adj_r_squared,aic,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,pressures
AO,intercept only,1,14,6,0.8243197708550121,-276.48177624621945,0.0962,0.0971,0.0930,0.1002,0.1087,NA,0.0886,0.1049,0.0905**,-0.0860**,0.0231,-0.0829*,-0.1077**,-0.0020,0.1220***,-0.0556°,-0.2372***,0.1864***,-0.0008,0.1796***,-0.2063***,0.1381***,-0.0064
AO,intercept only,2,13,6,0.8160111457575739,-237.48598661139192,0.3156*,0.2154°,0.2173*,0.2289°,0.2451*,NA,0.1927*,0.2374°,-0.1000**,-0.1632***,-0.1627***,-0.2779***,-0.2003***,0.0298,-0.0229,-0.3723***,-0.1916***,0.0854°,0.0831°,-0.1697***,-0.1986***,NA,-0.0145°
AO,intercept only,3,12,6,0.8786957308797076,-222.1282833674161,0.0579,0.0982,0.1107,0.0591,0.1121,NA,0.1092,0.0961,0.0215,-0.1487***,-0.1785***,-0.2022***,-0.0202,0.0560,-0.1716***,-0.1179**,-0.0592,0.4584***,-0.0200,0.1158*,NA,NA,-0.0049
AO,intercept only,4,11,6,0.8109906356155863,-195.00620761553756,0.2005,0.2103,0.2352°,0.1996,0.2543°,NA,0.2162*,0.2362,-0.0983**,-0.2775***,-0.2133***,-0.1278***,-0.0805*,-0.1924***,-0.0252,-0.1338***,0.0922*,0.1299*,0.0893°,NA,NA,NA,-0.0129
AO,intercept only,5,10,6,0.8777213057658269,-179.10766688181317,0.0715,0.1847,0.2296°,0.1740,0.2355,NA,0.2179*,0.2131,-0.1162**,-0.1942***,-0.0271,-0.0819*,-0.1994***,0.0626,0.0851*,0.1451***,-0.0279,0.4207***,NA,NA,NA,NA,-0.0110
AO,intercept only,6,9,6,0.8209227282589501,-150.17362000583347,-0.0637,0.2033,0.2628°,0.1765,0.2612,NA,0.2540*,0.2483,-0.0153,0.0028,0.0381,-0.1612***,0.0576,0.1917***,0.4050***,0.0501,0.2331***,NA,NA,NA,NA,NA,-0.0109
CPP,intercept only,1,14,6,0.537382010932977,-1221.18574771577,-0.0003,-0.0013,-0.0016,-0.0009,-0.0018,NA,-0.0029*,-0.0017,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0001,0.0001,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0001
CPP,intercept only,2,13,6,0.5622026910472564,-1011.1699295789831,-0.0005,-0.0009,-0.0011,-0.0006,-0.0015,NA,-0.0048°,-0.0012,-0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0006,0.0011,0.0011,0.0011,0.0011,0.0011,NA,0.0000
CPP,intercept only,3,12,6,0.588418530190044,-872.1151767161521,-0.0006,0.0004,0.0005,0.0003,0.0001,NA,-0.0060,0.0005,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0005,0.0010,0.0015,0.0015,0.0015,0.0015,NA,NA,-0.0000
CPP,intercept only,4,11,6,0.6214117682630929,-765.1355420616841,-0.0004,0.0032,0.0041,0.0023,0.0036,NA,-0.0063,0.0044,-0.0001,-0.0001,-0.0001,-0.0001,-0.0002,0.0003,0.0008,0.0012,0.0017,0.0017,0.0017,NA,NA,NA,-0.0002
