term,estimate,std.error,statistic,p.value,goal,n_obs,years
(Intercept),-0.04317513868940178,0.01253000627100963,-3.4457395914713187,9.361835634816917e-4,AO,77,11
trend,-0.23908385865557064,0.10512906060695967,-2.2741938078322654,0.025814807705760043,AO,77,11
(Intercept),0.467624437819805,0.14592702308198063,3.2045088561636548,0.0019877146446188655,FIS,77,11
trend,-0.7530488381882959,0.22277272621009497,-3.3803457496771947,0.001151964166898431,FIS,77,11
(Intercept),-0.004590449226071026,0.02912397489265431,-0.1576175382306361,0.8752787697238891,SAL,63,9
trend,-0.31022325617882157,0.06971531345536625,-4.449858156019559,3.715343100527414e-5,SAL,63,9
(Intercept),5.835789829630039e-6,3.240808675901412e-4,0.01800720256343688,0.9856809263454743,CPP,77,11
trend,0.693724465312031,0.05470800974746731,12.68049173264152,2.4448872974634537e-20,CPP,77,11
(Intercept),1.8744239958437506e-6,6.988855006398621e-5,0.0268201871998722,0.9786743880114073,CSS,77,11
trend,0.5794658636813899,0.0372562760131505,15.553510057657224,3.5439212915128743e-25,CSS,77,11
(Intercept),1.2701476401087773e-4,3.633375686850058e-4,0.3495778442911108,0.7276352316219367,CW,77,11
trend,-0.7124019817503557,0.10714268203600512,-6.64909602982455,4.19043867177635e-9,CW,77,11
(Intercept),-0.009878624439732114,0.002806764720817577,-3.5195769586467476,6.936010227908314e-4,HAB,88,11
trend,-0.40789544946237016,0.0988934809356249,-4.124593912594616,8.541712688448722e-5,HAB,88,11
(Intercept),6.88241901718196e-4,3.885857075213146e-4,1.7711456916630028,0.08007929643302024,SPP,88,11
trend,0.07317162070066582,0.0679033954075297,1.0775841216999282,0.284232770648696,SPP,88,11
(Intercept),0.011585916703968175,0.0016126126154066942,7.184562859844833,2.2850600570979141e-10,ICO,88,11
trend,0.45661593210754525,0.07629480251794384,5.984889101720309,4.8504733851075095e-8,ICO,88,11
(Intercept),1.8363681835617183,0.38716774617083105,4.743081524026159,9.815400087882681e-6,LSP,77,11
trend,-1.4405460787598856,0.5932541598045661,-2.4282106664611343,0.017570854337006232,LSP,77,11
(Intercept),-0.13217161707895264,0.059254449451342506,-2.2305770841308203,0.029278591315392264,LVF,66,11
trend,0.08984699575589669,0.10557933319710587,0.8509903693761874,0.3979976870529368,LVF,66,11
res_minus_prs,-0.438661394549274,0.1544414843196123,-2.840308071900401,0.0060623469638559115,LVF,66,11
(Intercept),0.009818847949791008,0.006103709467810665,1.6086689580447746,0.11268903841162545,LVO,66,11
trend,-0.05235124648006343,0.15824984644836476,-0.3308138848472443,0.741882829780776,LVO,66,11
res_minus_prs,0.010719059182527937,0.039277343538957024,0.2729069284407255,0.7858173471012289,LVO,66,11
(Intercept),-0.032547534772466476,0.022784890489539647,-1.4284700989635555,0.16659679213894965,TR,25,5
trend,-0.895295764587892,0.3331276571864412,-2.6875455858257444,0.013144957403563952,TR,25,5
