term,estimate,std.error,statistic,p.value,adj_r_squared,aicc,yrs,rgns,params,intercept,rmse,rsquared,mae,model,goal,lag,model_error
(Intercept),0.06579701130803853,0.0742105480246045,0.8866261341477162,0.3778420309487147,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
prs_omit_soc,-0.003751595583092124,0.004065073864357939,-0.9228849728871218,0.3587422317021467,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(rgn_code)CC,5.623428980771945e-4,0.018474200584059824,0.030439363019713193,0.975789728071313,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(rgn_code)HG,0.030913443610686563,0.036391444687591194,0.8494700849627844,0.3980633531961333,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(rgn_code)NC,4.5847164870108694e-4,0.023610846448755256,0.019417840427540335,0.9845543821677527,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(rgn_code)NV,0.027770435973936903,0.038958711973133955,0.7128170970613064,0.4779581884560159,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(rgn_code)SG,0.031065442754930683,0.03021519318190224,1.0281398026453032,0.3068710163817242,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(rgn_code)WV,0.03686472910277136,0.048800794708507476,0.7554124747961267,0.45213994573593086,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2002,0.10154025533425587,0.02786091637191377,3.6445411191362425,4.6573474739440834e-4,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2003,0.008399348948546229,0.027812216908264843,0.30200213727120145,0.7634058773544374,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2004,-0.08337566253040565,0.02743886479123609,-3.038597375101161,0.0031776120276496983,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2005,-0.03147997267695865,0.027029162090890405,-1.1646669834270702,0.24749042349945535,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2006,-0.033232541474891894,0.02715840618918836,-1.2236558082013524,0.22454456296768874,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2007,-0.03506975802909833,0.027241153113138537,-1.2873815540570497,0.20153966730901407,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2008,0.07514844618739164,0.027030954344451186,2.780088532198562,0.006721688563446116,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
factor(year)2009,0.003204890049496061,0.029145301884519147,0.10996249282970626,0.9127045637057537,0.484817904704404,-293.84491200135074,14,6,41,TRUE,0.056806568608291655,0.37439766240082634,0.041727489582621326,prs_ecol_only,AO,1,NA
