term,estimate,std.error,statistic,p.value,goal,n_obs,years
(Intercept),0.9737172511944006,0.06575253133633559,14.808817720091538,5.7548161596080524e-24,AO,77,11
resilience,-0.04799207204100233,0.22955570210973186,-0.20906503998781625,0.8349642644000882,AO,77,11
(Intercept),1.9156556237173195,0.5247846647249838,3.6503650973132555,4.817815079990651e-4,FIS,77,11
resilience,-3.0184722266552364,2.7028630052073077,-1.1167684861718405,0.26765831127923434,FIS,77,11
(Intercept),1.0128566958676906,0.1445334473396032,7.0077668146102585,2.247119363636347e-9,SAL,63,9
resilience,-0.07358835053215461,0.6356566964075786,-0.11576744325677689,0.9082171227123812,SAL,63,9
(Intercept),0.997247727197175,0.0012396609206099946,804.452016367882,2.308795797935352e-149,CPP,77,11
resilience,0.005526742624205365,0.005682045811184267,0.9726677340979528,0.33384511604326694,CPP,77,11
(Intercept),0.9994236961451675,3.057290721266351e-4,3268.9848210810624,4.973688517754577e-195,CSS,77,11
resilience,4.939833514263017e-4,0.0014013239949353246,0.35251187677629153,0.7254431178070383,CSS,77,11
(Intercept),0.9924325278603396,0.00484512141791848,204.83130189267786,7.840174305916189e-105,CW,77,11
resilience,0.02372060876226082,0.015173815862339835,1.5632592999321564,0.12220156350521165,CW,77,11
(Intercept),1.0043435111729129,0.00965140451396782,104.06190204953019,3.045970740631825e-92,HAB,88,11
resilience,-0.06020868417340078,0.049057965403183974,-1.2272968044755703,0.22306006791054478,HAB,88,11
(Intercept),1.0005647350330789,7.871561148039312e-4,1271.113463029255,1.4322793010983577e-185,SPP,88,11
resilience,-0.001152876693140436,0.003666642250140642,-0.3144230100703757,0.753961301280796,SPP,88,11
(Intercept),1.0048351389946168,0.0020653033300004845,486.53150575919574,1.0437875687949065e-149,ICO,88,11
resilience,-0.010241988159230884,0.00821592580864958,-1.246601831341795,0.2159282775500109,ICO,88,11
(Intercept),2.2784331194750345,1.8165246535516404,1.2542814186530735,0.21363482011130092,LSP,77,11
resilience,-0.397120410918905,7.870978695834406,-0.05045375248303935,0.9598949326174762,LSP,77,11
(Intercept),1.3881678038472927,0.112428075941515,12.34716321721468,1.3699545815078042e-18,LVF,66,11
resilience,-0.5772902009232389,0.18241528501943405,-3.1647030064489163,0.0023764118820403615,LVF,66,11
(Intercept),1.0608940235103645,0.031879237380497416,33.27852579558198,4.049961758713971e-42,LVO,66,11
resilience,-0.08381009639985498,0.05142445016203017,-1.6297713662622129,0.108062344123308,LVO,66,11
(Intercept),0.5798240049055006,0.5568400655165219,1.041275656714211,0.3085701416001324,TR,25,5
resilience,1.664585430821303,2.2553620926963074,0.738056845156635,0.4679442497418146,TR,25,5
