term,estimate,std.error,statistic,p.value,goal,n_obs,years,r_squared,aic,bic,fixed_effects
(Intercept),48.58705989590352,4.531965160504293,10.720969419477402,1.4762037464578799e-18,AO,107,16,0.16711769271820787,753.7307955757176,761.7492820791033,none
pred_status,0.29533541143553443,0.06258443228930395,4.718991618719357,7.343996827033329e-6,AO,107,16,0.16711769271820787,753.7307955757176,761.7492820791033,none
(Intercept),60.65394315399495,4.217265880194881,14.382290535400656,5.459713509883291e-26,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
pred_status,0.10360532691886247,0.05520922530713994,1.8765944702626303,0.06351882928549023,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
rgn_nameCentral Coast,-7.685358181403781,2.2289977778374426,-3.4478985388940404,8.31008140319304e-4,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
rgn_nameHaida Gwaii,-0.23617044146285412,2.1961374563381524,-0.10753900707865781,0.914579018896083,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
rgn_nameNorth Coast,8.30170886743443,2.5218714458669993,3.2918842397933448,0.0013801908287947898,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
rgn_nameNorth Vancouver Island,4.546581679025706,2.197403918681176,2.0690696145451692,0.04114500565419136,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
rgn_nameStrait of Georgia,-2.075350578510344,2.1912946418943084,-0.9470887843344816,0.3458995576249352,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
rgn_nameWest Vancouver Island,10.517872453445788,2.2343913555386328,4.707265102585532,8.173553030185375e-6,AO,107,16,0.5055557936552069,703.6388530629545,727.6943125731116,region
(Intercept),85.47089543211136,3.359747204706679,25.43968049512027,1.780830966749431e-51,BD,128,16,0.028531393931283233,648.2747834868775,656.8308742786363,none
pred_status,0.07987121174909058,0.036725185428202765,2.1748348120729766,0.0315100478992991,BD,128,16,0.028531393931283233,648.2747834868775,656.8308742786363,none
(Intercept),94.12597885778787,1.2960327768423991,72.6262333327036,2.072154811370906e-100,BD,128,16,0.9037705738791428,359.0130655350607,387.5333681742569,region
pred_status,-0.009845677347985207,0.013527079955499937,-0.7278494235544222,0.468135471291768,BD,128,16,0.9037705738791428,359.0130655350607,387.5333681742569,region
rgn_nameCentral Coast,-0.8265204501671256,0.33478083110402274,-2.468840427456583,0.014975139689795216,BD,128,16,0.9037705738791428,359.0130655350607,387.5333681742569,region
rgn_nameHaida Gwaii,-0.33650895908603484,0.33469901575135,-1.0054076745060685,0.31674060315741864,BD,128,16,0.9037705738791428,359.0130655350607,387.5333681742569,region
rgn_nameNorth Coast,-1.2973969492377166,0.37179781602607176,-3.489522781776477,6.793019527970022e-4,BD,128,16,0.9037705738791428,359.0130655350607,387.5333681742569,region
rgn_nameNorth Vancouver Island,-0.2354299646595662,0.3344756921702059,-0.7038776514131917,0.482884018810284,BD,128,16,0.9037705738791428,359.0130655350607,387.5333681742569,region
rgn_namePacific Offshore,4.031107852274619,0.33382187121089224,12.075625355679477,2.0861242019467507e-22,BD,128,16,0.9037705738791428,359.0130655350607,387.5333681742569,region
