term,estimate,std.error,statistic,p.value,goal,n_obs,years,adj_r_squared,aic
(Intercept),68.63119551915341,4.330335026515797,15.848934343164276,5.715508919018209e-27,AO,107,16,0.8344964002531469,634.909408506531
pred_status,0.027799429610407884,0.06672257417412349,0.41664204288432755,0.6780030021566263,AO,107,16,0.8344964002531469,634.909408506531
factor(rgn_name)Central Coast,-8.398132387076442,1.5803323683670272,-5.314155778353331,8.663827878942773e-7,AO,107,16,0.8344964002531469,634.909408506531
factor(rgn_name)Haida Gwaii,-0.4158056672720046,1.5124113742004064,-0.2749289474841698,0.7840459130887552,AO,107,16,0.8344964002531469,634.909408506531
factor(rgn_name)North Coast,11.458552415658035,1.9027998758583395,6.02194301199918,4.384181292410956e-8,AO,107,16,0.8344964002531469,634.909408506531
factor(rgn_name)North Vancouver Island,4.5151343567279065,1.5197786908519058,2.9709156891764064,0.0038710067381597852,AO,107,16,0.8344964002531469,634.909408506531
factor(rgn_name)Strait of Georgia,-2.0819933311258265,1.4996340201973042,-1.38833428895665,0.16870617616305406,AO,107,16,0.8344964002531469,634.909408506531
factor(rgn_name)West Vancouver Island,11.44293890191839,1.5915897954876193,7.189628215989277,2.470795525210023e-10,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2002,-0.1485427980448378,2.452267523038347,-0.06057365138563432,0.9518426447609007,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2003,6.279470558910987,3.1638641784184744,1.984747196717501,0.05043652808385037,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2004,0.1682001777482368,2.6892962365335813,0.06254431009245809,0.9502779622226127,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2005,1.7780564579541445,2.7909203892340644,0.637086054053341,0.5258013471481839,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2006,-4.002107427226521,2.7998224621243346,-1.429414715170892,0.15659368109698046,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2007,-11.919405702548486,2.6469931432896714,-4.502998329544255,2.1429813509554958e-5,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2008,-12.794973621999178,2.964174661087991,-4.316538357190741,4.3089954147032915e-5,AO,107,16,0.8344964002531469,634.909408506531
factor(year)2009,-5.490137862443755,2.618445501591605,-2.096716490416398,0.039026330021062844,AO,107,16,0.8344964002531469,634.909408506531
