goal,yr_lag,r_squared,aic,model,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,res_ecol,res_reg,res_soc,best_model
AO,1,-0.05940681792928215,-193.12440588549845,prs_v_res_soc_ecol.csv,9.2941,NA,-0.0160,-0.2823,-0.0391,NA,-0.1893,-0.0885,-10.9910,NA,0.3014,FALSE
AO,1,-0.05732859425851444,-194.21020858650385,prs_v_res_soc_only.csv,-0.0946,NA,-0.0124,-0.0064,0.0114,NA,-0.0056,0.0014,NA,NA,0.1269,FALSE
AO,1,-0.054290174233330823,-192.66444255051968,prs_v_res_all.csv,6.8529,NA,-0.0029,-0.2175,-0.0309,NA,-0.1467,-0.0540,-8.1039,-0.0632,0.2516,FALSE
AO,1,-0.05306546209634799,-215.8568714073516,prs_v_res_ecol_only.csv,6.6828,0.2241,0.2297,0.0100,0.2103,NA,0.1115,0.1764,-8.0258,NA,NA,FALSE
AO,1,-0.05176057496657904,-215.07515358551984,prs_v_res_reg_ecol.csv,5.0950,0.1710,0.1859,-0.0011,0.1597,NA,0.0817,0.1471,-6.1004,-0.0592,NA,FALSE
AO,1,-0.04849875232835843,-217.23627068026227,prs_v_res_intercept_only.csv,-0.0277,0.0058,0.0038,-0.0037,0.0231,NA,0.0138,0.0156,NA,NA,NA,TRUE
AO,1,-0.04707856099413843,-194.1778722931592,prs_v_res_reg_soc.csv,-0.0668,NA,0.0011,-0.0149,0.0057,NA,-0.0118,0.0135,NA,-0.0703,0.1226,FALSE
AO,1,-0.04442071266331449,-216.72238731970148,prs_v_res_reg_only.csv,-0.0037,0.0051,0.0151,-0.0122,0.0169,NA,0.0069,0.0256,NA,-0.0646,NA,FALSE
AO,2,-0.047856654524292885,-125.93176374043074,prs_v_res_reg_ecol.csv,10.0497,0.3401,0.3649,0.0053,0.3229,NA,0.1663,0.2884,-12.0529,-0.0757,NA,FALSE
AO,2,-0.045300122012931654,-127.07617019613323,prs_v_res_ecol_only.csv,11.7302,0.3972,0.4116,0.0190,0.3782,NA,0.1994,0.3178,-14.0967,NA,NA,FALSE
