term,estimate,std.error,statistic,p.value,adj_r_squared,aicc,yrs,rgns,params,goal,model,lag,model_error
(Intercept),-0.07432056931952424,0.030628297377088526,-2.42653283675898,0.01740943193752681,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
res_reg,-0.05503924667157869,0.0501435770868707,-1.0976330343610416,0.27553890943890064,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2002,0.06704091985183994,0.03196198850550966,2.0975203041664106,0.038989742097577995,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2003,0.10158791401145403,0.03197456010465923,3.177148135234266,0.0020892597235932005,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2004,0.12817665173008125,0.03197575337234692,4.0085576792361115,1.32794522896113e-4,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2005,0.1125161222661683,0.03197372968885991,3.5190177486666645,7.058168212592721e-4,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2006,0.08275755803190268,0.03196284439937475,2.5891800178310027,0.011358164657546996,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2007,0.03585765075934433,0.03196669396874257,1.1217190865719922,0.2652166328013504,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2008,-0.03574900598777866,0.03232617177252747,-1.105884304499059,0.27197176894740493,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
factor(year)2009,-0.0031296813788620113,0.032333499102864705,-0.09679377319804913,0.9231235128662039,0.35322751271561614,-258.6145972288239,14,6,41,AO,d_prs ~ 1 + res_reg + factor(year) + factor(rgn_code),1,NA
