sb_trawl_prs,n_cells_prs,a_prs_km2,a_tot_km2
0.0,303110,272.799,845.5886999999999
36.0,861,0.7749,845.5886999999999
54.0,13900,12.51,845.5886999999999
66.0,15330,13.796999999999999,845.5886999999999
72.0,6539,5.8850999999999996,845.5886999999999
96.0,9534,8.5806,845.5886999999999
102.0,767,0.6903,845.5886999999999
111.0,2343,2.1087,845.5886999999999
123.0,7746,6.9714,845.5886999999999
135.0,14927,13.4343,845.5886999999999
141.0,2368,2.1311999999999998,845.5886999999999
373.0,14066,12.6594,845.5886999999999
525.0,17689,15.9201,845.5886999999999
1035.0,15247,13.722299999999999,845.5886999999999
1352.0,13425,12.0825,845.5886999999999
1521.0,17822,16.0398,845.5886999999999
1675.0,10008,9.0072,845.5886999999999
2016.0,17822,16.0398,845.5886999999999
2048.0,7878,7.090199999999999,845.5886999999999
2454.5,17277,15.549299999999999,845.5886999999999
2777.0,14895,13.4055,845.5886999999999
3374.0,15701,14.1309,845.5886999999999
3396.0,17675,15.907499999999999,845.5886999999999
3426.0,15040,13.536,845.5886999999999
3443.5,17822,16.0398,845.5886999999999
3654.0,3540,3.186,845.5886999999999
4000.5,16521,14.8689,845.5886999999999
4008.0,17822,16.0398,845.5886999999999
4728.5,8835,7.951499999999999,845.5886999999999
5031.5,8978,8.0802,845.5886999999999
5563.5,17146,15.4314,845.5886999999999
5868.5,8212,7.3908,845.5886999999999
6252.0,17822,16.0398,845.5886999999999
6968.0,17956,16.1604,845.5886999999999
8610.0,17689,15.9201,845.5886999999999
8755.5,17533,15.7797,845.5886999999999
8806.9,17822,16.0398,845.5886999999999
10191.0,17811,16.029899999999998,845.5886999999999
10294.0,17689,15.9201,845.5886999999999
10720.5,16428,14.7852,845.5886999999999
12550.6,14533,13.079699999999999,845.5886999999999
13001.0,17822,16.0398,845.5886999999999
14136.0,16709,15.0381,845.5886999999999
16913.1,13746,12.3714,845.5886999999999
17695.0,12594,11.3346,845.5886999999999
21482.0,17689,15.9201,845.5886999999999
23658.0,17689,15.9201,845.5886999999999
24138.0,17165,15.4485,845.5886999999999
