sb_trawl_prs,n_cells_prs,a_prs_km2,a_tot_km2
0.0,197315,177.5835,458.76599999999996
36.0,330,0.297,458.76599999999996
54.0,13315,11.9835,458.76599999999996
66.0,10876,9.7884,458.76599999999996
72.0,7486,6.7374,458.76599999999996
96.0,3811,3.4299,458.76599999999996
111.0,1228,1.1052,458.76599999999996
123.0,9619,8.6571,458.76599999999996
135.0,10877,9.789299999999999,458.76599999999996
141.0,3259,2.9331,458.76599999999996
373.0,11697,10.5273,458.76599999999996
525.0,17686,15.917399999999999,458.76599999999996
1352.0,13974,12.5766,458.76599999999996
2016.0,1205,1.0845,458.76599999999996
2048.0,3070,2.763,458.76599999999996
2454.5,13467,12.1203,458.76599999999996
2777.0,11163,10.0467,458.76599999999996
3374.0,16150,14.535,458.76599999999996
3396.0,156,0.1404,458.76599999999996
3426.0,3813,3.4316999999999998,458.76599999999996
3443.5,12643,11.3787,458.76599999999996
4008.0,423,0.3807,458.76599999999996
4728.5,7128,6.4152,458.76599999999996
5563.5,10808,9.7272,458.76599999999996
6252.0,10168,9.1512,458.76599999999996
6968.0,51,0.045899999999999996,458.76599999999996
8610.0,16924,15.2316,458.76599999999996
8755.5,14479,13.0311,458.76599999999996
8806.9,2460,2.214,458.76599999999996
10294.0,14887,13.398299999999999,458.76599999999996
10720.5,1309,1.1781,458.76599999999996
12550.6,13957,12.5613,458.76599999999996
13001.0,17656,15.8904,458.76599999999996
14136.0,14698,13.2282,458.76599999999996
16913.1,5763,5.1867,458.76599999999996
17695.0,994,0.8946,458.76599999999996
21482.0,1474,1.3266,458.76599999999996
24138.0,13421,12.078899999999999,458.76599999999996
