reef_id,closure,n_cells,a_km2
1.0,NA,162,0.14579999999999999
2.0,NA,209,0.1881
3.0,NA,188,0.1692
4.0,NA,492,0.44279999999999997
5.0,NA,146,0.1314
6.0,NA,36,0.0324
7.0,NA,141,0.12689999999999999
8.0,NA,64,0.0576
9.0,1.0,274,0.24659999999999999
9.0,NA,310,0.27899999999999997
NA,1.0,827,0.7443
NA,NA,2663151,2396.8359
