sponge_trawl_bin_prs,sponge_trawl_hrs_prs,n_cells_prs,a_prs_km2,a_tot_km2
0.1,96.0,10,0.009,0.9909
0.8,3396.0,656,0.5904,0.9909
1.0,3374.0,112,0.1008,0.9909
1.0,10720.5,323,0.2907,0.9909
