goal,yr_lag,r_squared,aic,model,intercept,res_ecol,res_reg,res_soc,best_model
AO,1,0.005437133730202419,-186.79607946942156,prs_v_res_reg_soc_RE.csv,-0.0926,NA,-0.0512,0.1511,FALSE
AO,1,0.025932422372670173,-191.4638478532929,prs_v_res_soc_ecol_RE.csv,-0.2034,0.1470,NA,0.0966,FALSE
AO,1,0.08121291443587547,-212.53064627114054,prs_v_res_reg_ecol_RE.csv,-0.5495,0.6445,-0.0516,NA,FALSE
AO,1,0.12785749930863916,-186.97954505484597,prs_v_res_all_RE.csv,-0.6030,0.6207,-0.0611,0.1244,FALSE
AO,1,0.79807130819331,-212.52004806195998,prs_v_res_reg_only_RE.csv,-0.0046,NA,-0.0401,NA,FALSE
AO,1,0.9940217480550168,-191.78930416550713,prs_v_res_soc_only_RE.csv,-0.0830,NA,NA,0.1050,FALSE
AO,1,0.9998382932805455,-217.57146605185537,prs_v_res_ecol_only_RE.csv,-0.3358,0.3712,NA,NA,TRUE
AO,2,0.004574382649932821,-114.3893389884209,prs_v_res_reg_soc_RE.csv,-0.2316,NA,-0.0758,0.3663,FALSE
AO,2,0.026647808294882985,-119.10405603963207,prs_v_res_soc_ecol_RE.csv,-0.4208,0.2466,NA,0.2871,FALSE
AO,2,0.06834749923905693,-125.17823178183585,prs_v_res_reg_ecol_RE.csv,-1.0255,1.1907,-0.0689,NA,FALSE
AO,2,0.1151654836030973,-115.3265218643575,prs_v_res_all_RE.csv,-0.9608,0.8877,-0.0896,0.3264,FALSE
AO,2,0.8006435671563098,-123.98814116988035,prs_v_res_reg_only_RE.csv,-0.0182,NA,-0.0485,NA,FALSE
AO,2,0.9940541871424353,-118.63034786650537,prs_v_res_soc_only_RE.csv,-0.2189,NA,NA,0.3015,FALSE
AO,2,0.9998375322688836,-129.69062714572163,prs_v_res_ecol_only_RE.csv,-0.7718,0.8637,NA,NA,TRUE
AO,3,0.003344615897099775,-72.26114020008609,prs_v_res_reg_soc_RE.csv,-0.3841°,NA,-0.0835,0.5912°,FALSE
AO,3,0.02742811571461901,-77.47846559643072,prs_v_res_soc_ecol_RE.csv,-0.9151,0.6633,NA,0.4856,FALSE
AO,3,0.05458256597554783,-81.90877927435459,prs_v_res_reg_ecol_RE.csv,-1.6953,1.9552,-0.0710,NA,FALSE
AO,3,0.10184302017944864,-73.84270675674519,prs_v_res_all_RE.csv,-1.4821,1.3388,-0.1039,0.5279,FALSE
AO,3,0.8037689558997211,-79.48136236429866,prs_v_res_reg_only_RE.csv,-0.0405,NA,-0.0395,NA,FALSE
AO,3,0.9940956908007292,-76.38856668818019,prs_v_res_soc_only_RE.csv,-0.3725°,NA,NA,0.5250,FALSE
AO,3,0.9998366694667808,-86.27490557862616,prs_v_res_ecol_only_RE.csv,-1.4703,1.6616,NA,NA,TRUE
AO,4,0.002024598665510102,-50.001524496359394,prs_v_res_reg_soc_RE.csv,-0.5335*,NA,-0.1055,0.8084*,FALSE
AO,4,0.008736725847125692,-52.54249909215915,prs_v_res_all_RE.csv,-0.3984,-2.1326,-0.0921,3.5416***,FALSE
AO,4,0.02520902329761952,-56.38873017222477,prs_v_res_soc_ecol_RE.csv,0.0861,-2.8563,NA,3.7085***,FALSE
AO,4,0.03998761695402218,-54.739455327478026,prs_v_res_reg_ecol_RE.csv,-1.8180,2.0757,-0.0831,NA,FALSE
AO,4,0.8101977483219343,-52.32460746988686,prs_v_res_reg_only_RE.csv,-0.0601,NA,-0.0523,NA,FALSE
AO,4,0.9941496764127448,-53.66086931795855,prs_v_res_soc_only_RE.csv,-0.5226*,NA,NA,0.7328°,FALSE
AO,4,0.999835685602534,-58.752972528885465,prs_v_res_ecol_only_RE.csv,-1.6042,1.7913,NA,NA,TRUE
AO,5,0.0056392208057406655,-54.70252655042603,prs_v_res_all_RE.csv,-7.1462,3.7460,-0.0737,6.2926***,FALSE
AO,5,0.026112065926373246,-44.66258986199253,prs_v_res_reg_ecol_RE.csv,-1.8466,2.0823,-0.1092,NA,FALSE
AO,5,0.027528560373154702,-49.79095409653243,prs_v_res_reg_soc_RE.csv,-3.8289***,NA,-0.0769,6.1061***,FALSE
AO,5,0.04358985018601349,-58.69544843536805,prs_v_res_soc_ecol_RE.csv,-7.0496,3.5132,NA,6.4204***,TRUE
AO,5,0.8216984774241752,-42.301460309047016,prs_v_res_reg_only_RE.csv,-0.0818°,NA,-0.0813,NA,FALSE
AO,5,0.9665409037663477,-53.760455288406234,prs_v_res_soc_only_RE.csv,-3.9441***,NA,NA,6.2530***,FALSE
AO,5,0.9998356280982285,-48.216171175347284,prs_v_res_ecol_only_RE.csv,-1.6362,1.7930,NA,NA,FALSE
AO,6,0.0072093673624947265,-50.684520430303365,prs_v_res_reg_ecol_RE.csv,-2.3663,2.6486,-0.1344,NA,FALSE
AO,6,0.011126852721595248,-70.92583432166388,prs_v_res_all_RE.csv,-30.8329*,30.7803°,-0.0916,7.1931***,FALSE
AO,6,0.04425103587619241,-63.49213809281457,prs_v_res_reg_soc_RE.csv,-4.7026***,NA,-0.0794,7.4757***,FALSE
AO,6,0.10366929002197524,-74.76755237987871,prs_v_res_soc_ecol_RE.csv,-29.7794*,29.3889°,NA,7.3676***,TRUE
AO,6,0.79282862495281,-47.85316345991962,prs_v_res_reg_only_RE.csv,-0.1170*,NA,-0.1117,NA,FALSE
AO,6,0.9492514586036349,-67.45140099429452,prs_v_res_soc_only_RE.csv,-4.8248***,NA,NA,7.6344***,FALSE
AO,6,0.9998351911172342,-53.88348334514306,prs_v_res_ecol_only_RE.csv,-2.1473,2.3409,NA,NA,FALSE
CPP,1,0.19129187569537712,-283.5080839913812,prs_v_res_reg_soc_RE.csv,-0.1421°,NA,0.0348,0.1511,FALSE
CPP,1,0.418644764704656,-163.66760895360028,prs_v_res_reg_only_RE.csv,-0.0125,NA,0.0256,NA,FALSE
CPP,1,0.9899212356996163,-289.1139940750119,prs_v_res_soc_only_RE.csv,-0.1168°,NA,NA,0.1297,TRUE
CPP,2,0.21387489885154537,-170.66241424336266,prs_v_res_reg_soc_RE.csv,-0.2746,NA,0.0821°,0.2862,FALSE
CPP,2,0.3221067310678208,-37.571285699022894,prs_v_res_reg_only_RE.csv,-0.0251,NA,0.0753,NA,FALSE
CPP,2,0.9895538094164111,-173.57983276275166,prs_v_res_soc_only_RE.csv,-0.1851,NA,NA,0.1959,TRUE
CPP,3,0.22501044480312465,-120.32164734947133,prs_v_res_reg_soc_RE.csv,-0.3864,NA,0.1267*,0.3924,FALSE
CPP,3,0.28965099929223964,32.89339763441893,prs_v_res_reg_only_RE.csv,-0.0360,NA,0.1182,NA,FALSE
CPP,3,0.9883817466641925,-121.5493910398653,prs_v_res_soc_only_RE.csv,-0.1433,NA,NA,0.1142,TRUE
CPP,4,0.2273246288713246,-95.79871380787435,prs_v_res_reg_soc_RE.csv,-0.5414°,NA,0.1750*,0.5488,TRUE
CPP,4,0.2798163407193415,47.55474857732355,prs_v_res_reg_only_RE.csv,-0.0614,NA,0.1537,NA,FALSE
CPP,4,0.9863345374680527,-95.31129756216879,prs_v_res_soc_only_RE.csv,-0.0334,NA,NA,-0.0628,FALSE
CPP,5,0.2104086733714865,-81.95069845907014,prs_v_res_reg_soc_RE.csv,-0.7189°,NA,0.2156**,0.7344,TRUE
CPP,5,0.30062880683772825,53.027200626764625,prs_v_res_reg_only_RE.csv,-0.0915,NA,0.1716,NA,FALSE
CPP,5,0.9864535587240691,-80.34779664276701,prs_v_res_soc_only_RE.csv,-0.1012,NA,NA,-0.0119,FALSE
CPP,6,0.16986151275048914,-79.38311256230162,prs_v_res_reg_soc_RE.csv,-0.9783*,NA,0.2608**,1.0225°,TRUE
CPP,6,0.3122718840423719,26.569770207130745,prs_v_res_reg_only_RE.csv,-0.1388°,NA,0.1962,NA,FALSE
CPP,6,0.9889065872780267,-76.18584231494454,prs_v_res_soc_only_RE.csv,-0.4725,NA,NA,0.4295,FALSE
CSS,1,0.19129187569537712,-283.5080839913812,prs_v_res_reg_soc_RE.csv,-0.1421°,NA,0.0348,0.1511,FALSE
CSS,1,0.418644764704656,-163.66760895360028,prs_v_res_reg_only_RE.csv,-0.0125,NA,0.0256,NA,FALSE
CSS,1,0.9899212356996163,-289.1139940750119,prs_v_res_soc_only_RE.csv,-0.1168°,NA,NA,0.1297,TRUE
CSS,2,0.21387489885154537,-170.66241424336266,prs_v_res_reg_soc_RE.csv,-0.2746,NA,0.0821°,0.2862,FALSE
CSS,2,0.3221067310678208,-37.571285699022894,prs_v_res_reg_only_RE.csv,-0.0251,NA,0.0753,NA,FALSE
CSS,2,0.9895538094164111,-173.57983276275166,prs_v_res_soc_only_RE.csv,-0.1851,NA,NA,0.1959,TRUE
CSS,3,0.22501044480312465,-120.32164734947133,prs_v_res_reg_soc_RE.csv,-0.3864,NA,0.1267*,0.3924,FALSE
CSS,3,0.28965099929223964,32.89339763441893,prs_v_res_reg_only_RE.csv,-0.0360,NA,0.1182,NA,FALSE
CSS,3,0.9883817466641925,-121.5493910398653,prs_v_res_soc_only_RE.csv,-0.1433,NA,NA,0.1142,TRUE
CSS,4,0.2273246288713246,-95.79871380787435,prs_v_res_reg_soc_RE.csv,-0.5414°,NA,0.1750*,0.5488,TRUE
CSS,4,0.2798163407193415,47.55474857732355,prs_v_res_reg_only_RE.csv,-0.0614,NA,0.1537,NA,FALSE
CSS,4,0.9863345374680527,-95.31129756216879,prs_v_res_soc_only_RE.csv,-0.0334,NA,NA,-0.0628,FALSE
CSS,5,0.2104086733714865,-81.95069845907014,prs_v_res_reg_soc_RE.csv,-0.7189°,NA,0.2156**,0.7344,TRUE
CSS,5,0.30062880683772825,53.027200626764625,prs_v_res_reg_only_RE.csv,-0.0915,NA,0.1716,NA,FALSE
CSS,5,0.9864535587240691,-80.34779664276701,prs_v_res_soc_only_RE.csv,-0.1012,NA,NA,-0.0119,FALSE
CSS,6,0.16986151275048914,-79.38311256230162,prs_v_res_reg_soc_RE.csv,-0.9783*,NA,0.2608**,1.0225°,TRUE
CSS,6,0.3122718840423719,26.569770207130745,prs_v_res_reg_only_RE.csv,-0.1388°,NA,0.1962,NA,FALSE
CSS,6,0.9889065872780267,-76.18584231494454,prs_v_res_soc_only_RE.csv,-0.4725,NA,NA,0.4295,FALSE
CW,1,0.42462763195398834,-421.71917966532,prs_v_res_reg_soc_RE.csv,-0.0314,NA,0.0236,0.0152,FALSE
CW,1,0.9858394941000541,-519.4168701738073,prs_v_res_reg_only_RE.csv,-0.0168,NA,0.0200,NA,TRUE
CW,1,0.9906029746260505,-428.37013680138045,prs_v_res_soc_only_RE.csv,-0.0129,NA,NA,0.0138,FALSE
CW,2,0.4423413423295193,-372.448916595039,prs_v_res_reg_soc_RE.csv,-0.0521,NA,0.0368,0.0266,FALSE
CW,2,0.9874269300972353,-459.3694619974991,prs_v_res_reg_only_RE.csv,-0.0268,NA,0.0310,NA,TRUE
CW,2,0.990946391081831,-378.114163984328,prs_v_res_soc_only_RE.csv,-0.0239,NA,NA,0.0246,FALSE
CW,3,0.3712765620450378,-339.33946008793475,prs_v_res_reg_soc_RE.csv,-0.0685,NA,0.0444,0.0390,FALSE
CW,3,0.9807598295220967,-418.6587917070609,prs_v_res_reg_only_RE.csv,-0.0326,NA,0.0372,NA,TRUE
CW,3,0.9909147862210452,-344.5648073903178,prs_v_res_soc_only_RE.csv,-0.0344,NA,NA,0.0360,FALSE
CW,4,0.3058992268597502,-326.99894873438507,prs_v_res_reg_soc_RE.csv,-0.0793,NA,0.0593,0.0378,FALSE
