nutr_pressure,rgn_id,Freq,year
0.0,1,1556,2010
1e-4,1,626,2010
2e-4,1,273,2010
3e-4,1,213,2010
4e-4,1,124,2010
5e-4,1,105,2010
6e-4,1,163,2010
7e-4,1,145,2010
8e-4,1,317,2010
9e-4,1,104,2010
0.001,1,44,2010
0.0011,1,40,2010
0.0012,1,51,2010
0.0013,1,37,2010
0.0014,1,49,2010
0.0015,1,35,2010
0.0016,1,51,2010
0.0017,1,28,2010
0.0018,1,7,2010
0.0019,1,8,2010
0.002,1,4,2010
0.0021,1,6,2010
0.0022,1,8,2010
0.0024,1,7,2010
0.0025,1,3,2010
0.0027,1,5,2010
0.0023,1,2,2010
0.0026,1,7,2010
0.0028,1,3,2010
0.0029,1,3,2010
0.003,1,2,2010
0.0031,1,2,2010
0.0032,1,4,2010
0.0033,1,2,2010
0.0034,1,1,2010
0.0035,1,4,2010
0.0036,1,2,2010
0.0038,1,4,2010
0.0039,1,2,2010
0.004,1,2,2010
0.0041,1,2,2010
0.0042,1,4,2010
0.0043,1,4,2010
0.0044,1,1,2010
0.0045,1,2,2010
0.0046,1,2,2010
0.0047,1,2,2010
0.0048,1,2,2010
0.0049,1,2,2010
0.005,1,4,2010
0.0051,1,3,2010
0.0052,1,1,2010
0.0053,1,4,2010
0.0054,1,2,2010
0.0056,1,1,2010
0.0057,1,2,2010
0.0058,1,4,2010
0.0059,1,2,2010
0.006,1,3,2010
0.0061,1,1,2010
0.0062,1,4,2010
0.0063,1,4,2010
0.0065,1,2,2010
0.0066,1,5,2010
0.0067,1,3,2010
0.0068,1,2,2010
0.0069,1,2,2010
0.0071,1,2,2010
0.0072,1,2,2010
0.0073,1,5,2010
0.0074,1,4,2010
0.0075,1,6,2010
0.0076,1,6,2010
0.0077,1,2,2010
0.0078,1,3,2010
0.0079,1,1,2010
0.008,1,4,2010
0.0082,1,5,2010
0.0083,1,4,2010
0.0084,1,6,2010
0.0085,1,3,2010
0.0086,1,1,2010
0.0087,1,5,2010
0.0088,1,4,2010
0.0089,1,2,2010
0.009,1,3,2010
0.0091,1,2,2010
0.0092,1,2,2010
0.0094,1,7,2010
0.0095,1,1,2010
0.0097,1,2,2010
0.0098,1,2,2010
0.0099,1,2,2010
0.01,1,3,2010
0.0101,1,3,2010
0.0102,1,1,2010
0.0103,1,4,2010
0.0104,1,2,2010
0.0105,1,1,2010
0.0106,1,1,2010
0.0107,1,1,2010
0.0108,1,3,2010
0.0109,1,1,2010
0.0111,1,3,2010
0.0112,1,2,2010
0.0113,1,1,2010
0.0114,1,5,2010
0.0115,1,3,2010
0.0118,1,1,2010
0.012,1,2,2010
0.0121,1,2,2010
0.0123,1,1,2010
0.0124,1,3,2010
0.0125,1,2,2010
0.0126,1,2,2010
0.0127,1,1,2010
0.0128,1,3,2010
0.013,1,1,2010
0.0131,1,2,2010
0.0133,1,1,2010
0.0135,1,2,2010
0.0136,1,1,2010
0.0137,1,2,2010
0.0138,1,2,2010
0.0139,1,1,2010
0.0141,1,4,2010
0.0142,1,2,2010
0.0144,1,3,2010
0.0145,1,1,2010
0.0146,1,1,2010
0.0147,1,4,2010
0.0148,1,1,2010
0.0149,1,3,2010
0.015,1,5,2010
0.0151,1,2,2010
0.0152,1,5,2010
0.0153,1,4,2010
0.0154,1,3,2010
0.0155,1,4,2010
0.0156,1,3,2010
NA,1,2382637,2010
0.0,2,1352,2010
1e-4,2,621,2010
2e-4,2,417,2010
3e-4,2,245,2010
4e-4,2,161,2010
5e-4,2,43,2010
6e-4,2,38,2010
7e-4,2,48,2010
8e-4,2,23,2010
NA,2,5027077,2010
NA,7,31588950,2010
0.0,3,1878,2010
1e-4,3,505,2010
2e-4,3,177,2010
3e-4,3,26,2010
4e-4,3,1,2010
NA,3,2641388,2010
0.0,8,25,2010
1e-4,8,13,2010
NA,8,368537,2010
0.0,4,3305,2010
1e-4,4,604,2010
2e-4,4,258,2010
3e-4,4,140,2010
4e-4,4,71,2010
5e-4,4,96,2010
6e-4,4,195,2010
7e-4,4,117,2010
8e-4,4,88,2010
9e-4,4,95,2010
0.001,4,93,2010
0.0011,4,50,2010
0.0012,4,22,2010
0.0013,4,25,2010
0.0014,4,26,2010
0.0015,4,14,2010
0.0016,4,16,2010
0.0017,4,19,2010
0.0018,4,12,2010
0.0019,4,37,2010
0.002,4,9,2010
0.0021,4,79,2010
0.0022,4,10,2010
0.0024,4,3,2010
0.0025,4,3,2010
0.0027,4,9,2010
0.0023,4,3,2010
0.0026,4,3,2010
0.0028,4,10,2010
0.0029,4,3,2010
0.003,4,1,2010
0.0031,4,3,2010
0.0032,4,17,2010
0.0033,4,5,2010
0.0034,4,4,2010
0.0035,4,2,2010
0.0036,4,9,2010
0.0038,4,15,2010
0.0039,4,11,2010
0.004,4,5,2010
0.0041,4,12,2010
0.0042,4,10,2010
0.0043,4,13,2010
0.0044,4,11,2010
0.0045,4,4,2010
0.0046,4,19,2010
0.0047,4,5,2010
0.0048,4,69,2010
0.0049,4,94,2010
0.0037,4,13,2010
NA,4,1975863,2010
0.0,6,6566,2010
1e-4,6,1711,2010
2e-4,6,1553,2010
3e-4,6,1250,2010
4e-4,6,641,2010
5e-4,6,447,2010
6e-4,6,434,2010
7e-4,6,466,2010
8e-4,6,303,2010
9e-4,6,189,2010
0.001,6,265,2010
0.0011,6,482,2010
0.0012,6,548,2010
0.0013,6,475,2010
0.0014,6,672,2010
0.0015,6,272,2010
0.0016,6,102,2010
0.0017,6,111,2010
0.0018,6,86,2010
0.0019,6,82,2010
0.002,6,104,2010
0.0021,6,75,2010
0.0022,6,115,2010
0.0024,6,62,2010
0.0025,6,90,2010
0.0027,6,98,2010
0.0023,6,103,2010
0.0026,6,86,2010
0.0028,6,83,2010
0.0029,6,62,2010
0.003,6,154,2010
0.0031,6,48,2010
0.0032,6,49,2010
0.0033,6,34,2010
0.0034,6,82,2010
0.0035,6,97,2010
0.0036,6,122,2010
0.0038,6,172,2010
0.0039,6,148,2010
0.004,6,211,2010
0.0041,6,243,2010
0.0042,6,117,2010
0.0043,6,220,2010
0.0044,6,144,2010
0.0045,6,15,2010
0.0046,6,19,2010
0.0047,6,19,2010
0.0048,6,16,2010
0.0049,6,8,2010
0.005,6,8,2010
0.0051,6,7,2010
0.0052,6,11,2010
0.0053,6,10,2010
0.0054,6,3,2010
0.0056,6,7,2010
0.0057,6,8,2010
0.0058,6,9,2010
0.0059,6,8,2010
0.006,6,20,2010
0.0061,6,7,2010
0.0062,6,7,2010
0.0063,6,5,2010
0.0065,6,8,2010
0.0066,6,1,2010
0.0067,6,8,2010
