year,district,dist_id,unempl_rate
2006,alberniclayoquot,5923,8
2006,capital,5917,4.3
2006,centralcoast,5945,18.8
2006,comoxvalley,5926,7.4
2006,strathcona,5924,7.4
2006,cowichanvalley,5919,6.4
2006,greatervancouver,5915,5.6
2006,kitimatstikine,5949,14.1
2006,mountwaddington,5943,10.9
2006,nanaimo,5921,7
2006,powellriver,5927,6.4
2006,skeenaqueencharlotte,5947,15
2006,squamishlillooet,5931,7
2006,sunshinecoast,5929,4.4
2001,alberniclayoquot,5923,13.8
2001,capital,5917,6.6
2001,centralcoast,5945,20
2001,comoxvalley,5926,12
2001,strathcona,5924,12
2001,cowichanvalley,5919,9.7
2001,kitimatstikine,5949,17.1
2001,nanaimo,5921,11.2
2001,powellriver,5927,8.6
2001,skeenaqueencharlotte,5947,16.4
2001,squamishlillooet,5931,7.9
2001,sunshinecoast,5929,7.2
2001,greatervancouver,5915,7.2
2001,mountwaddington,5943,10.7
2011,greatervancouver,5915,7.1
2011,capital,5917,6
2011,cowichanvalley,5919,7.8
2011,nanaimo,5921,8.9
2011,alberniclayoquot,5923,10
2011,strathcona,5924,9.6
2011,comoxvalley,5926,8.9
2011,powellriver,5927,8.4
2011,sunshinecoast,5929,7.2
2011,squamishlillooet,5931,10.3
2011,mountwaddington,5943,10.3
2011,centralcoast,5945,12
2011,skeenaqueencharlotte,5947,14.2
2011,kitimatstikine,5949,12.9
