csd_id,type,name,year,ohibc_pop,fn,rgn_id
5909014,RDA,Fraser Valley A,1996,1,FALSE,6
5909016,RDA,Fraser Valley B,1996,12,FALSE,6
5909020,C,Chilliwack,1996,60186,FALSE,6
5909027,VL,Harrison Hot Springs,1996,898,FALSE,6
5909032,DM,Kent,1996,4823,FALSE,6
5909034,RDA,Fraser Valley D,1996,786,FALSE,6
5909036,RDA,Fraser Valley E,1996,3283,FALSE,6
5909048,RDA,Fraser Valley C,1996,771,FALSE,6
5909052,C,Abbotsford,1996,105403,FALSE,6
5909056,DM,Mission,1996,30519,FALSE,6
5909060,RDA,Fraser Valley F,1996,1410,FALSE,6
5909062,RDA,Fraser Valley G,1996,1700,FALSE,6
5909064,RDA,Fraser Valley H,1996,356,FALSE,6
5909807,R,Ohamil 1,1996,64,TRUE,6
5909821,R,Kwawkwawapilt 6,1996,358,TRUE,6
5909822,R,Skowkale 10,1996,146,TRUE,6
5909823,R,Skowkale 11,1996,18,TRUE,6
5909824,R,Skwah 4,1996,219,TRUE,6
5909825,R,Skwali 3,1996,0,TRUE,6
5909826,R,Skway 5,1996,49,TRUE,6
5909827,R,Soowahlie 14,1996,191,TRUE,6
5909828,R,Squiaala 7,1996,73,TRUE,6
5909829,R,Squiaala 8,1996,8,TRUE,6
5909830,R,Tzeachten 13,1996,575,TRUE,6
5909831,R,Yakweakwioose 12,1996,40,TRUE,6
5909832,R,Seabird Island,1996,496,TRUE,6
5909833,R,Scowlitz 1,1996,15,TRUE,6
5909834,R,Tseatah 2,1996,9,TRUE,6
5909835,R,Aitchelitch 9,1996,22,TRUE,6
5909837,R,Cheam 1,1996,164,TRUE,6
5909838,R,Schelowat 1,1996,5,TRUE,6
5909839,R,Chehalis 5,1996,476,TRUE,6
5909842,R,Douglas 8,1996,10,TRUE,6
5909843,R,Peters 1,1996,44,TRUE,6
5909844,R,Popkum 1,1996,0,TRUE,6
5909845,R,Skookumchuck 4,1996,44,TRUE,6
5909846,R,Franks 10,1996,0,TRUE,6
5909848,R,Tipella 7,1996,5,TRUE,6
5909849,R,Skwahla 2,1996,9,TRUE,6
5909852,R,Baptiste Smith 1A,1996,0,TRUE,6
5909855,R,Sachteen 2,1996,3,TRUE,6
5909860,R,Sachteen 2A,1996,0,TRUE,6
5909865,R,Samahquam 1,1996,0,TRUE,6
5909875,R,Baptiste Smith 1B,1996,51,TRUE,6
5909877,R,Upper Sumas 6,1996,136,TRUE,6
5909878,R,Matsqui Main 2,1996,66,TRUE,6
5909879,R,Holachten 8,1996,283,TRUE,6
5909880,R,Lakahahmen 11,1996,206,TRUE,6
5909881,R,Skweahm 10,1996,89,TRUE,6
5909882,R,Squawkum Creek 3,1996,65,TRUE,6
5915001,DM,Langley,1996,80179,FALSE,6
5915002,C,Langley,1996,22523,FALSE,6
5915004,C,Surrey,1996,304477,FALSE,6
5915007,C,White Rock,1996,17210,FALSE,6
5915011,DM,Delta,1996,95410,FALSE,6
5915015,C,Richmond,1996,148867,FALSE,6
5915020,RDA,Greater Vancouver A,1996,7096,FALSE,6
5915022,C,Vancouver,1996,514008,FALSE,6
5915025,C,Burnaby,1996,179209,FALSE,6
5915029,C,New Westminster,1996,49350,FALSE,6
5915034,C,Coquitlam,1996,101820,FALSE,6
5915036,VL,Belcarra,1996,665,FALSE,6
5915038,VL,Anmore,1996,961,FALSE,6
5915039,C,Port Coquitlam,1996,46682,FALSE,6
5915043,C,Port Moody,1996,20847,FALSE,6
5915046,DM,North Vancouver,1996,80418,FALSE,6
5915051,C,North Vancouver,1996,41475,FALSE,6
5915055,DM,West Vancouver,1996,40882,FALSE,6
5915062,IM,Bowen Island,1996,2738,FALSE,6
