csd_id,csd_name,year,area_sq_km,population,unemp_rate,med_income
5901003,Elkford (DM),2006,101.59489,2463,4,74707
5901006,Sparwood (DM),2006,177.87665,3618,5.4,65139
5901012,Fernie (CY),2006,16.04633,4217,5.8,48082
5901017,East Kootenay A (RDA),2006,4661.90564,1873,2.2,60217
5901019,East Kootenay B (RDA),2006,2858.41742,1819,8.1,48766
5901022,Cranbrook (CY),2006,25.15898,18267,5.3,46862
5901028,Kimberley (CY),2006,58.9888,6139,6.8,43252
5901035,East Kootenay C (RDA),2006,4554.89583,5866,4.3,62452
5901037,East Kootenay E (RDA),2006,4298.82978,1731,9.2,57720
5901039,Invermere (DM),2006,11.18155,3002,3.2,55209
5901040,Radium Hot Springs (VL),2006,6.31402,735,3.8,63574
5901043,Canal Flats (VL),2006,14.74353,700,6.9,53967
5901046,East Kootenay F (RDA),2006,6172.07026,2939,2.9,53069
5901048,East Kootenay G (RDA),2006,4701.06611,1563,4.2,59487
5901801,Tobacco Plains 2 (IRI),2006,41.70598,67,33.3,0
5901802,Isidore's Ranch 4 (IRI),2006,2.75069,0,NA,NA
5901803,Kootenay 1 (IRI),2006,77.02075,159,22.2,0
5901804,Columbia Lake 3 (IRI),2006,35.77899,153,16.7,0
5901805,Cassimayooks (Mayook) 5 (IRI),2006,0.64965,5,NA,NA
5901806,Shuswap (IRI),2006,10.95819,169,8.7,0
5901807,Bummers Flat 6 (IRI),2006,0.79992,0,NA,NA
5903004,Creston (T),2006,8.48483,4826,6,37064
5903010,Central Kootenay A (RDA),2006,1923.67873,2041,14,35069
5903011,Salmo (VL),2006,2.41925,1007,13.6,31198
5903013,Central Kootenay B (RDA),2006,1622.02891,4575,5.9,38598
5903015,Nelson (CY),2006,16.13422,9258,5,43214
5903017,Central Kootenay C (RDA),2006,784.5165,1284,14.1,47371
5903019,Slocan (VL),2006,0.91778,314,22.9,43946
5903023,Kaslo (VL),2006,3.03394,1072,8.4,38786
5903027,Silverton (VL),2006,0.85942,185,0,0
5903032,New Denver (VL),2006,2.11539,512,10.5,24188
5903039,Central Kootenay D (RDA),2006,5981.10811,1525,12.3,37036
5903041,Central Kootenay E (RDA),2006,882.73751,3716,4.9,44143
