sgc,name,year,ohibc_pop,fn,rgn_id
5909014,Fraser Valley A,1996,1,FALSE,6
5909016,Fraser Valley B,1996,12,FALSE,6
5909020,Chilliwack,1996,60186,FALSE,6
5909027,Harrison Hot Springs,1996,898,FALSE,6
5909032,Kent,1996,4823,FALSE,6
5909034,Fraser Valley D,1996,786,FALSE,6
5909036,Fraser Valley E,1996,3283,FALSE,6
5909048,Fraser Valley C,1996,771,FALSE,6
5909052,Abbotsford,1996,105403,FALSE,6
5909056,Mission,1996,30519,FALSE,6
5909060,Fraser Valley F,1996,1410,FALSE,6
5909062,Fraser Valley G,1996,1700,FALSE,6
5909064,Fraser Valley H,1996,356,FALSE,6
5909807,Ohamil 1,1996,64,FALSE,6
5909821,Kwawkwawapilt 6,1996,358,FALSE,6
5909822,Skowkale 10,1996,146,FALSE,6
5909823,Skowkale 11,1996,18,FALSE,6
5909824,Skwah 4,1996,219,FALSE,6
5909825,Skwali 3,1996,0,FALSE,6
5909826,Skway 5,1996,49,FALSE,6
5909827,Soowahlie 14,1996,191,FALSE,6
5909828,Squiaala 7,1996,73,FALSE,6
5909829,Squiaala 8,1996,8,FALSE,6
5909830,Tzeachten 13,1996,575,FALSE,6
5909831,Yakweakwioose 12,1996,40,FALSE,6
5909832,Seabird Island,1996,496,FALSE,6
5909833,Scowlitz 1,1996,15,FALSE,6
5909834,Tseatah 2,1996,9,FALSE,6
5909835,Aitchelitch 9,1996,22,FALSE,6
5909837,Cheam 1,1996,164,FALSE,6
5909838,Schelowat 1,1996,5,FALSE,6
5909839,Chehalis 5,1996,476,FALSE,6
5909842,Douglas 8,1996,10,FALSE,6
5909843,Peters 1,1996,44,FALSE,6
5909844,Popkum 1,1996,0,FALSE,6
5909845,Skookumchuck 4,1996,44,FALSE,6
5909846,Franks 10,1996,0,FALSE,6
5909848,Tipella 7,1996,5,FALSE,6
5909849,Skwahla 2,1996,9,FALSE,6
5909852,Baptiste Smith 1A,1996,0,FALSE,6
5909855,Sachteen 2,1996,3,FALSE,6
5909860,Sachteen 2A,1996,0,FALSE,6
5909865,Samahquam 1,1996,0,FALSE,6
5909875,Baptiste Smith 1B,1996,51,FALSE,6
5909877,Upper Sumas 6,1996,136,FALSE,6
5909878,Matsqui Main 2,1996,66,FALSE,6
5909879,Holachten 8,1996,283,FALSE,6
5909880,Lakahahmen 11,1996,206,FALSE,6
5909881,Skweahm 10,1996,89,FALSE,6
5909882,Squawkum Creek 3,1996,65,FALSE,6
5915001,Langley,1996,80179,FALSE,6
5915002,Langley,1996,22523,FALSE,6
5915004,Surrey,1996,304477,FALSE,6
5915007,White Rock,1996,17210,FALSE,6
5915011,Delta,1996,95410,FALSE,6
5915015,Richmond,1996,148867,FALSE,6
5915020,Greater Vancouver A,1996,7096,FALSE,6
5915022,Vancouver,1996,514008,FALSE,6
5915025,Burnaby,1996,179209,FALSE,6
5915029,New Westminster,1996,49350,FALSE,6
5915034,Coquitlam,1996,101820,FALSE,6
5915036,Belcarra,1996,665,FALSE,6
5915038,Anmore,1996,961,FALSE,6
5915039,Port Coquitlam,1996,46682,FALSE,6
5915043,Port Moody,1996,20847,FALSE,6
5915046,North Vancouver,1996,80418,FALSE,6
5915051,North Vancouver,1996,41475,FALSE,6
5915055,West Vancouver,1996,40882,FALSE,6
5915062,Bowen Island,1996,2738,FALSE,6
5915065,Lions Bay,1996,1412,FALSE,6
5915070,Pitt Meadows,1996,13436,FALSE,6
5915075,Maple Ridge,1996,56173,FALSE,6
5915801,Semiahmoo,1996,200,FALSE,6
5915802,Tsawwassen,1996,512,FALSE,6
5915803,Musqueam 2,1996,1392,FALSE,6
5915806,Burrard Inlet 3,1996,462,FALSE,6
5915807,Mission 1,1996,321,FALSE,6
5915808,Capilano 5,1996,2141,FALSE,6
5915809,Barnston Island 3,1996,37,FALSE,6
5915810,Musqueam 4,1996,7,FALSE,6
5915811,Seymour Creek 2,1996,33,FALSE,6
5915813,Katzie 2,1996,29,FALSE,6
5915816,McMillan Island 6,1996,62,FALSE,6
5915825,Matsqui 4,1996,443,FALSE,6
5915830,Katzie 1,1996,176,FALSE,6
5915835,Langley 5,1996,3,FALSE,6
5915840,Whonnock 1,1996,8,FALSE,6
5917005,North Saanich,1996,10411,FALSE,6
5917010,Sidney,1996,10701,FALSE,6
5917015,Central Saanich,1996,1202,FALSE,5
5917015,Central Saanich,1996,13409,FALSE,6
5917021,Saanich,1996,87448,FALSE,5
5917021,Saanich,1996,13940,FALSE,6
5917027,Capital F,1996,9249,FALSE,6
5917029,Capital G,1996,18,FALSE,5
5917029,Capital G,1996,4138,FALSE,6
5917030,Oak Bay,1996,17865,FALSE,5
5917034,Victoria,1996,73504,FALSE,5
5917040,Esquimalt,1996,16151,FALSE,5
5917041,Colwood,1996,13848,FALSE,5
5917042,Metchosin,1996,4709,FALSE,5
5917044,Langford,1996,12621,FALSE,5
5917044,Langford,1996,4894,FALSE,6
5917047,View Royal,1996,6413,FALSE,5
5917047,View Royal,1996,28,FALSE,6
5917049,Highlands,1996,93,FALSE,5
5917049,Highlands,1996,1330,FALSE,6
5917052,Sooke,1996,8436,FALSE,5
5917054,Capital H (Part 1),1996,2615,FALSE,5
5917054,Capital H (Part 1),1996,953,FALSE,6
5917056,Capital H (Part 2),1996,201,FALSE,5
5917056,Capital H (Part 2),1996,6,FALSE,6
5917801,Cole Bay 3,1996,256,FALSE,6
5917803,East Saanich 2,1996,1470,FALSE,6
5917805,Galiano Island 9,1996,2,FALSE,6
5917806,Mayne Island 6,1996,0,FALSE,6
5917809,Becher Bay 1,1996,93,FALSE,5
5917812,New Songhees 1A,1996,1774,FALSE,5
5917815,Gordon River 2,1996,88,FALSE,5
5917816,Pacheena 1,1996,0,FALSE,5
5917817,T'Sou-ke 1 (Sooke 1),1996,81,FALSE,5
5917818,T'Sou-ke 2 (Sooke 2),1996,42,FALSE,5
5919008,North Cowichan,1996,25305,FALSE,6
5919012,Duncan,1996,4588,FALSE,6
5919013,Cowichan Valley D,1996,2721,FALSE,6
5919015,Cowichan Valley G,1996,2429,FALSE,6
5919016,Lake Cowichan,1996,2858,FALSE,6
5919017,Cowichan Valley H,1996,2357,FALSE,6
5919021,Ladysmith,1996,6456,FALSE,6
5919033,Cowichan Valley F,1996,1125,FALSE,5
5919033,Cowichan Valley F,1996,637,FALSE,6
5919035,Cowichan Valley I,1996,444,FALSE,5
5919035,Cowichan Valley I,1996,982,FALSE,6
5919043,Cowichan Valley A,1996,3259,FALSE,6
5919046,Cowichan Valley B,1996,383,FALSE,5
5919046,Cowichan Valley B,1996,6208,FALSE,6
5919049,Cowichan Valley C,1996,4287,FALSE,6
5919051,Cowichan Valley E,1996,3828,FALSE,6
5919801,Halalt 2,1996,132,FALSE,6
5919802,Squaw-hay-one 11,1996,42,FALSE,6
5919803,Tsussie 6,1996,86,FALSE,6
5919804,Chemainus 13,1996,557,FALSE,6
5919805,Claoose 4,1996,0,FALSE,5
5919806,Cowichan 9,1996,26,FALSE,6
5919807,Cowichan 1,1996,1691,FALSE,6
5919808,Kil-pah-las 3,1996,6,FALSE,6
5919809,Kuper Island 7,1996,185,FALSE,6
5919810,Lyacksun 3,1996,0,FALSE,6
5919811,Shingle Point 4,1996,1,FALSE,6
5919812,Cowichan Lake,1996,13,FALSE,6
5919814,Malachan 11,1996,163,FALSE,5
5919815,Malahat 11,1996,99,FALSE,6
5919816,Oyster Bay 12,1996,69,FALSE,6
5919817,Portier Pass 5,1996,2,FALSE,6
5919818,Theik 2,1996,39,FALSE,6
5919819,Wyah 3,1996,0,FALSE,5
5921007,Nanaimo,1996,70130,FALSE,6
5921010,Nanaimo A,1996,6252,FALSE,6
5921014,Nanaimo B,1996,3479,FALSE,6
5921016,Nanaimo C,1996,17,FALSE,5
5921016,Nanaimo C,1996,957,FALSE,6
5921018,Parksville,1996,9472,FALSE,6
5921020,Nanaimo D,1996,4717,FALSE,6
5921023,Qualicum Beach,1996,6734,FALSE,6
5921030,Nanaimo E,1996,4677,FALSE,6
5921032,Nanaimo F,1996,8,FALSE,5
5921032,Nanaimo F,1996,5280,FALSE,6
5921034,Nanaimo G,1996,6423,FALSE,6
5921036,Nanaimo H,1996,163,FALSE,5
5921036,Nanaimo H,1996,2788,FALSE,6
5921801,Nanaimo River 3,1996,41,FALSE,6
5921802,Nanaimo River 2,1996,20,FALSE,6
