year,dist_id,pop_total,dist_name
2015,5909,310138,Fraser Valley
2015,5915,2583021,Greater Vancouver
2015,5917,383983,Capital
2015,5919,90991,Cowichan Valley
2015,5921,157728,Nanaimo
2015,5923,32299,Alberni-Clayoquot
2015,5924,46778,Strathcona
2015,5926,67858,Comox Valley
2015,5927,21459,Powell River
2015,5929,30807,Sunshine Coast
2015,5931,43552,Squamish-Lillooet
2015,5933,147012,Thompson-Nicola
2015,5941,69723,Cariboo
2015,5943,11753,Mount Waddington
2015,5945,4167,Central Coast
2015,5947,19114,Skeena-Queen Charlotte
2015,5949,37403,Kitimat-Stikine
2015,5951,45606,Bulkley-Nechako
