goal,element,po_water,hd_mpa_coast,hd_mpa_eez,hd_trawl_reduction,aq_regulation,fp_mpa_coast,fp_mpa_eez,fp_trawl_reduction,fp_biomass_removal,species_diversity_3nm,species_diversity_eez,cwbi_all,cwbi_fn,mapp_resilience
AO,shellfish_closures,,x,,x,x,x,,x,x,,,,,
AO,salmon,,x,,x,x,x,,x,x,,,,,
AO,fn_licenses,,x,,x,,x,,x,x,,,,,
AO,herring_spawn,,x,,x,x,x,,x,x,,,,,
CPP,coastal_forest,,x,,x,,,,,,,,,,
CPP,saltmarsh,x,x,,x,x,,,,,,,,,
CSS,coastal_forest,,x,,x,,,,,,,,,,
CSS,saltmarsh,x,x,,x,x,,,,,,,,,
CW,,x,,,,x,,,,,,,,,
FIS,,,,x,x,,,x,x,x,,,,,
HAB,saltmarsh,x,x,,x,x,,,,,,,,,
HAB,ebsa,x,,x,x,x,,x,x,x,,,,,
HAB,soft_bottom,x,,x,x,x,,x,x,x,,,,,
ICO,,x,,x,x,x,,x,x,x,,,,,
SPP,,x,,x,x,x,,x,x,x,,,,,
LVF,,,,,,,,,,,,,,,
LVO,,,,,,,,,,,,,,,
LSP,,x,,,x,,,,,,,,,,
MAR,,x,,,,x,,,,,,,,,
SAL,,,,x,x,x,,x,x,x,,,,,
TR,,x,,,,,,,,,,,,,
