goal,element,hd_mpa_coast,hd_mpa_eez,aq_regulation,fp_mpa_coast,fp_mpa_eez,fp_biomass_removal,species_diversity_3nm,species_diversity_eez,cwbi_all,cwbi_fn,mapp_resilience
AO,shellfish_closures,,,,,,,,,,x,x
AO,salmon,,,,,,,,,,x,x
AO,fn_licenses,,,,,,,,,,x,x
AO,herring_spawn,,,,,,,,,,x,x
CPP,coastal_forest,,,,,,,,,x,,x
CPP,saltmarsh,,,,,,,,,x,,x
CSS,coastal_forest,,,,,,,,,x,,x
CSS,saltmarsh,,,,,,,,,x,,x
CW,,,,,,,,,,x,,x
FIS,,,,,,,,,,x,,x
HAB,saltmarsh,,,,,,,,,x,,x
HAB,ebsa,,,,,,,,,x,,x
HAB,soft_bottom,,,,,,,,,x,,x
ICO,,,,,,,,,,x,,x
SPP,,,,,,,,,,x,,x
LVF,,,,,,,,,,,x,x
LVO,,,,,,,,,,x,,x
LSP,,,,,,,,,,x,,x
MAR,,,,,,,,,,x,,x
SAL,,,,,,,,,,x,,x
TR,,,,,,,,,,x,,x
