layer_name,year
ao_closures,2009
ao_closures,2010
ao_closures,2011
ao_closures,2012
ao_closures,2013
ao_closures,2014
ao_closures,2015
ao_licenses,1995
ao_licenses,1996
ao_licenses,1997
ao_licenses,1998
ao_licenses,1999
ao_licenses,2e3
ao_licenses,2001
ao_licenses,2002
ao_licenses,2003
ao_licenses,2004
ao_licenses,2005
ao_licenses,2006
ao_licenses,2007
ao_licenses,2008
ao_licenses,2009
ao_licenses,2010
ao_licenses,2011
ao_licenses,2012
ao_licenses,2013
ao_licenses,2014
ao_licenses,2015
ao_licenses,2016
ao_salmon,2009
ao_salmon,2010
ao_salmon,2011
ao_salmon,2012
ao_salmon,2013
ao_salmon,2014
ao_salmon,2015
ao_spawn_hab_index,1940
ao_spawn_hab_index,1941
ao_spawn_hab_index,1942
ao_spawn_hab_index,1943
ao_spawn_hab_index,1944
ao_spawn_hab_index,1945
ao_spawn_hab_index,1946
ao_spawn_hab_index,1947
ao_spawn_hab_index,1948
ao_spawn_hab_index,1949
ao_spawn_hab_index,1950
ao_spawn_hab_index,1951
ao_spawn_hab_index,1952
ao_spawn_hab_index,1953
ao_spawn_hab_index,1954
ao_spawn_hab_index,1955
ao_spawn_hab_index,1956
ao_spawn_hab_index,1957
ao_spawn_hab_index,1958
ao_spawn_hab_index,1959
ao_spawn_hab_index,1960
ao_spawn_hab_index,1961
ao_spawn_hab_index,1962
ao_spawn_hab_index,1963
ao_spawn_hab_index,1964
ao_spawn_hab_index,1965
ao_spawn_hab_index,1966
ao_spawn_hab_index,1967
ao_spawn_hab_index,1968
ao_spawn_hab_index,1969
ao_spawn_hab_index,1970
ao_spawn_hab_index,1971
ao_spawn_hab_index,1972
ao_spawn_hab_index,1973
ao_spawn_hab_index,1974
ao_spawn_hab_index,1975
ao_spawn_hab_index,1976
ao_spawn_hab_index,1977
ao_spawn_hab_index,1978
ao_spawn_hab_index,1979
ao_spawn_hab_index,1980
ao_spawn_hab_index,1981
ao_spawn_hab_index,1982
ao_spawn_hab_index,1983
ao_spawn_hab_index,1984
ao_spawn_hab_index,1985
ao_spawn_hab_index,1986
ao_spawn_hab_index,1987
ao_spawn_hab_index,1988
ao_spawn_hab_index,1989
ao_spawn_hab_index,1990
ao_spawn_hab_index,1991
ao_spawn_hab_index,1992
ao_spawn_hab_index,1993
ao_spawn_hab_index,1994
ao_spawn_hab_index,1995
ao_spawn_hab_index,1996
ao_spawn_hab_index,1997
ao_spawn_hab_index,1998
ao_spawn_hab_index,1999
ao_spawn_hab_index,2e3
ao_spawn_hab_index,2001
ao_spawn_hab_index,2002
ao_spawn_hab_index,2003
ao_spawn_hab_index,2004
ao_spawn_hab_index,2005
ao_spawn_hab_index,2006
ao_spawn_hab_index,2007
ao_spawn_hab_index,2008
ao_spawn_hab_index,2009
ao_spawn_hab_index,2010
ao_spawn_hab_index,2011
ao_spawn_hab_index,2012
ao_spawn_hab_index,2013
ao_spawn_hab_index,2014
ao_spawn_hab_index,2015
ao_spawn_hab_index,2016
aq_benthic,2011
aq_benthic,2012
aq_benthic,2013
aq_benthic,2014
aq_benthic,2015
aq_benthic,2016
aq_incidental,2011
aq_incidental,2012
aq_incidental,2013
aq_incidental,2014
aq_incidental,2015
aq_incidental,2016
aq_mammals,2011
aq_mammals,2012
aq_mammals,2013
aq_mammals,2014
aq_mammals,2015
aq_mammals,2016
aq_regulation,2011
aq_regulation,2012
aq_regulation,2013
aq_regulation,2014
aq_regulation,2015
aq_regulation,2016
cc_acid,2e3
cc_acid,2001
cc_acid,2002
cc_acid,2003
cc_acid,2004
cc_acid,2005
cc_acid,2006
cc_acid,2007
cc_acid,2008
cc_acid,2009
cc_acid,2010
cc_acid,2011
cc_acid,2012
cc_acid,2013
cc_acid,2014
