goal_name,status_year,data_year
SP,ohibc2005,2005
SP,ohibc2006,2006
SP,ohibc2007,2007
SP,ohibc2008,2008
SP,ohibc2009,2009
SP,ohibc2010,2010
SP,ohibc2011,2011
SP,ohibc2012,2012
SP,ohibc2013,2013
SP,ohibc2014,2014
SP,ohibc2015,2015
SP,ohibc2016,2016
ICO,ohibc2005,2005
ICO,ohibc2006,2006
ICO,ohibc2007,2007
ICO,ohibc2008,2008
ICO,ohibc2009,2009
ICO,ohibc2010,2010
ICO,ohibc2011,2011
ICO,ohibc2012,2012
ICO,ohibc2013,2013
ICO,ohibc2014,2014
ICO,ohibc2015,2015
ICO,ohibc2016,2016
LSP,ohibc2005,2005
LSP,ohibc2006,2006
LSP,ohibc2007,2007
LSP,ohibc2008,2008
LSP,ohibc2009,2009
LSP,ohibc2010,2010
LSP,ohibc2011,2011
LSP,ohibc2012,2012
LSP,ohibc2013,2013
LSP,ohibc2014,2014
LSP,ohibc2015,2015
LSP,ohibc2016,2016
AO,ohibc2005,2005
AO,ohibc2006,2006
AO,ohibc2007,2007
AO,ohibc2008,2008
AO,ohibc2009,2009
AO,ohibc2010,2010
AO,ohibc2011,2011
AO,ohibc2012,2012
AO,ohibc2013,2013
AO,ohibc2014,2014
AO,ohibc2015,2015
AO,ohibc2016,2016
CS,ohibc2005,2005
CS,ohibc2006,2006
CS,ohibc2007,2007
CS,ohibc2008,2008
CS,ohibc2009,2009
CS,ohibc2010,2010
CS,ohibc2011,2011
CS,ohibc2012,2012
CS,ohibc2013,2013
CS,ohibc2014,2014
CS,ohibc2015,2015
CS,ohibc2016,2016
CP,ohibc2005,2005
CP,ohibc2006,2006
CP,ohibc2007,2007
CP,ohibc2008,2008
CP,ohibc2009,2009
CP,ohibc2010,2010
CP,ohibc2011,2011
CP,ohibc2012,2012
CP,ohibc2013,2013
CP,ohibc2014,2014
CP,ohibc2015,2015
CP,ohibc2016,2016
TR,ohibc2005,2005
TR,ohibc2006,2006
TR,ohibc2007,2007
TR,ohibc2008,2008
TR,ohibc2009,2009
TR,ohibc2010,2010
TR,ohibc2011,2011
TR,ohibc2012,2012
TR,ohibc2013,2013
TR,ohibc2014,2014
TR,ohibc2015,2015
TR,ohibc2016,2016
CW,ohibc2005,2005
CW,ohibc2006,2006
CW,ohibc2007,2007
CW,ohibc2008,2008
CW,ohibc2009,2009
CW,ohibc2010,2010
CW,ohibc2011,2011
CW,ohibc2012,2012
CW,ohibc2013,2013
CW,ohibc2014,2014
CW,ohibc2015,2015
CW,ohibc2016,2016
BD,ohibc2005,2005
BD,ohibc2006,2006
BD,ohibc2007,2007
BD,ohibc2008,2008
BD,ohibc2009,2009
BD,ohibc2010,2010
BD,ohibc2011,2011
BD,ohibc2012,2012
BD,ohibc2013,2013
BD,ohibc2014,2014
BD,ohibc2015,2015
BD,ohibc2016,2016
HAB,ohibc2005,2005
HAB,ohibc2006,2006
HAB,ohibc2007,2007
HAB,ohibc2008,2008
HAB,ohibc2009,2009
HAB,ohibc2010,2010
HAB,ohibc2011,2011
HAB,ohibc2012,2012
HAB,ohibc2013,2013
HAB,ohibc2014,2014
HAB,ohibc2015,2015
HAB,ohibc2016,2016
SPP,ohibc2005,2005
SPP,ohibc2006,2006
SPP,ohibc2007,2007
SPP,ohibc2008,2008
SPP,ohibc2009,2009
SPP,ohibc2010,2010
SPP,ohibc2011,2011
SPP,ohibc2012,2012
SPP,ohibc2013,2013
SPP,ohibc2014,2014
SPP,ohibc2015,2015
SPP,ohibc2016,2016
FIS,ohibc2005,2005
FIS,ohibc2006,2006
FIS,ohibc2007,2007
FIS,ohibc2008,2008
FIS,ohibc2009,2009
FIS,ohibc2010,2010
FIS,ohibc2011,2011
FIS,ohibc2012,2012
FIS,ohibc2013,2013
FIS,ohibc2014,2014
FIS,ohibc2015,2015
FIS,ohibc2016,2016
LIV,ohibc2005,2005
LIV,ohibc2006,2006
LIV,ohibc2007,2007
LIV,ohibc2008,2008
LIV,ohibc2009,2009
LIV,ohibc2010,2010
LIV,ohibc2011,2011
LIV,ohibc2012,2012
LIV,ohibc2013,2013
LIV,ohibc2014,2014
LIV,ohibc2015,2015
LIV,ohibc2016,2016
