goal,element,element_name,po_chemicals,po_chemicals_3nm,po_pathogens,po_nutrients,po_nutrients_3nm,po_trash,sp_alien,sp_genetic,sp_hatcheries,hd_subtidal_sb,hd_subtidal_hb,hd_intertidal,hd_logging,hd_mining,fp_com_hb,fp_com_lb,fp_art_lb,fp_art_hb,fp_targetharvest,cc_sst,cc_acid,cc_uv,cc_slr,ss_wgi,ss_cwbi
AO,shellfish,,,2,1,,3,,,,,,,,,,,,,,,2,3,,1,1,1
AO,salmon,,1,,,1,,,2,2,2,2,,1,,,3,1,1,2,,1,,,,1,1
AO,licenses,,1,,,1,,,1,1,,2,,1,,,3,1,1,2,,1,,,,1,1
AO,herring_spawn,,,2,1,,3,,,,,,,,,,3,,,,,2,,,1,1,1
CP,coastal_forest,,,,,,,,,,,,,1,2,1,,,,,,,,,1,1,1
CP,saltmarsh,,,1,,,2,,1,,,,,3,2,1,,,,,,,,,3,1,1
CS,coastal_forest,,,1,,,1,,,,,,,3,2,1,,,,,,,,,1,1,1
CS,saltmarsh,,,1,,,2,,1,,,,,3,2,1,,,,,,,,,2,1,1
CW,,,,3,3,,3,3,,,,,,,1,1,,,,,,,,,,1,1
ECO,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
FIS,,,1,,,1,,,1,1,,2,,1,,,3,1,1,2,,1,,,,1,1
HAB,saltmarsh,,,1,,,2,,1,,,,,3,2,1,,,,,,,,,2,1,1
HAB,soft_bottom,,,2,,,2,,1,,,3,,,,1,3,1,1,,,,,,,1,1
HAB,ebsa,,,2,,,2,,1,,,3,,,,,,,,,,,,,,1,1
ICO,,,,3,,,1,1,1,,,,,3,,,2,,,2,2,1,1,,,1,1
LSP,,,,2,,,2,3,1,,,,,3,1,1,,,,,,,,,1,1,1
MAR,,,,2,1,,3,,,,,,,,,,,,,,,2,3,,1,1,1
SPP,,,2,,,3,,1,1,1,,3,,2,,,3,1,1,2,1,1,1,1,,1,1
TR,,,,3,3,,3,3,,,,,,,1,1,,,,,,,,,2,1,1
