goal,element,hd_mpa_coast,hd_mpa_eez,hd_trawl_reduction,aq_regulation,fp_mpa_coast,fp_mpa_eez,fp_biomass_removal,species_diversity_3nm,species_diversity_eez,cwbi_all,cwbi_fn,mapp_resilience
AO,shellfish_closures,,,,,,,,x,,,,
AO,salmon,,,,,,,,x,,,,
AO,fn_licenses,,,,,,,,x,,,,
AO,herring_spawn,,,,,,,,x,,,,
CPP,coastal_forest,,,,,,,,,,,,
CPP,saltmarsh,,,,,,,,,,,,
CSS,coastal_forest,,,,,,,,,,,,
CSS,saltmarsh,,,,,,,,,,,,
CW,,,,,,,,,,,,,
FIS,,,,,,,,,,x,,,
HAB,saltmarsh,,,,,,,,x,,,,
HAB,ebsa,,,,,,,,,x,,,
HAB,soft_bottom,,,,,,,,,x,,,
ICO,,,,,,,,,,x,,,
SPP,,,,,,,,,,,,,
LVF,,,,,,,,,,,,,
LVN,,,,,,,,,,,,,
LSP,,,,,,,,,,,,,
AQC,,,,,,,,,,,,,
SAL,,,,,,,,,,x,,,
TR,,,,,,,,,,,,,
