iucn_sid,cat_ts,yr_ts
22697866,LC,2015
22697866,LC,NA
22697866,LC,NA
22697866,LC,NA
22697866,LC,NA
22697866,LC,NA
22697866,LC,NA
22698511,LC,2012
22698511,LC,NA
22698511,LC,NA
22698511,LC,NA
22698511,LC,NA
22698511,LC,NA
22698511,LC,NA
22733989,LC,2012
22733989,LC,NA
22733989,LC,NA
22733989,NE,NA
22733989,LC,NA
22733989,LC,NA
22733989,LC,NA
22733989,LC,NA
22696776,LC,2012
22696776,LC,NA
22696776,LC,NA
22696776,LC,NA
22696776,LC,NA
22696776,LC,NA
22696776,LC,NA
22696753,LC,2012
22696753,LC,NA
22696753,LC,NA
22696753,LC,NA
22696753,LC,NA
22696753,LC,NA
22696753,LC,NA
22728950,LC,2012
22728950,LC,NA
22728950,LC,NA
22728950,LC,NA
22728950,LC,NA
22728950,LC,NA
22728950,LC,NA
22680455,LC,2012
22680455,LC,NA
22680455,LC,NA
22680455,LC,NA
22680455,LC,NA
22680455,LC,NA
22680455,LC,NA
22680459,LC,2012
22680459,LC,NA
22680459,LC,NA
22680459,LC,NA
22680459,LC,NA
22680459,LC,NA
22680459,LC,NA
22680462,LC,2012
22680462,LC,NA
22680462,LC,NA
22680462,LC,NA
22680462,LC,NA
22680462,LC,NA
22680462,LC,NA
22680427,VU,2012
22680427,LC,NA
22680427,LC,NA
22680427,LC,NA
22680427,LC,NA
22680427,LC,NA
22680427,LC,NA
22680427,LC,NA
22680423,LC,2015
22680423,LC,NA
22680423,LC,NA
22680423,LC,NA
22680423,LC,NA
22680423,LC,NA
22680423,LC,NA
22680441,LC,2012
22680441,LC,NA
22680441,LC,NA
22680441,LC,NA
22680441,LC,NA
22680441,LC,NA
22680441,LC,NA
22680485,LC,2012
22680485,LC,NA
22680485,LC,NA
22680485,LC,NA
22680485,LC,NA
22680485,LC,NA
22680485,LC,NA
22694240,LC,2012
22694240,LC,NA
22694240,LC,NA
22694240,LC,NA
22694240,LC,NA
22694240,LC,NA
22694240,LC,NA
22694343,LC,2015
22694343,LC,NA
22694343,LC,NA
22694343,LC,NA
22694343,LC,NA
22694343,LC,NA
22694343,LC,NA
22694334,LC,2015
22694334,LC,NA
22694334,LC,NA
22694334,LC,NA
22694334,LC,NA
22694334,LC,NA
22694334,LC,NA
22694362,LC,2012
22694362,LC,NA
22694362,LC,NA
22694362,LC,NA
22694362,LC,NA
22694362,LC,NA
22694362,LC,NA
22694337,LC,2012
22694337,LC,NA
22694337,LC,NA
22694337,LC,NA
22694337,LC,NA
22694337,LC,NA
22694337,LC,NA
22694321,LC,2012
22694321,LC,NA
22694321,LC,NA
22694321,LC,NA
22694321,LC,NA
22694321,LC,NA
22694321,LC,NA
22694317,LC,2012
22694317,LC,NA
22694317,LC,NA
22694317,LC,NA
22694317,LC,NA
22694317,LC,NA
22694317,LC,NA
22694308,LC,2015
22694308,LC,NA
22694308,LC,NA
22694308,LC,NA
22694308,LC,NA
22694308,LC,NA
22694308,LC,NA
22694420,LC,2012
22694420,LC,NA
22694420,LC,NA
22694420,LC,NA
22694420,LC,NA
22694420,LC,NA
22694420,LC,NA
22694432,LC,2012
22694432,LC,NA
22694432,LC,NA
22694432,LC,NA
22694432,LC,NA
22694432,LC,NA
22694432,LC,NA
22694296,NT,2012
22694296,NT,NA
22694296,NT,NA
22694296,NT,NA
22694296,NT,NA
22694296,NT,NA
22694296,NT,NA
22694296,LC,NA
22694502,VU,2015
22694502,VU,2013
22694502,VU,2012
22694502,VU,NA
22694502,VU,NA
22694502,VU,NA
22694502,VU,NA
22694502,VU,NA
22694502,VU,NA
22694502,VU,NA
22694502,LC,NA
22694479,LC,2015
22694479,LC,NA
22694479,LC,NA
22694479,LC,NA
22694479,LC,NA
22694479,LC,NA
22694479,LC,NA
22694497,LC,2012
22694497,LC,NA
22694497,LC,NA
22694497,LC,NA
22694497,LC,NA
22694497,LC,NA
