"rgn_id","loiczid","prop_area","rgn_name","cell_area"
5,56985,0.14,"West Vancouver Island",1976.54
5,56986,0.09,"West Vancouver Island",1976.54
5,57706,0.18,"West Vancouver Island",1997.21
5,57707,0.22,"West Vancouver Island",1997.21
5,57708,0.04,"West Vancouver Island",1997.21
5,58427,0.07,"West Vancouver Island",2017.72
5,58428,0.26,"West Vancouver Island",2017.72
5,58429,0.21,"West Vancouver Island",2017.72
5,58430,0.03,"West Vancouver Island",2017.72
5,58431,0.02,"West Vancouver Island",2017.72
5,59149,0.09,"West Vancouver Island",2038.08
5,59150,0.32,"West Vancouver Island",2038.08
5,59151,0.14,"West Vancouver Island",2038.08
5,59152,0.01,"West Vancouver Island",2038.08
5,59154,0.05,"West Vancouver Island",2038.08
5,59872,0.1,"West Vancouver Island",2058.28
5,59873,0.15,"West Vancouver Island",2058.28
5,59874,0.13,"West Vancouver Island",2058.28
6,56990,0.06,"Strait of Georgia",1976.54
6,56991,0.24,"Strait of Georgia",1976.54
6,56992,0.01,"Strait of Georgia",1976.54
6,56993,0.07,"Strait of Georgia",1976.54
6,57710,0.11,"Strait of Georgia",1997.21
6,57711,0.5,"Strait of Georgia",1997.21
6,57712,0.37,"Strait of Georgia",1997.21
6,57713,0.1,"Strait of Georgia",1997.21
6,57714,0.07,"Strait of Georgia",1997.21
6,58431,0.08,"Strait of Georgia",2017.72
6,58432,0.26,"Strait of Georgia",2017.72
6,58433,0.4,"Strait of Georgia",2017.72
6,58434,0.32,"Strait of Georgia",2017.72
6,58435,0.08,"Strait of Georgia",2017.72
6,59153,0.14,"Strait of Georgia",2038.08
6,59154,0.31,"Strait of Georgia",2038.08
1,49060,0.03,"North Coast",1739.66
1,49061,0.01,"North Coast",1739.66
1,49780,0.05,"North Coast",1761.89
1,49781,0.13,"North Coast",1761.89
1,49782,0.01,"North Coast",1761.89
1,50498,0.1,"North Coast",1783.99
1,50499,0.24,"North Coast",1783.99
1,50500,0.27,"North Coast",1783.99
1,51218,0.02,"North Coast",1805.95
1,51219,0.66,"North Coast",1805.95
1,51220,0.31,"North Coast",1805.95
1,51223,0.01,"North Coast",1805.95
1,51939,0.31,"North Coast",1827.77
1,51940,0.33,"North Coast",1827.77
1,51941,0.08,"North Coast",1827.77
1,51942,0.08,"North Coast",1827.77
1,51943,0.2,"North Coast",1827.77
1,52659,0.06,"North Coast",1849.46
1,52660,0.21,"North Coast",1849.46
1,52661,0.38,"North Coast",1849.46
1,52662,0.4,"North Coast",1849.46
1,52663,0.1,"North Coast",1849.46
1,52664,0.01,"North Coast",1849.46
1,53381,0.1,"North Coast",1871
1,53382,0.3,"North Coast",1871
1,53383,0.01,"North Coast",1871
2,51214,0.12,"Haida Gwaii",1805.95
2,51215,0.17,"Haida Gwaii",1805.95
2,51216,0.14,"Haida Gwaii",1805.95
2,51217,0.18,"Haida Gwaii",1805.95
2,51934,0.21,"Haida Gwaii",1827.77
2,51935,0.04,"Haida Gwaii",1827.77
2,51936,0.17,"Haida Gwaii",1827.77
2,51937,0.2,"Haida Gwaii",1827.77
2,52655,0.41,"Haida Gwaii",1849.46
2,52656,0.13,"Haida Gwaii",1849.46
2,52657,0.28,"Haida Gwaii",1849.46
2,53376,0.21,"Haida Gwaii",1871
2,53377,0.37,"Haida Gwaii",1871
2,53378,0.22,"Haida Gwaii",1871
2,54097,0.13,"Haida Gwaii",1892.4
2,54098,0.44,"Haida Gwaii",1892.4
2,54099,0.11,"Haida Gwaii",1892.4
2,54818,0.05,"Haida Gwaii",1913.66
2,54819,0.06,"Haida Gwaii",1913.66
3,52663,0.03,"Central Coast",1849.46
3,53383,0.17,"Central Coast",1871
3,53384,0.14,"Central Coast",1871
3,53386,0.03,"Central Coast",1871
3,53387,0.03,"Central Coast",1871
3,54103,0.3,"Central Coast",1892.4
3,54104,0.48,"Central Coast",1892.4
3,54105,0.2,"Central Coast",1892.4
3,54106,0.16,"Central Coast",1892.4
3,54107,0.07,"Central Coast",1892.4
3,54823,0.03,"Central Coast",1913.66
3,54824,0.37,"Central Coast",1913.66
3,54825,0.28,"Central Coast",1913.66
3,54826,0.05,"Central Coast",1913.66
3,54827,0.01,"Central Coast",1913.66
3,55544,0.05,"Central Coast",1934.77
3,55545,0.18,"Central Coast",1934.77
3,56262,0.06,"Central Coast",1955.73
4,55545,0.26,"North Vancouver Island",1934.77
4,55546,0.05,"North Vancouver Island",1934.77
4,55547,0.07,"North Vancouver Island",1934.77
4,55549,0.03,"North Vancouver Island",1934.77
4,56263,0.2,"North Vancouver Island",1955.73
4,56264,0.23,"North Vancouver Island",1955.73
4,56265,0.3,"North Vancouver Island",1955.73
4,56266,0.39,"North Vancouver Island",1955.73
4,56267,0.42,"North Vancouver Island",1955.73
4,56268,0.21,"North Vancouver Island",1955.73
4,56269,0.16,"North Vancouver Island",1955.73
4,56270,0.02,"North Vancouver Island",1955.73
4,56271,0.14,"North Vancouver Island",1955.73
4,56984,0.08,"North Vancouver Island",1976.54
4,56985,0.19,"North Vancouver Island",1976.54
4,56988,0.06,"North Vancouver Island",1976.54
4,56989,0.11,"North Vancouver Island",1976.54
4,56990,0.3,"North Vancouver Island",1976.54
8,52663,0.01,"Aristazabal Island",1849.46
8,53381,0.01,"Aristazabal Island",1871
8,53382,0.31,"Aristazabal Island",1871
8,53383,0.03,"Aristazabal Island",1871
8,54102,0.09,"Aristazabal Island",1892.4
8,54103,0.03,"Aristazabal Island",1892.4
