am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score,status_gl,status_pr,status_gl_score,status_pr_score,iucn_score,cat_ts,cat_ts_score,yr_ts
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1965
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1966
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1967
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1968
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1969
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1970
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1971
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1972
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1973
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1974
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1975
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1976
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1977
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1978
Fis-29588,NT,Acipenser medirostris,233,Stable,NT,NA,NA,NA,am,0.8,0,G3,S1N,0.4,0.8,0.2,VU,0.8,1979
