year,rgn_id,taxonkey,taxonsciname,taxoncomname,rgn_taxon_total,rgn_total
1950,1,100039,Marine fishes not identified,Marine fishes nei,1000.75,45737.48
1950,1,100239,Marine groundfishes not identified,Groundfishes,576.13,45737.48
1950,1,290004,Bivalvia,Clams,30.27,45737.48
1950,1,300061,Pleuronectiformes,Flatfishes,42.01,45737.48
1950,1,390013,Decapoda,"Crabs, lobsters, shrimps",0.72,45737.48
1950,1,400019,Rajidae,Stingrays,1.53,45737.48
1950,1,400416,Scombridae,"Mackerels, tunas, bonitos",38.84,45737.48
1950,1,400573,Sebastidae,"Rockfishes, rockcods, thornyheads",0.88,45737.48
1950,1,490097,Brachyura,Marine crabs,4.88,45737.48
1950,1,490143,Ostreidae,True oysters,185.29,45737.48
1950,1,600239,Oncorhynchus mykiss,Rainbow trout,22.79,45737.48
1950,1,600240,Oncorhynchus gorbuscha,Pink salmon,6718.27,45737.48
1950,1,600241,Oncorhynchus keta,Chum salmon,10423.039999999999,45737.48
1950,1,600243,Oncorhynchus nerka,Sockeye salmon,1810.24,45737.48
1950,1,600244,Oncorhynchus tshawytscha,Chinook salmon,2100.21,45737.48
1950,1,600245,Oncorhynchus kisutch,Coho salmon,2943.73,45737.48
1950,1,600255,Hypomesus pretiosus,Surf smelt,15.26,45737.48
1950,1,600256,Thaleichthys pacificus,Eulachon,18.22,45737.48
1950,1,600308,Gadus macrocephalus,Pacific cod,62.93,45737.48
1950,1,600318,Theragra chalcogramma,Alaska pollock,0.0,45737.48
1950,1,600509,Ophiodon elongatus,Lingcod,335.15999999999997,45737.48
1950,1,600512,Anoplopoma fimbria,Sablefish,11.690000000000001,45737.48
1950,1,600514,Hippoglossus stenolepis,Pacific halibut,445.53999999999996,45737.48
1950,1,600517,Atheresthes stomias,Arrowtooth flounder,45.61,45737.48
1950,1,601520,Clupea pallasii pallasii,Pacific herring,18553.760000000002,45737.48
1950,1,690064,Saxidomus gigantea,Butter clam,232.77,45737.48
1950,1,690115,Cancer magister,Dungeness crab,82.89,45737.48
1950,1,690283,Crassostrea gigas,Pacific cupped oyster,34.07,45737.48
1950,2,100039,Marine fishes not identified,Marine fishes nei,2307.81,138411.19
1950,2,100239,Marine groundfishes not identified,Groundfishes,1328.65,138411.19
1950,2,290004,Bivalvia,Clams,433.38,138411.19
1950,2,300061,Pleuronectiformes,Flatfishes,2432.37,138411.19
1950,2,390013,Decapoda,"Crabs, lobsters, shrimps",74.44,138411.19
1950,2,400019,Rajidae,Stingrays,98.76,138411.19
1950,2,400416,Scombridae,"Mackerels, tunas, bonitos",133.37,138411.19
1950,2,400573,Sebastidae,"Rockfishes, rockcods, thornyheads",45.28,138411.19
1950,2,490097,Brachyura,Marine crabs,159.41,138411.19
1950,2,490143,Ostreidae,True oysters,948.75,138411.19
1950,2,600239,Oncorhynchus mykiss,Rainbow trout,51.669999999999995,138411.19
1950,2,600240,Oncorhynchus gorbuscha,Pink salmon,16017.48,138411.19
