kingdom,phylum,class,genus
animalia,chordata,elasmobranchii,cetorhinus
animalia,chordata,elasmobranchii,discopyge
animalia,chordata,elasmobranchii,hexanchus
animalia,chordata,elasmobranchii,isurus
animalia,chordata,elasmobranchii,prionace
animalia,chordata,elasmobranchii,pteroplatytrygon
animalia,chordata,elasmobranchii,raja
animalia,chordata,elasmobranchii,sphyrna
animalia,chordata,elasmobranchii,squatina
animalia,chordata,elasmobranchii,galeocerdo
