rgn_id,pfma_id,pfmsa_id,n_cells_rgn,n_pfma_tot,n_pfma_rgn,n_pfmsa_tot,n_pfmsa_rgn
1,NA,NA,17486,2255178,113,2255178,113
1,3,16,17486,1656,1551,14,12
1,3,15,17486,1656,1551,65,63
1,3,14,17486,1656,1551,209,205
1,3,13,17486,1656,1551,33,32
1,3,12,17486,1656,1551,153,141
1,3,17,17486,1656,1551,32,31
1,3,9,17486,1656,1551,26,26
1,3,7,17486,1656,1551,158,145
1,3,8,17486,1656,1551,19,19
2,101,4,46041,15709,10766,268,268
2,NA,NA,46041,2255178,115,2255178,115
2,101,3,46041,15709,10766,1669,1664
2,101,8,46041,15709,10766,342,324
1,101,8,17486,15709,33,342,18
1,103,0,17486,262,261,262,261
1,3,3,17486,1656,1551,214,205
2,101,5,46041,15709,10766,1297,1297
1,3,1,17486,1656,1551,451,449
1,3,10,17486,1656,1551,31,30
2,101,9,46041,15709,10766,1086,1071
1,101,9,17486,15709,33,1086,15
1,3,2,17486,1656,1551,79,79
1,3,4,17486,1656,1551,45,45
1,3,6,17486,1656,1551,82,67
1,4,5,17486,2426,2379,407,406
1,3,5,17486,1656,1551,2,2
1,4,1,17486,2426,2379,366,357
1,4,14,17486,2426,2379,1,1
2,101,6,46041,15709,10766,1361,1361
1,4,6,17486,2426,2379,2,2
1,4,7,17486,2426,2379,3,3
2,103,0,46041,262,1,262,1
1,4,8,17486,2426,2379,14,14
2,104,1,46041,2060,783,149,85
1,104,1,17486,2060,1277,149,64
2,101,10,46041,15709,10766,889,886
1,104,2,17486,2060,1277,721,652
2,101,2,46041,15709,10766,3355,2064
7,101,2,315882,15709,4902,3355,1291
1,4,10,17486,2426,2379,52,50
2,104,2,46041,2060,783,721,69
2,104,4,46041,2060,783,141,141
2,101,7,46041,15709,10766,475,475
1,4,13,17486,2426,2379,128,128
1,4,9,17486,2426,2379,587,586
7,NA,NA,315882,2255178,160,2255178,160
2,1,2,46041,1103,1088,110,109
7,101,1,315882,15709,4902,4967,3611
1,4,11,17486,2426,2379,19,18
2,1,1,46041,1103,1088,142,140
2,1,7,46041,1103,1088,46,46
2,102,1,46041,13408,13400,3170,3163
2,104,5,46041,2060,783,335,335
2,1,3,46041,1103,1088,105,105
1,4,2,17486,2426,2379,348,343
1,4,12,17486,2426,2379,281,278
7,142,2,315882,84348,74612,40923,35396
2,1,5,46041,1103,1088,340,336
2,104,3,46041,2060,783,714,153
2,101,1,46041,15709,10766,4967,1356
1,104,3,17486,2060,1277,714,561
2,1,4,46041,1103,1088,40,39
2,1,6,46041,1103,1088,320,313
1,4,15,17486,2426,2379,64,39
1,4,4,17486,2426,2379,12,12
1,5,9,17486,1802,1773,27,25
1,4,3,17486,2426,2379,142,142
1,6,1,17486,3457,2427,354,327
2,142,2,46041,84348,9729,40923,5527
1,5,7,17486,1802,1773,5,5
1,5,6,17486,1802,1773,5,5
1,5,8,17486,1802,1773,10,9
1,5,5,17486,1802,1773,9,9
1,5,2,17486,1802,1773,60,60
1,5,1,17486,1802,1773,53,53
1,5,4,17486,1802,1773,45,44
2,2,98,46041,2961,2924,10,10
2,105,1,46041,3658,779,1980,499
2,2,99,46041,2961,2924,5,4
2,2,100,46041,2961,2924,1,1
1,105,1,17486,3658,2879,1980,1481
2,2,97,46041,2961,2924,29,28
1,5,23,17486,1802,1773,88,81
1,5,11,17486,1802,1773,310,310
1,5,12,17486,1802,1773,14,14
1,5,3,17486,1802,1773,45,45
2,2,92,46041,2961,2924,15,15
2,2,96,46041,2961,2924,1,1
2,2,95,46041,2961,2924,5,3
1,5,10,17486,1802,1773,141,139
2,2,88,46041,2961,2924,62,61
2,2,93,46041,2961,2924,1,1
2,2,94,46041,2961,2924,2,1
1,5,14,17486,1802,1773,78,77
2,2,89,46041,2961,2924,7,7
2,2,90,46041,2961,2924,7,7
2,2,91,46041,2961,2924,4,4
1,6,2,17486,3457,2427,187,186
2,2,87,46041,2961,2924,12,12
1,5,13,17486,1802,1773,93,93
2,2,86,46041,2961,2924,15,15
1,5,20,17486,1802,1773,262,259
2,2,85,46041,2961,2924,17,17
2,2,84,46041,2961,2924,1,1
1,5,15,17486,1802,1773,8,8
2,2,83,46041,2961,2924,4,4
2,2,82,46041,2961,2924,12,12
2,2,79,46041,2961,2924,46,46
1,5,16,17486,1802,1773,48,47
2,2,81,46041,2961,2924,2,2
2,2,80,46041,2961,2924,5,5
2,2,78,46041,2961,2924,108,108
2,2,75,46041,2961,2924,60,60
1,5,17,17486,1802,1773,258,257
1,5,24,17486,1802,1773,43,41
1,6,3,17486,3457,2427,161,159
2,2,73,46041,2961,2924,13,13
1,5,21,17486,1802,1773,16,15
1,6,4,17486,3457,2427,208,79
2,2,1,46041,2961,2924,283,278
2,2,76,46041,2961,2924,17,17
1,105,2,17486,3658,2879,1678,1398
1,5,18,17486,1802,1773,6,6
2,2,70,46041,2961,2924,9,9
2,2,77,46041,2961,2924,7,5
2,2,69,46041,2961,2924,36,35
2,105,2,46041,3658,779,1678,280
2,2,71,46041,2961,2924,5,5
7,142,1,315882,84348,74612,43425,39216
2,102,2,46041,13408,13400,7178,7177
2,2,68,46041,2961,2924,79,79
1,5,22,17486,1802,1773,165,159
1,6,5,17486,3457,2427,304,301
1,6,28,17486,3457,2427,47,47
1,6,6,17486,3457,2427,187,187
1,5,19,17486,1802,1773,13,12
2,2,2,46041,2961,2924,64,63
2,2,65,46041,2961,2924,10,10
1,6,7,17486,3457,2427,41,41
2,2,67,46041,2961,2924,8,8
2,2,64,46041,2961,2924,14,14
1,6,20,17486,3457,2427,130,31
2,2,63,46041,2961,2924,19,19
2,2,66,46041,2961,2924,9,9
1,6,27,17486,3457,2427,8,8
1,6,9,17486,3457,2427,485,481
8,6,21,3211,3457,405,5,5
2,106,1,46041,7832,659,2641,221
1,106,1,17486,7832,4793,2641,2420
1,6,8,17486,3457,2427,7,7
8,6,20,3211,3457,405,130,20
2,2,3,46041,2961,2924,91,91
8,NA,NA,3211,2255178,13,2255178,13
2,2,50,46041,2961,2924,9,9
2,2,52,46041,2961,2924,2,2
2,2,51,46041,2961,2924,6,6
2,2,4,46041,2961,2924,31,29
1,6,10,17486,3457,2427,380,378
2,2,49,46041,2961,2924,65,65
2,2,53,46041,2961,2924,12,12
3,6,20,20528,3457,441,130,79
2,2,54,46041,2961,2924,5,5
2,2,5,46041,2961,2924,7,7
3,6,22,20528,3457,441,8,8
2,2,56,46041,2961,2924,3,3
2,2,55,46041,2961,2924,4,4
1,6,26,17486,3457,2427,10,10
2,2,60,46041,2961,2924,10,10
2,2,57,46041,2961,2924,2,2
3,6,23,20528,3457,441,13,13
2,2,59,46041,2961,2924,4,4
2,2,58,46041,2961,2924,4,3
3,NA,NA,20528,2255178,70,2255178,70
2,2,48,46041,2961,2924,14,14
2,2,61,46041,2961,2924,6,6
2,2,7,46041,2961,2924,174,174
2,2,6,46041,2961,2924,97,95
1,6,12,17486,3457,2427,37,31
2,2,62,46041,2961,2924,12,12
2,142,1,46041,84348,9729,43425,4202
2,2,44,46041,2961,2924,5,5
3,6,19,20528,3457,441,99,99
2,2,43,46041,2961,2924,12,12
2,2,38,46041,2961,2924,208,208
3,6,24,20528,3457,441,8,4
2,2,45,46041,2961,2924,9,9
2,2,42,46041,2961,2924,14,14
2,106,2,46041,7832,659,5191,438
2,2,8,46041,2961,2924,172,172
1,106,2,17486,7832,4793,5191,2373
3,7,7,20528,2765,2727,34,34
2,2,47,46041,2961,2924,5,5
2,2,46,46041,2961,2924,4,4
8,6,12,3211,3457,405,37,6
1,6,13,17486,3457,2427,243,109
1,6,11,17486,3457,2427,53,45
8,6,11,3211,3457,405,53,8
8,6,14,3211,3457,405,73,73
3,7,6,20528,2765,2727,81,81
3,8,9,20528,1510,1497,63,62
2,2,10,46041,2961,2924,75,75
3,7,29,20528,2765,2727,37,36
2,2,9,46041,2961,2924,21,21
2,2,11,46041,2961,2924,221,219
8,6,13,3211,3457,405,243,127
3,7,9,20528,2765,2727,142,140
3,7,11,20528,2765,2727,25,25
3,6,15,20528,3457,441,24,3
3,7,10,20528,2765,2727,63,61
8,106,2,3211,7832,2236,5191,2236
8,6,15,3211,3457,405,24,21
3,6,16,20528,3457,441,221,136
2,2,12,46041,2961,2924,161,161
8,6,16,3211,3457,405,221,83
3,6,25,20528,3457,441,21,19
3,7,5,20528,2765,2727,55,55
3,8,8,20528,1510,1497,84,84
3,7,14,20528,2765,2727,98,98
3,6,18,20528,3457,441,28,28
3,8,7,20528,1510,1497,161,160
2,2,40,46041,2961,2924,4,4
3,7,4,20528,2765,2727,71,71
2,2,13,46041,2961,2924,30,30
2,2,39,46041,2961,2924,4,4
2,2,41,46041,2961,2924,3,3
2,2,14,46041,2961,2924,87,87
3,7,3,20528,2765,2727,267,262
7,130,3,315882,59938,55405,14906,14148
3,7,16,20528,2765,2727,46,46
8,6,17,3211,3457,405,115,62
3,6,17,20528,3457,441,115,52
2,2,15,46041,2961,2924,56,55
2,2,16,46041,2961,2924,8,8
3,8,10,20528,1510,1497,38,38
8,7,31,3211,2765,9,203,9
3,7,31,20528,2765,2727,203,193
3,106,2,20528,7832,142,5191,142
3,7,13,20528,2765,2727,48,48
2,2,17,46041,2961,2924,44,42
3,8,11,20528,1510,1497,47,46
2,2,37,46041,2961,2924,3,3
3,7,15,20528,2765,2727,70,65
2,2,36,46041,2961,2924,5,5
3,8,15,20528,1510,1497,139,138
2,2,34,46041,2961,2924,5,5
2,107,1,46041,5467,874,1101,119
8,107,1,3211,5467,548,1101,451
3,107,1,20528,5467,4045,1101,531
2,2,35,46041,2961,2924,15,15
2,2,33,46041,2961,2924,5,4
2,2,18,46041,2961,2924,79,71
3,7,30,20528,2765,2727,20,20
3,7,2,20528,2765,2727,121,121
3,8,12,20528,1510,1497,87,86
3,7,1,20528,2765,2727,378,378
3,7,8,20528,2765,2727,3,3
3,7,12,20528,2765,2727,85,85
2,2,32,46041,2961,2924,2,2
3,8,5,20528,1510,1497,76,75
2,2,31,46041,2961,2924,89,87
2,102,3,46041,13408,13400,3060,3060
3,7,32,20528,2765,2727,20,19
7,130,2,315882,59938,55405,22519,20862
2,107,2,46041,5467,874,4170,755
3,7,24,20528,2765,2727,26,26
8,107,2,3211,5467,548,4170,97
3,107,2,20528,5467,4045,4170,3318
3,7,21,20528,2765,2727,8,8
3,7,17,20528,2765,2727,86,86
3,7,23,20528,2765,2727,26,21
3,8,13,20528,1510,1497,134,133
2,2,19,46041,2961,2924,53,52
3,7,20,20528,2765,2727,9,9
3,8,14,20528,1510,1497,58,56
3,7,19,20528,2765,2727,31,30
3,8,6,20528,1510,1497,8,8
3,7,18,20528,2765,2727,105,105
3,8,4,20528,1510,1497,240,238
2,130,3,46041,59938,3007,14906,758
3,7,25,20528,2765,2727,281,276
3,7,28,20528,2765,2727,30,30
3,7,26,20528,2765,2727,208,208
3,7,27,20528,2765,2727,88,87
3,107,3,20528,5467,4045,196,196
3,9,8,20528,535,502,16,16
2,108,2,46041,4822,1619,2652,1616
3,108,2,20528,4822,3203,2652,1036
3,8,3,20528,1510,1497,48,47
7,130,1,315882,59938,55405,22513,20395
3,108,1,20528,4822,3203,2170,2167
3,9,7,20528,535,502,9,8
3,8,2,20528,1510,1497,47,46
2,130,2,46041,59938,3007,22519,1652
3,8,1,20528,1510,1497,182,182
3,8,16,20528,1510,1497,98,98
3,9,6,20528,535,502,40,40
3,9,5,20528,535,502,18,18
3,9,12,20528,535,502,99,92
3,9,4,20528,535,502,30,30
3,9,11,20528,535,502,27,26
3,9,3,20528,535,502,26,26
3,9,2,20528,535,502,90,89
2,108,1,46041,4822,1619,2170,3
2,109,0,46041,855,71,855,71
3,109,0,20528,855,784,855,784
3,9,1,20528,535,502,140,140
3,10,1,20528,827,304,433,253
2,110,0,46041,2386,226,2386,226
3,9,10,20528,535,502,25,17
3,110,0,20528,2386,2158,2386,2158
3,10,2,20528,827,304,186,51
4,10,6,13719,827,501,12,12
4,10,10,13719,827,501,20,19
4,NA,NA,13719,2255178,92,2255178,92
7,127,4,315882,100096,94011,22080,19929
4,10,2,13719,827,501,186,134
4,10,5,13719,827,501,17,17
4,10,4,13719,827,501,52,52
2,130,1,46041,59938,3007,22513,597
4,10,3,13719,827,501,42,41
3,130,2,20528,59938,1525,22519,5
4,10,1,13719,827,501,433,179
4,10,7,13719,827,501,22,14
4,10,9,13719,827,501,11,11
3,130,1,20528,59938,1525,22513,1520
3,111,0,20528,4517,2131,4517,2131
4,10,8,13719,827,501,7,7
4,10,12,13719,827,501,15,15
4,110,0,13719,2386,2,2386,2
4,111,0,13719,4517,2386,4517,2386
4,11,10,13719,1093,973,50,33
4,11,1,13719,1093,973,306,306
4,11,2,13719,1093,973,530,528
4,11,4,13719,1093,973,44,2
4,11,3,13719,1093,973,91,85
4,11,8,13719,1093,973,13,11
4,12,34,13719,3088,3042,36,36
4,11,9,13719,1093,973,11,8
4,12,48,13719,3088,3042,12,12
4,12,33,13719,3088,3042,24,23
4,12,47,13719,3088,3042,17,16
4,12,13,13719,3088,3042,188,187
4,12,32,13719,3088,3042,23,23
4,12,12,13719,3088,3042,48,46
4,12,41,13719,3088,3042,106,101
7,127,2,315882,100096,94011,77192,74082
4,12,11,13719,3088,3042,102,102
4,12,44,13719,3088,3042,4,4
4,12,45,13719,3088,3042,44,44
4,12,42,13719,3088,3042,35,28
4,12,43,13719,3088,3042,34,34
4,12,46,13719,3088,3042,11,8
4,13,22,13719,1302,1054,145,145
3,127,4,20528,100096,999,22080,999
4,12,15,13719,3088,3042,83,81
4,12,31,13719,3088,3042,33,32
4,127,4,13719,100096,5084,22080,1151
4,12,14,13719,3088,3042,39,38
4,12,10,13719,3088,3042,21,21
4,12,9,13719,3088,3042,266,266
4,12,7,13719,3088,3042,361,360
4,12,40,13719,3088,3042,71,69
4,12,35,13719,3088,3042,97,97
4,12,37,13719,3088,3042,10,9
4,12,30,13719,3088,3042,50,50
4,12,16,13719,3088,3042,111,111
4,127,3,13719,100096,5084,410,410
4,12,38,13719,3088,3042,20,20
4,12,39,13719,3088,3042,123,120
4,27,1,13719,590,571,40,38
4,12,36,13719,3088,3042,16,15
4,12,6,13719,3088,3042,210,210
4,12,8,13719,3088,3042,145,145
4,12,29,13719,3088,3042,17,17
4,13,43,13719,1302,1054,37,37
4,12,28,13719,3088,3042,13,13
4,12,27,13719,3088,3042,81,80
4,12,26,13719,3088,3042,128,123
4,27,11,13719,590,571,49,48
4,12,17,13719,3088,3042,17,17
4,12,18,13719,3088,3042,101,101
4,12,23,13719,3088,3042,26,25
4,13,21,13719,1302,1054,107,107
4,12,5,13719,3088,3042,42,42
4,12,19,13719,3088,3042,31,30
4,27,10,13719,590,571,22,16
4,12,20,13719,3088,3042,3,3
4,12,3,13719,3088,3042,126,123
4,12,22,13719,3088,3042,14,14
4,12,4,13719,3088,3042,10,9
4,12,2,13719,3088,3042,50,50
4,27,3,13719,590,571,19,19
4,12,25,13719,3088,3042,18,18
4,13,42,13719,1302,1054,28,28
4,13,24,13719,1302,1054,20,20
4,27,2,13719,590,571,131,130
4,27,7,13719,590,571,70,66
4,27,9,13719,590,571,5,1
4,12,21,13719,3088,3042,2,2
4,127,2,13719,100096,5084,77192,3109
4,13,37,13719,1302,1054,15,14
4,127,1,13719,100096,5084,414,414
4,27,8,13719,590,571,37,36
4,13,23,13719,1302,1054,48,41
6,15,6,8142,967,958,89,86
4,12,1,13719,3088,3042,69,67
4,13,36,13719,1302,1054,23,23
4,13,38,13719,1302,1054,5,4
4,13,35,13719,1302,1054,21,21
4,13,39,13719,1302,1054,7,6
4,13,25,13719,1302,1054,19,17
4,13,26,13719,1302,1054,39,39
4,13,41,13719,1302,1054,20,19
4,13,20,13719,1302,1054,37,37
6,13,19,8142,1302,226,44,44
4,13,33,13719,1302,1054,17,17
4,13,40,13719,1302,1054,8,8
6,NA,NA,8142,2255178,34,2255178,34
4,13,32,13719,1302,1054,29,28
4,13,34,13719,1302,1054,2,2
4,13,29,13719,1302,1054,9,9
4,13,28,13719,1302,1054,32,31
4,13,31,13719,1302,1054,15,14
4,13,30,13719,1302,1054,11,11
4,13,27,13719,1302,1054,10,10
4,27,5,13719,590,571,34,34
4,13,18,13719,1302,1054,34,28
6,13,18,8142,1302,226,34,6
6,15,5,8142,967,958,315,311
4,27,4,13719,590,571,152,152
4,13,9,13719,1302,1054,18,18
4,13,12,13719,1302,1054,37,35
4,13,10,13719,1302,1054,18,18
6,13,17,8142,1302,226,50,20
4,13,17,13719,1302,1054,50,28
4,13,8,13719,1302,1054,7,7
4,13,11,13719,1302,1054,9,9
4,27,6,13719,590,571,31,31
