goal,element,po_water,hd_mpa_coast,hd_mpa_eez,hd_habitat,sp_alien_species,fp_mpa_coast,fp_mpa_eez,fp_habitat,fp_mora,fp_mora_artisanal,g_tourism,g_mariculture,g_msi_gov,g_cites,species_diversity_3nm,species_diversity_eez,cwbi_all,cwbi_fn
AO,shellfish_closures,,x,,x,,x,,x,x,,,,,,x,,,x
AO,salmon,,x,,x,,x,,x,x,,,,,,x,,,x
AO,fn_licenses,,x,,x,,x,,x,x,,,,,,x,,,x
AO,herring_spawn,,x,,x,,x,,x,x,,,,,,x,,,x
CP,coastal_forest,,x,,x,,,,,,,,,,,,,x,
CP,salt_marsh,x,x,,x,,,,,,,,,,,,,x,
CS,coastal_forest,,x,,x,,,,,,,,,,,,,x,
CS,salt_marsh,x,x,,x,,,,,,,,,,,,,x,
CW,,x,,,,,,,,,,,,,,,,x,
FIS,,,,x,x,,,x,x,x,x,,,,,,x,x,
HAB,salt_marsh,x,x,,x,,,,,,,x,x,,,x,,x,
HAB,ebsa,x,,x,x,,,x,x,x,,x,x,,,,x,x,
HAB,soft_bottom,x,,x,x,,,x,x,x,,x,x,,,,x,x,
ICO,,x,,x,x,,,x,x,x,x,,,,x,,x,x,
SPP,,x,,x,x,,,x,x,x,x,x,x,,x,,,x,
LIV,,,,,,,,,,,,,,,,,,x,
LSP,,x,,,x,,,,,,,,,,,,,x,
MAR,,x,,,,,,,,,,,x,x,,,,x,
TR,,x,,,,,,,,,,,,,,,,x,
