layer,category,category_type,subcategory,weight
species_diversity_eez,ecological,ecosystem,ecological,1
species_diversity_3nm,ecological,ecosystem,ecological,1
aq_regulation,ecological,regulatory,aq_alien_species,1
fp_mpa_coast,ecological,regulatory,fishing_pressure,1
fp_mpa_eez,ecological,regulatory,fishing_pressure,1
fp_trawl_reduction,ecological,regulatory,fishing_pressure,1
fp_biomass_removal,ecological,regulatory,fishing_pressure,1
hd_trawl_reduction,ecological,regulatory,habitat_destruction,1
hd_mpa_coast,ecological,regulatory,habitat_destruction,1
hd_mpa_eez,ecological,regulatory,habitat_destruction,1
po_water,ecological,regulatory,pollution,1
mapp_resilience,social,social,social,1
cwbi_all,social,social,social,1
cwbi_fn,social,social,social,1
