year,rgn_id,csduid,prop_area,csdname,fn,pop,inc,edu,hsg,lab,cwb
2001,1,5949005,0.9999986962092842,Kitimat,FALSE,10285,90,49,95,84,79
2001,1,5949018,1.00000003047649,Kitimat-Stikine E,FALSE,4475,81,45,92,81,74
2001,1,5949803,1.0000000029195124,Kitamaat 2,TRUE,511,70,29,73,73,61
2001,1,5947012,0.999999997513491,Prince Rupert,FALSE,14643,83,46,91,84,76
2001,1,5947809,1.0000009928582656,Lax Kw'alaams,TRUE,785,56,20,75,59,53
2001,1,5951031,4.288271954163595e-4,Bulkley-Nechako E,FALSE,1750,81,47,91,80,75
2001,1,5949805,0.9999994000432672,Kshish 4,TRUE,58,NA,NA,NA,NA,NA
2001,1,5947806,0.9999999639105444,Kulkayu (Hartley Bay) 4,TRUE,162,NA,NA,NA,NA,58
2001,1,5949807,0.999999999830074,Kulspai 6,TRUE,75,NA,NA,NA,NA,57
2001,1,5951051,0.08400436567594467,Bulkley-Nechako A,FALSE,5696,82,56,91,87,79
2001,1,5949020,0.6342930221585007,Kitimat-Stikine C (Part 2),FALSE,10,NA,NA,NA,NA,NA
2001,1,5949013,0.8763887407139477,Kitimat-Stikine C (Part 1),FALSE,2998,86,50,90,83,77
2001,1,5949028,0.03827752888723444,Kitimat-Stikine B,FALSE,1948,79,44,87,78,72
2001,1,5949032,0.06834385412486164,Stewart,FALSE,661,83,48,86,78,74
2001,1,5949035,0.3839919357804795,Nisga'a,TRUE,85,NA,NA,NA,NA,68
2001,1,5951053,7.054030800528933e-4,Bulkley-Nechako G,FALSE,1099,83,48,95,78,76
2001,1,5947016,0.9999999594162666,Skeena-Queen Charlotte A,FALSE,91,NA,NA,NA,NA,79
2001,1,5947807,0.9999999985116644,Dolphin Island 1,TRUE,368,52,23,72,60,52
2001,1,5949011,0.9999999738834151,Terrace,FALSE,12109,84,50,94,84,78
2001,1,5949831,0.9999999102647799,Gitzault 24,TRUE,0,NA,NA,NA,NA,NA
2001,1,5947021,1.0000000284882584,Skeena-Queen Charlotte C,FALSE,50,NA,NA,NA,NA,NA
2001,1,5949039,0.17638439570773565,Kitimat-Stikine A,FALSE,81,NA,NA,NA,NA,76
2001,1,5947007,0.9999997423195292,Port Edward,FALSE,659,73,38,87,73,68
2001,1,5949804,0.9999998236532176,Kitsumkaylum 1,TRUE,265,NA,NA,NA,NA,NA
2001,1,5949842,0.9999992943052913,Gingolx,TRUE,339,NA,NA,NA,NA,NA
2001,2,5947032,0.9999999979331164,Skeena-Queen Charlotte E,FALSE,460,91,42,92,90,79
2001,2,5947030,1.0000000259174733,Port Clements,FALSE,516,88,45,90,88,78
2001,2,5947027,0.9999999838623619,Skeena-Queen Charlotte D,FALSE,538,84,55,81,79,75
2001,2,5947023,1.0000002463720448,Masset,FALSE,926,83,47,88,83,75
2001,2,5947025,1.0000001358846848,Skeena-Queen Charlotte F,FALSE,1045,87,60,91,91,82
2001,2,5947804,1.000000143309176,Skidegate 1,TRUE,743,75,36,85,78,68
2001,2,5947803,1.0000000042105677,Masset 1,TRUE,707,NA,NA,NA,NA,NA
2001,3,5945803,1.0000015640638806,Katit 1,TRUE,96,NA,NA,NA,NA,NA
2001,3,5945801,0.9999998221741233,Bella Bella 1,TRUE,1253,67,39,75,75,64
2001,3,5945012,0.9999999928366011,Central Coast D,FALSE,516,86,56,89,88,80
2001,3,5951031,0.01202358450901494,Bulkley-Nechako E,FALSE,1750,81,47,91,80,75
2001,3,5943037,0.010856699352899738,Mount Waddington A,FALSE,886,79,43,89,81,73
