sciname,iucn_sid,presence,subpop,loiczid,prop_area
Branta canadensis,22679935,1,"NA",49061.0,0.02
Branta canadensis,22679935,1,"NA",49062.0,0.55
Branta canadensis,22679935,1,"NA",49063.0,1.0
Branta canadensis,22679935,1,"NA",49064.0,1.0
Branta canadensis,22679935,1,"NA",49065.0,1.0
Branta canadensis,22679935,1,"NA",49066.0,1.0
Branta canadensis,22679935,1,"NA",49067.0,1.0
Branta canadensis,22679935,1,"NA",49068.0,1.0
Branta canadensis,22679935,1,"NA",49069.0,1.0
Branta canadensis,22679935,1,"NA",49070.0,1.0
Branta canadensis,22679935,1,"NA",49071.0,1.0
Branta canadensis,22679935,1,"NA",49072.0,1.0
Branta canadensis,22679935,1,"NA",49073.0,1.0
Branta canadensis,22679935,1,"NA",49074.0,1.0
Branta canadensis,22679935,1,"NA",49075.0,1.0
Branta canadensis,22679935,1,"NA",49076.0,1.0
Branta canadensis,22679935,1,"NA",49783.0,0.33
Branta canadensis,22679935,1,"NA",49784.0,0.97
Branta canadensis,22679935,1,"NA",49785.0,1.0
Branta canadensis,22679935,1,"NA",49786.0,1.0
Branta canadensis,22679935,1,"NA",49787.0,1.0
Branta canadensis,22679935,1,"NA",49788.0,1.0
Branta canadensis,22679935,1,"NA",49789.0,1.0
Branta canadensis,22679935,1,"NA",49790.0,1.0
Branta canadensis,22679935,1,"NA",49791.0,1.0
Branta canadensis,22679935,1,"NA",49792.0,1.0
Branta canadensis,22679935,1,"NA",49793.0,1.0
Branta canadensis,22679935,1,"NA",49794.0,1.0
Branta canadensis,22679935,1,"NA",49795.0,1.0
Branta canadensis,22679935,1,"NA",49796.0,1.0
Branta canadensis,22679935,1,"NA",50504.0,0.22
Branta canadensis,22679935,1,"NA",50505.0,0.91
Branta canadensis,22679935,1,"NA",50506.0,1.0
Branta canadensis,22679935,1,"NA",50507.0,1.0
Branta canadensis,22679935,1,"NA",50508.0,1.0
Branta canadensis,22679935,1,"NA",50509.0,1.0
Branta canadensis,22679935,1,"NA",50510.0,1.0
Branta canadensis,22679935,1,"NA",50511.0,1.0
Branta canadensis,22679935,1,"NA",50512.0,1.0
Branta canadensis,22679935,1,"NA",50513.0,1.0
Branta canadensis,22679935,1,"NA",50514.0,1.0
Branta canadensis,22679935,1,"NA",50515.0,1.0
Branta canadensis,22679935,1,"NA",50516.0,1.0
Branta canadensis,22679935,1,"NA",51225.0,0.14
Branta canadensis,22679935,1,"NA",51226.0,0.85
Branta canadensis,22679935,1,"NA",51227.0,1.0
Branta canadensis,22679935,1,"NA",51228.0,1.0
Branta canadensis,22679935,1,"NA",51229.0,1.0
Branta canadensis,22679935,1,"NA",51230.0,1.0
Branta canadensis,22679935,1,"NA",51231.0,1.0
Branta canadensis,22679935,1,"NA",51232.0,1.0
Branta canadensis,22679935,1,"NA",51233.0,1.0
Branta canadensis,22679935,1,"NA",51234.0,1.0
Branta canadensis,22679935,1,"NA",51235.0,1.0
Branta canadensis,22679935,1,"NA",51236.0,1.0
Branta canadensis,22679935,1,"NA",51946.0,0.1
Branta canadensis,22679935,1,"NA",51947.0,0.85
Branta canadensis,22679935,1,"NA",51948.0,1.0
Branta canadensis,22679935,1,"NA",51949.0,1.0
Branta canadensis,22679935,1,"NA",51950.0,1.0
Branta canadensis,22679935,1,"NA",51951.0,1.0
Branta canadensis,22679935,1,"NA",51952.0,1.0
Branta canadensis,22679935,1,"NA",51953.0,1.0
Branta canadensis,22679935,1,"NA",51954.0,1.0
Branta canadensis,22679935,1,"NA",51955.0,1.0
Branta canadensis,22679935,1,"NA",51956.0,1.0
Branta canadensis,22679935,1,"NA",52667.0,0.1
Branta canadensis,22679935,1,"NA",52668.0,0.86
Branta canadensis,22679935,1,"NA",52669.0,1.0
Branta canadensis,22679935,1,"NA",52670.0,1.0
Branta canadensis,22679935,1,"NA",52671.0,1.0
Branta canadensis,22679935,1,"NA",52672.0,1.0
Branta canadensis,22679935,1,"NA",52673.0,1.0
Branta canadensis,22679935,1,"NA",52674.0,1.0
Branta canadensis,22679935,1,"NA",52675.0,1.0
Branta canadensis,22679935,1,"NA",52676.0,1.0
Branta canadensis,22679935,1,"NA",53388.0,0.15
Branta canadensis,22679935,1,"NA",53389.0,0.84
Branta canadensis,22679935,1,"NA",53390.0,1.0
Branta canadensis,22679935,1,"NA",53391.0,1.0
Branta canadensis,22679935,1,"NA",53392.0,1.0
Branta canadensis,22679935,1,"NA",53393.0,1.0
Branta canadensis,22679935,1,"NA",53394.0,1.0
Branta canadensis,22679935,1,"NA",53395.0,1.0
Branta canadensis,22679935,1,"NA",53396.0,1.0
Branta canadensis,22679935,1,"NA",54109.0,0.02
Branta canadensis,22679935,1,"NA",54110.0,0.5
Branta canadensis,22679935,1,"NA",54111.0,0.97
Branta canadensis,22679935,1,"NA",54112.0,1.0
Branta canadensis,22679935,1,"NA",54113.0,1.0
Branta canadensis,22679935,1,"NA",54114.0,1.0
Branta canadensis,22679935,1,"NA",54115.0,1.0
Branta canadensis,22679935,1,"NA",54116.0,0.94
Branta canadensis,22679935,1,"NA",54831.0,0.12
Branta canadensis,22679935,1,"NA",54832.0,0.65
Branta canadensis,22679935,1,"NA",54833.0,1.0
Branta canadensis,22679935,1,"NA",54834.0,1.0
Branta canadensis,22679935,1,"NA",54835.0,1.0
Branta canadensis,22679935,1,"NA",54836.0,0.96
Branta canadensis,22679935,1,"NA",55553.0,0.14
Branta canadensis,22679935,1,"NA",55554.0,0.42
Branta canadensis,22679935,1,"NA",55555.0,0.69
Branta canadensis,22679935,1,"NA",55556.0,1.0
Branta canadensis,22679935,1,"NA",56276.0,0.32
Branta canadensis,22679935,1,"NA",61316.0,0.01
Branta canadensis,22679935,1,"NA",62034.0,0.02
Branta canadensis,22679935,1,"NA",62035.0,0.58
Branta canadensis,22679935,1,"NA",62036.0,0.91
Branta canadensis,22679935,1,"NA",62754.0,0.1
Branta canadensis,22679935,1,"NA",62755.0,0.91
Branta canadensis,22679935,1,"NA",62756.0,1.0
Branta canadensis,22679935,1,"NA",49052.0,0.02
Branta canadensis,22679935,1,"NA",49053.0,0.21
Branta canadensis,22679935,1,"NA",49054.0,0.62
Branta canadensis,22679935,1,"NA",49055.0,0.88
Branta canadensis,22679935,1,"NA",49056.0,0.47
Branta canadensis,22679935,1,"NA",49057.0,0.67
Branta canadensis,22679935,1,"NA",49058.0,0.9
Branta canadensis,22679935,1,"NA",49059.0,0.87
Branta canadensis,22679935,1,"NA",49060.0,0.95
Branta canadensis,22679935,1,"NA",49061.0,0.97
Branta canadensis,22679935,1,"NA",49062.0,0.45
Branta canadensis,22679935,1,"NA",49773.0,0.11
Branta canadensis,22679935,1,"NA",49774.0,0.41
Branta canadensis,22679935,1,"NA",49775.0,0.73
Branta canadensis,22679935,1,"NA",49776.0,0.65
Branta canadensis,22679935,1,"NA",49777.0,0.4
Branta canadensis,22679935,1,"NA",49778.0,0.53
Branta canadensis,22679935,1,"NA",49779.0,0.84
Branta canadensis,22679935,1,"NA",49780.0,0.9
Branta canadensis,22679935,1,"NA",49781.0,0.88
Branta canadensis,22679935,1,"NA",49782.0,0.97
Branta canadensis,22679935,1,"NA",49783.0,0.67
Branta canadensis,22679935,1,"NA",49784.0,0.03
Branta canadensis,22679935,1,"NA",50493.0,0.02
Branta canadensis,22679935,1,"NA",50494.0,0.06
Branta canadensis,22679935,1,"NA",50495.0,0.18
Branta canadensis,22679935,1,"NA",50496.0,0.42
Branta canadensis,22679935,1,"NA",50498.0,0.09
Branta canadensis,22679935,1,"NA",50499.0,0.46
Branta canadensis,22679935,1,"NA",50500.0,0.71
Branta canadensis,22679935,1,"NA",50501.0,0.92
Branta canadensis,22679935,1,"NA",50502.0,1.0
Branta canadensis,22679935,1,"NA",50503.0,1.0
Branta canadensis,22679935,1,"NA",50504.0,0.78
Branta canadensis,22679935,1,"NA",50505.0,0.09
Branta canadensis,22679935,1,"NA",51214.0,0.07
Branta canadensis,22679935,1,"NA",51215.0,0.27
Branta canadensis,22679935,1,"NA",51216.0,0.13
Branta canadensis,22679935,1,"NA",51217.0,0.1
Branta canadensis,22679935,1,"NA",51219.0,0.12
Branta canadensis,22679935,1,"NA",51220.0,0.65
Branta canadensis,22679935,1,"NA",51221.0,0.92
Branta canadensis,22679935,1,"NA",51222.0,0.99
Branta canadensis,22679935,1,"NA",51223.0,0.97
Branta canadensis,22679935,1,"NA",51224.0,1.0
Branta canadensis,22679935,1,"NA",51225.0,0.86
Branta canadensis,22679935,1,"NA",51226.0,0.15
Branta canadensis,22679935,1,"NA",51934.0,0.13
Branta canadensis,22679935,1,"NA",51935.0,0.95
Branta canadensis,22679935,1,"NA",51936.0,0.83
Branta canadensis,22679935,1,"NA",51937.0,0.3
Branta canadensis,22679935,1,"NA",51939.0,0.11
Branta canadensis,22679935,1,"NA",51940.0,0.64
Branta canadensis,22679935,1,"NA",51941.0,0.93
Branta canadensis,22679935,1,"NA",51942.0,0.87
Branta canadensis,22679935,1,"NA",51943.0,0.79
Branta canadensis,22679935,1,"NA",51944.0,1.0
Branta canadensis,22679935,1,"NA",51945.0,1.0
Branta canadensis,22679935,1,"NA",51946.0,0.9
Branta canadensis,22679935,1,"NA",51947.0,0.15
Branta canadensis,22679935,1,"NA",52655.0,0.24
Branta canadensis,22679935,1,"NA",52656.0,0.89
Branta canadensis,22679935,1,"NA",52657.0,0.3
Branta canadensis,22679935,1,"NA",52660.0,0.24
Branta canadensis,22679935,1,"NA",52661.0,0.57
Branta canadensis,22679935,1,"NA",52662.0,0.61
Branta canadensis,22679935,1,"NA",52663.0,0.87
Branta canadensis,22679935,1,"NA",52664.0,0.95
Branta canadensis,22679935,1,"NA",52665.0,0.99
Branta canadensis,22679935,1,"NA",52666.0,1.0
