year,rgn_id,fn_pop
2001,1,10414
2002,1,11735
2003,1,13056
2004,1,14377
2005,1,15698
2006,1,17019
2007,1,21461
2008,1,25903
2009,1,30345
2010,1,34787
2011,1,39229
2012,1,33487.8
2013,1,27746.6
2014,1,22005.4
2015,1,16264.199999999997
2016,1,10523
2001,2,3493
2002,2,3788
2003,2,4083
2004,2,4378
2005,2,4673
2006,2,4968
2007,2,5297.4
2008,2,5626.8
2009,2,5956.2
2010,2,6285.6
2011,2,6615
2012,2,5760.2
2013,2,4905.4
2014,2,4050.6
2015,2,3195.7999999999997
2016,2,2341
2001,3,4022
2002,3,4152.8
2003,3,4283.6
2004,3,4414.4
2005,3,4545.2
2006,3,4676
2007,3,6332.2
2008,3,7988.4
2009,3,9644.599999999999
2010,3,11300.8
2011,3,12957
2012,3,11072
2013,3,9187
2014,3,7302
2015,3,5417
2016,3,3532
2001,4,7528
2002,4,8578.6
2003,4,9629.2
2004,4,10679.8
2005,4,11730.400000000001
2006,4,12781
2007,4,14876.6
2008,4,16972.2
2009,4,19067.8
2010,4,21163.4
2011,4,23259
2012,4,19878.6
2013,4,16498.2
2014,4,13117.800000000001
2015,4,9737.4
2016,4,6357
2001,5,17787
2002,5,20701.4
2003,5,23615.8
2004,5,26530.199999999997
2005,5,29444.6
2006,5,32359
2007,5,40410
2008,5,48461
2009,5,56512
2010,5,64563
2011,5,72614
2012,5,61905
2013,5,51196
2014,5,40487
2015,5,29778
2016,5,19069
2001,6,164348
2002,6,199256.2
2003,6,234164.40000000002
2004,6,269072.6
2005,6,303980.80000000005
2006,6,338889
2007,6,439524.8
2008,6,540160.6
2009,6,640796.3999999999
2010,6,741432.2
2011,6,842068
2012,6,711914.8
2013,6,581761.6
2014,6,451608.4
2015,6,321455.19999999995
2016,6,191302
