rgn_id,year,unempl_max,unempl_upper_ref
1,1996,46.9,46.9
1,1997,NA,48.86
1,1998,NA,50.82
1,1999,NA,52.78
1,2000,NA,54.74
1,2001,56.7,56.7
1,2002,NA,57.36
1,2003,NA,58.02
1,2004,NA,58.68
1,2005,NA,59.34
1,2006,60,60
1,2007,NA,55.82
1,2008,NA,51.64
1,2009,NA,47.46
1,2010,NA,43.28
1,2011,39.1,39.1
1,2012,NA,37.94
1,2013,NA,36.78
1,2014,NA,35.62
1,2015,NA,34.46
1,2016,33.3,33.3
2,1996,24.6,24.6
2,1997,NA,23.56
2,1998,NA,22.52
2,1999,NA,21.48
2,2000,NA,20.44
2,2001,19.4,19.4
2,2002,NA,22.28
2,2003,NA,25.16
2,2004,NA,28.04
2,2005,NA,30.92
2,2006,33.8,33.8
2,2007,NA,30.84
2,2008,NA,27.88
2,2009,NA,24.92
2,2010,NA,21.96
2,2011,19,19
2,2012,NA,18.92
2,2013,NA,18.84
2,2014,NA,18.76
2,2015,NA,18.68
2,2016,18.6,18.6
3,1996,27.1,27.1
3,1997,NA,27.56
3,1998,NA,28.02
3,1999,NA,28.48
3,2000,NA,28.94
3,2001,29.4,29.4
3,2002,NA,32.94
3,2003,NA,36.48
3,2004,NA,40.02
3,2005,NA,43.56
3,2006,47.1,47.1
3,2007,NA,41.68
3,2008,NA,36.26
3,2009,NA,30.84
3,2010,NA,25.42
3,2011,20,20
3,2012,NA,21.38
3,2013,NA,22.76
3,2014,NA,24.14
3,2015,NA,25.52
3,2016,26.9,26.9
4,1996,50,50
4,1997,NA,47.28
4,1998,NA,44.56
4,1999,NA,41.84
4,2000,NA,39.12
4,2001,36.4,36.4
4,2002,NA,36.82
4,2003,NA,37.24
4,2004,NA,37.66
4,2005,NA,38.08
4,2006,38.5,38.5
4,2007,NA,37.7
4,2008,NA,36.9
4,2009,NA,36.1
4,2010,NA,35.3
4,2011,34.5,34.5
4,2012,NA,33.94
4,2013,NA,33.38
4,2014,NA,32.82
4,2015,NA,32.26
4,2016,31.7,31.7
5,1996,30.8,30.8
5,1997,NA,32.98
5,1998,NA,35.16
5,1999,NA,37.34
5,2000,NA,39.52
5,2001,41.7,41.7
5,2002,NA,38.82
5,2003,NA,35.94
5,2004,NA,33.06
5,2005,NA,30.18
5,2006,27.3,27.3
5,2007,NA,30.42
5,2008,NA,33.54
5,2009,NA,36.66
5,2010,NA,39.78
5,2011,42.9,42.9
5,2012,NA,41.46
5,2013,NA,40.02
5,2014,NA,38.58
5,2015,NA,37.14
5,2016,35.7,35.7
6,1996,37.5,37.5
6,1997,NA,37.78
6,1998,NA,38.06
6,1999,NA,38.34
6,2000,NA,38.62
6,2001,38.9,38.9
6,2002,NA,39.12
6,2003,NA,39.34
6,2004,NA,39.56
6,2005,NA,39.78
6,2006,40,40
6,2007,NA,42.58
6,2008,NA,45.16
6,2009,NA,47.74
6,2010,NA,50.32
6,2011,52.9,52.9
6,2012,NA,50.6
6,2013,NA,48.3
6,2014,NA,46
6,2015,NA,43.7
6,2016,41.4,41.4
