year,rgn_id,non_fn_pop
2001,1,37741
2002,1,36939.4
2003,1,36137.8
2004,1,35336.2
2005,1,34534.6
2006,1,33733
2007,1,33452.2
2008,1,33171.4
2009,1,32890.6
2010,1,32609.8
2011,1,32329
2001,2,1442
2002,2,1619.2
2003,2,1796.4
2004,2,1973.6
2005,2,2150.8
2006,2,2328
2001,4,25096
2002,4,25112.8
2003,4,25129.6
2004,4,25146.4
2005,4,25163.2
2006,4,25180
2007,4,25183.6
2008,4,25187.2
2009,4,25190.8
2010,4,25194.4
2011,4,25198
2001,5,269927
2002,5,272798.2
2003,5,275669.4
2004,5,278540.6
2005,5,281411.8
2006,5,284283
2007,5,285630.2
2008,5,286977.4
2009,5,288324.6
2010,5,289671.8
2011,5,291019
2001,6,2469746
2002,6,2503337.4
2003,6,2536928.8
2004,6,2570520.2
2005,6,2604111.6
2006,6,2637703
2007,6,2683528.8
2008,6,2729354.6
2009,6,2775180.4
2010,6,2821006.2
2011,6,2866832
