rgn_id,cell_id,ohibc_wt,area_km2
5,56984,0.010101010101010102,1971.63
5,56985,0.5111111111111111,1971.63
5,56986,1,1971.63
5,57704,0.25,1992.18
5,57705,0.99,1992.18
5,57706,1,1992.18
5,57707,1,1992.18
5,57708,1,1992.18
5,58425,0.46,2012.58
5,58426,1,2012.58
5,58427,1,2012.58
5,58428,1,2012.58
5,58429,1,2012.58
5,58430,1,2012.58
5,58431,0.16666666666666666,2012.58
5,59145,0.11,2032.83
5,59146,0.7,2032.83
5,59147,1,2032.83
5,59148,1,2032.83
5,59149,1,2032.83
5,59150,1,2032.83
5,59151,1,2032.83
5,59152,1,2032.83
5,59154,0.12195121951219513,2032.83
5,59867,0.28,2052.92
5,59868,0.9782608695652174,2052.92
5,59869,1,2052.92
5,59870,1,2052.92
5,59871,1,2052.92
5,59872,1,2052.92
5,59873,1,2052.92
5,59874,1,2052.92
5,60588,0.25,2072.85
6,56990,0.16666666666666666,1971.63
6,56991,1,1971.63
6,56992,1,1971.63
6,56993,1,1971.63
6,57710,1,1992.18
6,57711,1,1992.18
6,57712,1,1992.18
6,57713,1,1992.18
6,57714,1,1992.18
6,58431,0.8333333333333333,2012.58
6,58432,1,2012.58
6,58433,1,2012.58
6,58434,1,2012.58
6,58435,1,2012.58
6,59153,1,2032.83
6,59154,0.8780487804878049,2032.83
1,49060,1,1735.87
1,49061,1,1735.87
1,49780,1,1758.01
1,49781,1,1758.01
1,49782,1,1758.01
1,50498,0.65,1780
1,50499,1,1780
1,50500,1,1780
1,51218,0.53,1801.87
1,51219,1,1801.87
1,51220,1,1801.87
1,51223,1,1801.87
1,51938,0.37,1823.59
1,51939,1,1823.59
1,51940,1,1823.59
1,51941,1,1823.59
1,51942,1,1823.59
1,51943,1,1823.59
1,52658,0.02,1845.17
1,52659,0.81,1845.17
1,52660,1,1845.17
1,52661,1,1845.17
1,52662,1,1845.17
1,52663,0.7142857142857143,1845.17
1,52664,1,1845.17
1,53379,0.14,1866.61
1,53380,0.85,1866.61
1,53381,0.8775510204081632,1866.61
1,53382,0.5,1866.61
1,53383,0.047619047619047616,1866.61
1,54100,0.04,1887.91
2,50494,1,1780
2,50495,1,1780
2,50496,1,1780
2,50497,1,1780
2,50498,0.35000000000000003,1780
2,51212,0.5714285714285715,1801.87
2,51213,1,1801.87
2,51214,1,1801.87
2,51215,1,1801.87
2,51216,1,1801.87
2,51217,1,1801.87
2,51218,0.47,1801.87
2,51932,0.06,1823.59
2,51933,0.79,1823.59
2,51934,1,1823.59
2,51935,1,1823.59
2,51936,1,1823.59
2,51937,1,1823.59
2,51938,0.63,1823.59
2,52653,0.2,1845.17
2,52654,0.81,1845.17
2,52655,1,1845.17
2,52656,1,1845.17
2,52657,1,1845.17
2,52658,0.98,1845.17
2,52659,0.19,1845.17
2,53374,0.04,1866.61
2,53375,0.63,1866.61
2,53376,1,1866.61
2,53377,1,1866.61
2,53378,1,1866.61
2,53379,0.86,1866.61
2,53380,0.15,1866.61
2,54096,0.24,1887.91
2,54097,0.9032258064516129,1887.91
2,54098,1,1887.91
2,54099,1,1887.91
2,54100,0.9,1887.91
2,54101,0.21,1887.91
2,54817,0.02,1909.06
2,54818,0.25510204081632654,1909.06
2,54819,0.87,1909.06
2,54820,1,1909.06
2,54821,0.6,1909.06
2,55539,0.09,1930.06
2,55540,0.76,1930.06
2,55541,0.31,1930.06
3,52663,0.21428571428571425,1845.17
3,53383,0.8095238095238095,1866.61
3,53384,1,1866.61
3,53386,1,1866.61
3,53387,1,1866.61
3,54101,0.13,1887.91
3,54102,0.56,1887.91
3,54103,0.9418604651162791,1887.91
3,54104,1,1887.91
3,54105,1,1887.91
3,54106,1,1887.91
3,54107,1,1887.91
3,54821,0.4,1909.06
3,54822,1,1909.06
3,54823,1,1909.06
3,54824,1,1909.06
3,54825,1,1909.06
3,54826,1,1909.06
3,54827,1,1909.06
3,55540,0.03,1930.06
3,55541,0.69,1930.06
3,55542,1,1930.06
3,55543,0.82,1930.06
3,55544,0.5555555555555556,1930.06
3,55545,0.3125,1930.06
3,56261,0.27,1950.92
3,56262,0.73,1950.92
3,56263,0.020202020202020204,1950.92
4,55543,0.18,1930.06
4,55544,0.4444444444444445,1930.06
4,55545,0.6875,1930.06
4,55546,1,1930.06
4,55547,1,1930.06
4,55549,1,1930.06
4,56262,0.01,1950.92
4,56263,0.9595959595959596,1950.92
4,56264,1,1950.92
4,56265,1,1950.92
4,56266,1,1950.92
4,56267,1,1950.92
4,56268,1,1950.92
4,56269,1,1950.92
