year,stockid,stocklong,areaid,score,b_bmsy,f_fmsy
1935,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.666348175043,NA
1936,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.59373208484617,NA
1937,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.52111599464934,NA
1938,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.47143130135677,2.01512563461169
1939,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.42556850754825,2.0482344647481576
1940,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.33384291993121,2.068777304619335
1941,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.2803363271546,2.1443401663304025
1942,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.2459392317982,2.24474148183103
1943,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.20772023695777,2.354274887877675
1944,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.19625453850564,2.1795773068655575
1945,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.1580355436652,2.1839786445985925
1946,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.12746034779285,2.1575247629536176
1947,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.08159755398433,2.0955412380162075
1948,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.05866615708007,2.2544321828852274
1949,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.01662526275559,2.306200974958158
1950,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,1.00133766481942,2.411045884231463
1951,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.96311866997898,2.587988872477215
1952,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.944009172558762,2.75263020247267
1953,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.932543474106631,2.6482115640072603
1954,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.924899675138544,2.51431521023372
1955,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.913433976686413,2.2915495326294675
1956,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.913433976686413,2.1101167376837253
1957,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.882858780814065,2.125369167605293
1958,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.879036881330021,2.17281592936207
1959,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.852283584941716,2.2315585211475626
1960,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.852283584941716,2.289950933548343
1961,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.821708389069367,2.3584148085034724
1962,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.810242690617237,2.4341539835082977
1963,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.806420791133193,2.489585637509425
1964,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.806420791133193,2.4839086031774675
1965,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.794955092681062,2.53294622624039
1966,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.772023695776801,2.98636136518569
1967,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.718517103000191,3.3440241542141225
1968,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.684120007643799,3.622755031007575
1969,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.665010510223581,4.2235228782409475
1970,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.638257213835276,3.9365909039811626
1971,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.611503917446971,3.70314190502958
1972,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.607682017962928,3.7004778906911975
1973,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.577106822090579,3.739990632597743
1974,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.538887827250143,4.369221300231618
1975,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.512134530861838,4.744080175277437
1976,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.49302503344162,5.032413262041111
1977,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.49302503344162,4.5022412648283
1978,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.489203133957577,3.757182192260735
1979,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.489203133957577,3.6101493751618503
1980,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.496846932925664,3.2020937500573803
1981,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.489203133957577,3.027773259952
1982,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.485381234473533,2.9432300594880374
1983,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.489203133957577,2.55501445674646
1984,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.473915536021403,2.424835890951035
1985,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.454806038601185,2.6806443494269803
1986,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.424230842728836,3.2477518754406702
1987,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.393655646856488,3.8770649569804627
1988,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.347792853047965,5.390983891253935
1989,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.301930059239442,6.0915603852977025
1990,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.27364800305752,7.032473634140798
1991,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.235811198165488,8.199053179961608
1992,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.202942862602714,8.632245656989637
1993,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.167399197401108,10.44933815159494
1994,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.139117141219186,10.60029385976481
1995,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.122682973437799,10.488627722539622
1996,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.112363844830881,9.475862921521248
1997,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.107777565450029,7.409014653614798
1998,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.105866615708007,6.348747772384877
