rgn_id,effort_hr,year
1,3054.9375,2011
2,0,2011
3,0,2011
4,124.1875,2011
5,1054.875,2011
6,738.875,2011
7,0,2011
8,587.3125,2011
1,139.625,2010
2,0,2010
3,3165.4375,2010
4,195.375,2010
5,1035.375,2010
6,339.375,2010
7,0,2010
8,260.625,2010
1,482.6875,2009
2,2319.5625,2009
3,0,2009
4,60.8125,2009
5,954.375,2009
6,574.125,2009
7,0,2009
8,128.125,2009
1,2829,2008
2,0,2008
3,0,2008
4,52.5,2008
5,1042.875,2008
6,495.625,2008
7,0,2008
8,769.625,2008
1,0,2007
2,0,2007
3,3324.9375,2007
4,241.1875,2007
5,1273,2007
6,293.625,2007
7,0,2007
8,50.25,2007
1,0,2006
2,2606.8125,2006
3,0,2006
4,64.1875,2006
5,1572.75,2006
6,564.9375,2006
7,0,2006
8,0,2006
1,2617.25,2005
2,0,2005
3,0,2005
4,46.875,2005
5,1394.875,2005
6,578.125,2005
7,0,2005
8,386.1875,2005
1,204.375,2004
2,0,2004
3,2752.6875,2004
4,335.8125,2004
5,1808.125,2004
6,544.5625,2004
7,0,2004
8,168,2004
1,0,2003
2,2301.9375,2003
3,0,2003
4,70.4375,2003
5,1858.75,2003
6,887.9375,2003
7,0,2003
8,0,2003
